Feature,LASSO,Ridge,Elastic Net,LASSO_Imp,Ridge_Imp,Elastic Net_Imp,VIF,LASSO_Selected,Elastic Net_Selected
Domestic Credit,0.06732777538600232,0.06784881056215661,0.07487690082625288,0.13357695280923568,0.1415623143245918,0.15599812681217626,2.7756006647500864,1,1
HC × Production,0.011161630647817564,0.038696776170524354,0.02170933033226983,0.02214445081201385,0.08004834257371116,0.04522910041428236,1.6807664853664568,1,1
Electricity,0.014229892657771616,0.0771801946362872,0.01968006575351789,0.028231820955468973,0.16125255235811475,0.041001341658265425,8.416142718916658,1,1
Human Capital,0.004527231308959476,0.038034272255311995,0.012907346953160037,0.008981935901584836,0.07865038706303439,0.026891096247159945,3.3869170280799334,1,1
Urban Population,0.0028377311270697337,0.030323672805586087,0.00921988641769505,0.005630001506402066,0.06238018134219659,0.01920866107852011,2.3909322886618423,1,1
Depreciation,-0.0,-0.022799821661756394,-0.0012206483907112279,0.0,0.04650403491269669,0.0025430921999443318,1.4518347737127346,0,1
Interest Rate,0.0,-0.006581289071509508,0.0,0.0,0.012281162429960035,0.0,2.249954533531958,0,0
Resource_HHI,-0.0,0.003921857969072289,-0.0,0.0,0.006669472778698727,0.0,2.087351137274728,0,0
Real Rate (5yr avg),0.0,-0.012990540236723776,0.0,0.0,0.025805381351520326,0.0,2.990990042002846,0,0
Inflation (5yr avg),-0.0,0.007670429553113824,-0.0,0.0,0.014579367622712525,0.0,2.2155585879230224,0,0
Forestry rents (% of GDP),-0.0,0.006285499773558462,-0.0,0.0,0.011657014753885798,0.0,5.428795038360838,0,0
Savings,-0.0,-0.028851485193761225,-0.0,0.0,0.059273704931350105,0.0,2.585371186799672,0,0
Inflation,-0.0,-0.010501189753762163,-0.0,0.0,0.020552580355549497,0.0,2.278958402116999,0,0
Prod Value p.c.,-0.0,-0.057443572225064285,-0.0,0.0,0.11960612668669572,0.0,7.185187428680833,0,0
IMF Credit,-0.0,-0.01564728846319762,-0.0,0.0,0.03141140984191701,0.0,3.024040299874492,0,0
Gov Revenue,-0.0,-0.02364443594355275,-0.0,0.0,0.0482862631569706,0.0,2.422923209845733,0,0
Landlocked,-0.0,-0.0007611337582201919,-0.0,0.0,0.0,0.0,1.6520062905046582,0,0
Investment Share,0.0,0.0075713879396289265,0.0,0.0,0.014370379017244209,0.0,2.0587969391994534,0,0
Capital Formation,0.0,0.01529150818078068,0.0,0.0,0.030660674646283526,0.0,1.447696380987635,0,0
Trade,-0.0,0.003193159416624963,-0.0,0.0,0.005131839364578614,0.0,2.598032804662358,0,0
Political Stability,0.0,0.04000606167038135,0.0,0.0,0.08281107776296294,0.0,2.48250021628171,0,0
Rule of Law,0.0,-0.017795462416366373,0.0,0.0,0.03594429115290813,0.0,2.0814398082838155,0,0
RuleLaw × Production,0.0,0.002269207043205123,0.0,0.0,0.0031821990947379186,0.0,1.4436740715787375,0,0
