Feature,LASSO,Ridge,Elastic Net,Random Forest,Linear_Avg,Overall_Avg
L1_ECI,1.0,1.0,1.0,1.0,1.0,1.0
Domestic credit to private sector (% of GDP),0.13357695280923568,0.1415623143245918,0.15599812681217626,0.01424877635672728,0.1437124646486679,0.0789806205026976
Access to electricity (% of population),0.028231820955468973,0.16125255235811475,0.041001341658265425,0.005277226258801797,0.07682857165728306,0.04105289895804243
HCI_x_ProductionValue,0.02214445081201385,0.08004834257371116,0.04522910041428236,0.007787400154104403,0.04914063126666912,0.028464015710386762
Human capital index,0.008981935901584836,0.07865038706303439,0.026891096247159945,0.0054350828224394255,0.03817447307059305,0.021804777946516238
Total_Production_Value_Per_Capita,0.0,0.11960612668669572,0.0,0.0028278408516375936,0.03986870889556524,0.021348274873601417
Urban population (% of total population),0.005630001506402066,0.06238018134219659,0.01920866107852011,0.00230216507866374,0.029072947975706254,0.015687556527184995
Political stability — estimate,0.0,0.08281107776296294,0.0,0.0024930085245978154,0.027603692587654313,0.015048350556126064
Adjusted savings: gross savings (% of GNI),0.0,0.059273704931350105,0.0,0.0017929023552705286,0.019757901643783368,0.010775401999526948
Government revenue,0.0,0.0482862631569706,0.0,0.0021639274318785272,0.016095421052323533,0.009129674242101031
Capital depreciation rate,0.0,0.04650403491269669,0.0025430921999443318,0.0009407363054752163,0.016349042370880338,0.008644889338177777
Rule of law index,0.0,0.03594429115290813,0.0,0.0037783423599389737,0.011981430384302709,0.007879886372120842
Resource_HHI,0.0,0.006669472778698727,0.0,0.01063083852404776,0.0022231575928995757,0.006426998058473668
"Use of IMF credit (DOD, current US$)",0.0,0.03141140984191701,0.0,0.0010973789442271368,0.01047046994730567,0.005783924445766403
"Gross fixed capital formation, all, Constant prices, Percent of GDP",0.0,0.030660674646283526,0.0,0.0007499018745480151,0.010220224882094509,0.0054850633783212616
Forestry rents (% of GDP),0.0,0.011657014753885798,0.0,0.00519717957075807,0.0038856715846285993,0.004541425577693334
RealRate_roll5,0.0,0.025805381351520326,0.0,0.0002935276219569895,0.008601793783840109,0.004447660702898549
Inflation_roll5,0.0,0.014579367622712525,0.0,0.0032684923230469785,0.004859789207570841,0.00406414076530891
"Inflation, consumer prices (annual %)",0.0,0.020552580355549497,0.0,0.00105237115253307,0.006850860118516499,0.003951615635524784
Share of investment in GDP,0.0,0.014370379017244209,0.0,0.002188712156693343,0.004790126339081403,0.003489419247887373
RuleOfLaw_x_ProductionValue,0.0,0.0031821990947379186,0.0,0.00529084276693845,0.0010607330315793061,0.003175787899258878
Real interest rate (%),0.0,0.012281162429960035,0.0,0.0006253767701872266,0.004093720809986678,0.0023595487900869524
Trade (% of GDP),0.0,0.005131839364578614,0.0,0.0011467097478279275,0.0017106131215262046,0.001428661434677066
Landlocked,0.0,0.0,0.0,0.0,0.0,0.0
