Variable,Coef,SE,p,CI_lo,CI_hi,Stars
const,0.8789267055824338,0.24372285811261493,0.00031064822355268294,0.4012386814725428,1.3566147296923248,***
Access to electricity (% of population),0.0028248214150707694,0.0001948179923956207,1.2150804135750584e-47,0.0024429851664349547,0.003206657663706584,***
Adjusted savings: gross savings (% of GNI),-0.002750005455706519,0.00150052501986031,0.06684786647104378,-0.005690980452533976,0.0001909695411209376,*
Agriculture,-0.006401538501651416,0.0022886628686476017,0.00515691786535247,-0.01088723529695484,-0.001915841706347992,***
Capital depreciation rate,-1.3268240353890661,1.1157047272898366,0.2343511107054551,-3.513565118258229,0.8599170474800966,
Clientelism index,-0.0017367049620748282,0.10825882622079279,0.9872007605121805,-0.21392010536340916,0.21044669543925948,
"Death rates, crude per 1000 people",0.0032833992678762062,0.005135642644606819,0.5226046217419671,-0.006782275353021195,0.013349073888773608,
Domestic credit to private sector (% of GDP),0.0016493571274442198,0.0004893069412163386,0.0007494953235109868,0.0006903331452747389,0.002608381109613701,***
"GDP per capita (constant prices, PPP)",-6.433041119346505e-07,1.0897469840701077e-06,0.5549732594020913,-2.7791689529732057e-06,1.4925607291039048e-06,
Government revenue,0.0002690898841798355,0.0026585990663437944,0.919379855373117,-0.0049416685351858156,0.005479848303545486,
"Gross fixed capital formation, all, Constant prices, Percent of GDP",0.001481010973915919,0.001169561663046578,0.20540721471557866,-0.0008112877633541444,0.0037733097111859824,
Human capital index,0.056900166324034725,0.07432155124100201,0.44391765440931097,-0.08876739738347739,0.20256773003154682,
Industry,-0.001230707349311006,0.002512910207821716,0.6243081192389308,-0.006155920853024632,0.0036945061544026198,
"Inflation, consumer prices (annual %)",-0.00012025988572983238,3.5668953891161905e-05,0.0007474476344856388,-0.00019016975072272955,-5.035002073693522e-05,***
Landlocked,0.044823856433779966,0.041909241221144734,0.2848237651794606,-0.037316746979065146,0.12696445984662508,
Lending interest rate (%),-0.0003844641825137792,0.0007760683156656706,0.6203178502575445,-0.0019055301307611553,0.0011366017657335969,
"Life expectancy at birth, total (years)",0.004119455989674949,0.005520171632906547,0.455513355727738,-0.006699881599301544,0.014938793578651442,
Manufacturing,0.005985474219266555,0.0014109535228094495,2.2139022278208225e-05,0.00322005613070012,0.00875089230783299,***
Mineral rents (% of GDP),-0.00998371335302028,0.004819130418666944,0.038294959728932015,-0.01942903541040892,-0.0005383912956316381,**
Mobile cellular subscriptions (per 100 people),-0.0007166050411419268,0.0003421050816301624,0.036198312341413026,-0.0013871186800651805,-4.609140221867325e-05,**
Natural gas rents (% of GDP),-0.010269775656966393,0.016129496115492338,0.5243152052486739,-0.04188300713211008,0.021343455818177294,
Oil rents (% of GDP),-0.0012487580458174124,0.0060932164876953574,0.8376171746090894,-0.01319124291170596,0.010693726820071133,
Political corruption index,-0.23895516854255328,0.10810051841688921,0.027071139414033926,-0.450828291349765,-0.027082045735341592,**
Political stability — estimate,0.020507839827977513,0.030607236280617907,0.5028371394658515,-0.03948124094834126,0.08049692060429628,
"Primary net lending, General government, Percent of GDP",0.00132522787160792,0.002188984058080348,0.5449081155350737,-0.0029651020449618956,0.005615557788177735,
Property rights,-0.09680329627898604,0.10153923632267467,0.3404084494138989,-0.2958165424891297,0.10220994993115759,
Real interest rate (%),-0.0001788613840703956,0.0006922166892945537,0.7961064755795182,-0.0015355811645852736,0.0011778583964444822,
Rule of law index,-0.12446656599852524,0.08784959840408915,0.15653723191439167,-0.29664861492684735,0.04771548292979691,
Services,-0.0015127612555376766,0.00255722026086649,0.5541421128122479,-0.006524820867372119,0.003499298356296766,
Share of consumption in GDP,0.11199611458336109,0.07924953163106245,0.15759441740861824,-0.04333011320518912,0.2673223423719113,
Share of government spending in GDP,0.16261024613851666,0.0844283670963205,0.05410258271507345,-0.0028663126437980524,0.32808680492083137,*
Share of investment in GDP,-0.08157125104648096,0.06449009215158108,0.20591977781651682,-0.20796950902324907,0.04482700693028717,
Total natural resources rents (% of GDP),-0.0007386357262888534,0.004993666119257719,0.8824102290789536,-0.010526041470851882,0.009048770018274175,
Trade (% of GDP),0.0005788004547337227,0.0003473017215876086,0.09560118474971954,-0.00010189841134674725,0.0012594993208141926,*
Urban population (% of total population),1.6604180189672896e-09,3.2729558316614904e-10,3.9129367843395246e-07,1.0189304636626034e-09,2.301905574271976e-09,***
"Use of IMF credit (DOD, current US$)",4.512336550731519e-12,4.241709484807951e-12,0.2874186703250162,-3.801261272374013e-12,1.2825934373837051e-11,
Total_Production_Value_Per_Capita,5.2841871939110294e-06,1.2464422920559782e-06,2.2410219173224787e-05,2.8412051926737565e-06,7.727169195148302e-06,***
Total_Reserves_Value_Per_Capita,-1.4416454762604363e-16,1.140653274090384e-16,0.20627416625722939,-3.6772848123252835e-16,7.939938598044108e-17,
Hydrocarbons_Dominant,-0.005641451146189039,0.017954483501519406,0.7533626950574623,-0.04083159217018568,0.0295486898778076,
Subsoil_Metals_Dominant,-0.050778953775791016,0.0034124433502508633,4.410150858294966e-50,-0.05746721984156591,-0.044090687710016126,***
Precious_Metals_Dominant,0.034390612748091874,0.035824714013036635,0.3370708471559365,-0.03582453647390731,0.10460576197009105,
