Variable,Coef,SE,p,CI_lo,CI_hi,Stars
const,-0.40342274641683706,0.15166368542155584,0.007814471575398788,-0.7006781076056989,-0.1061673852279752,***
log_HCI,0.25733942312452374,0.11730118287220652,0.02824728432254473,0.027433329351052305,0.48724551689799517,**
log_GFCF,0.02221296963315368,0.01359812434617306,0.10235718135682614,-0.004438864342642786,0.04886480360895015,
Political stability — estimate,0.010778973469928128,0.016358520905393012,0.5099464796335058,-0.021283138344987733,0.04284108528484399,
Rule of law index,0.024886518766492255,0.040244071554698356,0.5363184950667526,-0.053990412071969376,0.10376344960495389,
log_Production_Value,-0.0033856936182913647,0.005198082160709103,0.5148301635888568,-0.013573747441961352,0.0068023602053786224,
Trade (% of GDP),1.992626330358095e-05,0.00040371369126122045,0.9606344664503587,-0.0007713380316341339,0.0008111905582412958,
ECI_lag1,0.8961499853347341,0.03702890345279264,2.1523438414292477e-129,0.8235746681802497,0.9687253024892185,***
log_HCI_x_log_Production,-0.029178955225621805,0.021584040477153336,0.17641485409670565,-0.07148289720169707,0.013124986750453455,
log_GFCF_x_log_Production,0.007129707784618487,0.008437834162931332,0.39812818128219063,-0.009408143282248597,0.02366755885148557,
