Variable,Coef,SE,p,CI_lo,CI_hi,Stars
const,-0.3781296098799669,0.1671814321445808,0.023710263236836605,-0.7057991957671722,-0.050460023992761616,**
log_HCI_lag1,0.23353816809419628,0.11348534017183425,0.039602537151225956,0.01111098858412457,0.455965347604268,**
log_GFCF_lag1,0.009740908381917816,0.010941991094232644,0.3733414350215216,-0.011705000081936184,0.031186816845771816,
Political stability — estimate_lag1,0.008373295107463315,0.012802744864511679,0.5130967107772842,-0.01671962373023471,0.03346621394516134,
Rule of law index_lag1,0.030011929726943776,0.040315314834160614,0.45661637660966625,-0.04900463537340441,0.10902849482729196,
log_Production_Value_lag1,8.915664629329662e-05,0.004599157571042948,0.984533633550498,-0.008925026552175596,0.00910333984476219,
Trade (% of GDP)_lag1,0.0002562934586926093,0.00031703409879465166,0.4188547371424386,-0.00036508195681602133,0.0008776688742012399,
ECI_lag1,0.8970265585003546,0.0371265898667921,5.680818468495163e-129,0.8242597794926524,0.9697933375080569,***
log_HCI_x_log_Production_lag1,-0.021162288388219267,0.01964165942970414,0.28129331680203906,-0.05965923346704091,0.01733465669060238,
log_GFCF_x_log_Production_lag1,-0.0005983073022993654,0.005729143461987257,0.9168263363393254,-0.01182722215005751,0.010630607545458779,
