Variable,Coef,SE,p,CI_lo,CI_hi,Stars
const,-0.44859065111771035,0.1507435581217874,0.0029217499319683054,-0.7440425959378341,-0.1531387062975867,***
log_HCI,0.16819789471467061,0.10404877111287794,0.10597990806400205,-0.03573394930222171,0.37212973873156296,
log_GFCF,0.01979855564514517,0.015737274525482813,0.20836729923091857,-0.011045935639620814,0.05064304692991115,
Political stability — estimate,0.012731186887677208,0.019796344382636926,0.5201540420719422,-0.02606893512784298,0.0515313089031974,
Rule of law index,0.05586483870316076,0.04029120186032341,0.1655860457129491,-0.023104465836906347,0.13483414324322787,
log_Production_Value,-0.015217552036048257,0.009513602197442387,0.10969682301654622,-0.03386386970627645,0.003428765634179938,
Trade (% of GDP),0.0001850029059010498,0.0003879810364571735,0.6334796785731049,-0.000575425952239532,0.0009454317640416316,
Hydrocarbons_Dominant,0.028297048937424726,0.04027626389310056,0.48232137693863997,-0.050642977724883353,0.1072370755997328,
Subsoil_Metals_Dominant,-0.022334572919618996,0.04643117488581127,0.6304984702170842,-0.11333800345568973,0.06866885761645175,
Precious_Metals_Dominant,-0.0009296341442472933,0.041218562408937134,0.982006217382116,-0.08171653196028061,0.07985726367178603,
Access to electricity (% of population),0.0020664566418850225,0.0007738559918613126,0.007577504910461183,0.0005497267686163285,0.0035831865151537165,***
ECI_lag1,0.8613427805995361,0.04544078869587447,3.9943796130590995e-80,0.7722804713265273,0.9504050898725448,***
log_HCI_x_log_Production,-0.012279146109704056,0.02491103448682657,0.6220691436609243,-0.061103876521519364,0.03654558430211125,
log_GFCF_x_log_Production,0.016528630619981853,0.011983770495287933,0.16781729676438528,-0.006959127949776222,0.04001638918973993,
