Variable,Coef,SE,p,CI_lo,CI_hi,Stars
const,-0.026855895021738983,0.015491412123800013,0.08298927573744866,-0.05721850485405416,0.0035067148105761906,*
d_log_HCI,-0.01815506036122353,0.5183165983506873,0.9720582344677595,-1.0340369257178834,0.9977268049954364,
d_log_GFCF,0.10673326013711056,0.04118676182063062,0.009557360044855606,0.026008690328845188,0.1874578299453759,***
d_Political stability — estimate,-0.01478560957571792,0.05682491796220312,0.7947126815769233,-0.12616040220607924,0.0965891830546434,
d_Rule of law index,0.1668748540644524,0.13489782152455043,0.21606988573362984,-0.09752001771657853,0.43126972584548334,
d_log_Production_Value,-0.0530460738678184,0.026353816644031084,0.04413123443339376,-0.10469860534529156,-0.0013935423903452399,**
d_Trade (% of GDP),-0.0022957224389490707,0.0016333827133490847,0.15987209711208739,-0.005497093730083587,0.0009056488521854461,
d_Electricity,0.006102848562063776,0.007461822498000547,0.4134277642821419,-0.008522054793047996,0.020727751917175546,
ECI_lag1,-0.06099535620580769,0.019257912879671137,0.001538678573206671,-0.09874017186737316,-0.02325054054424222,***
d_log_HCI_x_log_Production,0.06910266113160152,0.1100537116436907,0.5300698344169552,-0.14659865005498865,0.28480397231819166,
d_log_GFCF_x_log_Production,0.028890647386810516,0.024570142017473935,0.23965732883734514,-0.019265946062472703,0.07704724083609374,
