Group,Variable,Mean,Std,Median,Q1,Q3,N
Economic Complexity,Economic Complexity Index,-0.461,0.781,-0.446,-1.046,0.152,1175
Resource Dependence,Oil rents (% of GDP),10.61,14.121,3.229,0.656,17.22,1175
Resource Dependence,Natural gas rents (% of GDP),0.948,1.481,0.276,0.005,1.156,1175
Resource Dependence,Mineral rents (% of GDP),1.202,2.785,0.13,0.007,0.963,1175
Resource Dependence,Total natural resources rents (% of GDP),14.785,13.949,9.407,3.544,22.89,1175
Resource Dependence,Total_Production_Value_Per_Capita,2297.691,6731.064,402.009,128.476,1520.844,1173
Resource Dependence,Hydrocarbons_Dominant,0.775,0.418,1.0,1.0,1.0,1167
Resource Dependence,Subsoil_Metals_Dominant,0.119,0.324,0.0,0.0,0.0,1167
Resource Dependence,Precious_Metals_Dominant,0.063,0.244,0.0,0.0,0.0,1167
Economic Structure,Trade (% of GDP),76.008,33.115,71.594,50.921,92.564,1175
Economic Structure,Agriculture,10.971,9.209,8.15,4.561,15.561,1175
Economic Structure,Industry,36.088,12.859,32.554,26.584,43.946,1175
Economic Structure,Manufacturing,12.896,5.964,12.835,8.479,16.336,1175
Economic Structure,Services,47.016,9.471,47.583,40.312,53.947,1175
Economic Structure,Share of investment in GDP,0.215,0.093,0.208,0.15,0.266,1175
Economic Structure,Share of government spending in GDP,0.184,0.072,0.173,0.129,0.23,1175
Economic Structure,"Gross fixed capital formation, all, Constant prices, Percent of GDP",18.123,8.933,17.098,11.958,23.788,1175
Macroeconomic,"GDP per capita (constant prices, PPP)",15111.337,14220.048,10536.985,5579.919,18269.566,1175
Macroeconomic,"Inflation, consumer prices (annual %)",20.137,149.547,5.485,2.818,11.435,1175
Macroeconomic,Real interest rate (%),5.7,13.239,5.946,0.797,11.285,1175
Macroeconomic,Capital depreciation rate,0.046,0.014,0.044,0.035,0.054,1175
Macroeconomic,Government revenue,28.277,9.543,27.766,21.798,34.125,1175
Macroeconomic,"Use of IMF credit (DOD, current US$)",1218898003.833,3118670323.307,233744575.8,0.0,793610596.7,1175
Human Development,Human capital index,2.363,0.524,2.372,2.003,2.733,1175
Human Development,"Life expectancy at birth, total (years)",68.036,8.14,70.209,63.082,74.218,1175
Human Development,Urban population (% of total population),21096294.28,27573275.088,10717147.0,2514519.0,27178093.5,1175
Human Development,Access to electricity (% of population),80.914,26.069,96.7,67.343,99.7,1175
Human Development,Mobile cellular subscriptions (per 100 people),59.94,53.504,51.149,5.286,102.357,1175
Governance,Political stability — estimate,-0.545,0.89,-0.494,-1.124,0.056,1175
Governance,Rule of law index,0.4,0.255,0.342,0.194,0.587,1175
Governance,Political corruption index,0.65,0.242,0.705,0.507,0.851,1175
Governance,Property rights,0.682,0.189,0.738,0.609,0.814,1175
Governance,Clientelism index,0.59,0.209,0.623,0.474,0.757,1175
Finance,Domestic credit to private sector (% of GDP),33.642,28.46,25.553,13.606,43.736,1175
Finance,Adjusted savings: gross savings (% of GNI),25.698,12.297,23.931,17.31,33.038,1175
Finance,Lending interest rate (%),17.268,14.313,14.877,9.421,19.848,1175
Finance,"Primary net lending, General government, Percent of GDP",0.961,6.421,-0.194,-2.1,2.668,1175
