Variable,3a Base,3b + Lag,3c All Lagged,3d Extended,3e dECI
Human Capital (log),2.8256***,0.2573**,-,0.1682,-
GFCF (log),0.0744,0.0222,-,0.0198,-
Political Stability,-0.0176,0.0108,-,0.0127,-
Rule of Law,0.3624,0.0249,-,0.0559,-
"NR Production (log, pc)",0.0004,-0.0034,-,-0.0152,-
Trade (% GDP),0.0003,0.0000,-,0.0002,-
HCI x Production,-0.1180,-0.0292,-,-0.0123,-
GFCF x Production,0.0030,0.0071,-,0.0165,-
ECI (t-1),-,0.8961***,0.8970***,0.8613***,-0.0610***
Human Capital (t-1),-,-,0.2335**,-,-
GFCF (t-1),-,-,0.0097,-,-
Political Stability (t-1),-,-,0.0084,-,-
Rule of Law (t-1),-,-,0.0300,-,-
NR Production (t-1),-,-,0.0001,-,-
Trade (t-1),-,-,0.0003,-,-
HCI x Production (t-1),-,-,-0.0212,-,-
GFCF x Production (t-1),-,-,-0.0006,-,-
Hydrocarbons dominant,-,-,-,0.0283,-
Subsoil metals dominant,-,-,-,-0.0223,-
Precious metals dominant,-,-,-,-0.0009,-
Electricity access,-,-,-,0.0021***,-
Constant,-4.2277***,-0.4034***,-0.3781**,-0.4486***,-0.0269*
N,"1,173","1,126","1,126","1,120","1,125"
R2,0.4229,0.8773,0.8773,0.8800,0.0509
