Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Albania,ALB,2019.0,-1.177600320489512,-2.5185209116207155,0,Oil Exporters,"<b>Albania</b><br>Cluster: Oil Exporters<br><br>Top Resources:<br>  Oil: $474,538,798<br>  Copper: $21,874,160<br>  Coal: $2,547,990"
Algeria,DZA,2019.0,3.803087611132524,-2.0112284441435344,3,Petrostates,"<b>Algeria</b><br>Cluster: Petrostates<br><br>Top Resources:<br>  Oil: $34,841,633,626<br>  Natural Gas: $13,234,530,581<br>  Gold: $3,143,000"
Angola,AGO,2019.0,0.42395472658343775,-3.7361118421572397,0,Oil Exporters,"<b>Angola</b><br>Cluster: Oil Exporters<br><br>Top Resources:<br>  Oil: $33,289,163,839<br>  Gold: $1,032,700"
Argentina,ARG,2019.0,2.5280969185902364,0.801259126420662,3,Petrostates,"<b>Argentina</b><br>Cluster: Petrostates<br><br>Top Resources:<br>  Oil: $16,865,697,054<br>  Natural Gas: $6,334,033,100<br>  Gold: $2,383,830,800"
Azerbaijan,AZE,2019.0,4.137344441890775,-0.04646893581293464,3,Petrostates,"<b>Azerbaijan</b><br>Cluster: Petrostates<br><br>Top Resources:<br>  Oil: $17,877,989,348<br>  Natural Gas: $3,643,505,770<br>  Gold: $175,020,200"
Bahrain,BHR,2019.0,6.905066222486728,-0.6233597856142586,3,Petrostates,"<b>Bahrain</b><br>Cluster: Petrostates<br><br>Top Resources:<br>  Natural Gas: $2,475,754,075<br>  Aluminium: $1,911,007,000<br>  Oil: $1,500,450,010"
Bolivia,BOL,2019.0,0.2306826742948378,3.5223696841880634,1,Diversified Producers,"<b>Bolivia</b><br>Cluster: Diversified Producers<br><br>Top Resources:<br>  Natural Gas: $2,297,526,538<br>  Gold: $1,887,596,000<br>  Zinc: $1,449,775,100"
Bosnia and Herzegovina,BIH,2019.0,-4.399077571192866,-0.7051350821418692,2,Hard Mineral Exporters,"<b>Bosnia and Herzegovina</b><br>Cluster: Hard Mineral Exporters<br><br>Top Resources:<br>  Coal: $1,099,461,770<br>  Aluminium: $94,766,000<br>  Bauxite: $33,699,979"
Botswana,BWA,2019.0,-5.459527822958894,-1.2477924022013254,2,Hard Mineral Exporters,"<b>Botswana</b><br>Cluster: Hard Mineral Exporters<br><br>Top Resources:<br>  Coal: $173,500,963<br>  Gold: $42,295,800"
Cameroon,CMR,2019.0,-1.0951940318330007,-3.4802559014228853,0,Oil Exporters,"<b>Cameroon</b><br>Cluster: Oil Exporters<br><br>Top Resources:<br>  Oil: $1,674,149,053<br>  Aluminium: $96,460,000<br>  Gold: $20,205,000"
Chile,CHL,2019.0,-5.955091557462953,4.93204876929466,2,Hard Mineral Exporters,"<b>Chile</b><br>Cluster: Hard Mineral Exporters<br><br>Top Resources:<br>  Copper: $35,650,384,000<br>  Gold: $1,726,629,500<br>  Iron ore: $1,438,124,135"
Colombia,COL,2019.0,0.4805776665715024,1.0678864536244879,0,Oil Exporters,"<b>Colombia</b><br>Cluster: Oil Exporters<br><br>Top Resources:<br>  Oil: $20,761,066,547<br>  Coal: $6,932,406,538<br>  Natural Gas: $1,920,550,785"
"Congo, Dem. Rep.",COD,2019.0,-4.41576430489401,-0.4906810438692211,2,Hard Mineral Exporters,"<b>Congo, Dem. Rep.</b><br>Cluster: Hard Mineral Exporters<br><br>Top Resources:<br>  Copper: $9,000,523,840<br>  Cobalt: $2,954,824,230<br>  Gold: $1,930,700,000"
"Congo, Rep.",COG,2019.0,0.43208115935804897,-3.043668445771318,0,Oil Exporters,"<b>Congo, Rep.</b><br>Cluster: Oil Exporters<br><br>Top Resources:<br>  Oil: $7,879,401,749<br>  Zinc: $13,152,000<br>  Gold: $6,735,000"
