Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Albania,ALB,1995.0,-1.5306300112797582,-1.464155787882291,5,Low-Intensity Producers (2),"<b>Albania</b><br>Cluster: Low-Intensity Producers (2)<br><br>Top Resources:<br>  Oil: $280,198,674<br>  Copper: $19,062,450<br>  Coal: $5,943,474"
Algeria,DZA,1995.0,3.5526834147725586,-0.624618034279648,2,Petrostates,"<b>Algeria</b><br>Cluster: Petrostates<br><br>Top Resources:<br>  Oil: $56,902,879,951<br>  Natural Gas: $33,994,688,278<br>  Zinc: $13,828,880"
Angola,AGO,1995.0,0.8657238728744749,-2.4965000698668307,1,Oil Exporters,"<b>Angola</b><br>Cluster: Oil Exporters<br><br>Top Resources:<br>  Oil: $34,071,424,521"
Argentina,ARG,1995.0,2.5578655341906007,-0.08669881795526967,2,Petrostates,"<b>Argentina</b><br>Cluster: Petrostates<br><br>Top Resources:<br>  Oil: $26,946,862,954<br>  Natural Gas: $16,165,330,712<br>  Aluminium: $1,119,798,090"
Azerbaijan,AZE,1995.0,2.7340742363391994,-0.7148356702677451,2,Petrostates,"<b>Azerbaijan</b><br>Cluster: Petrostates<br><br>Top Resources:<br>  Oil: $11,831,582,369<br>  Natural Gas: $2,349,283,061<br>  Aluminium: $77,077,300"
Bahrain,BHR,1995.0,5.851941907209601,1.8168187548853885,2,Petrostates,"<b>Bahrain</b><br>Cluster: Petrostates<br><br>Top Resources:<br>  Natural Gas: $3,941,490,285<br>  Aluminium: $2,883,103,410<br>  Oil: $1,224,628,037"
Bolivia,BOL,1995.0,-0.1429436512021963,0.7256095836538617,4,Mineral-Rich Developing (1),"<b>Bolivia</b><br>Cluster: Mineral-Rich Developing (1)<br><br>Top Resources:<br>  Natural Gas: $3,478,288,287<br>  Oil: $1,127,882,451<br>  Zinc: $587,095,370"
Bosnia and Herzegovina,BIH,1995.0,-3.9518805089376934,-1.186815412428875,5,Low-Intensity Producers (2),"<b>Bosnia and Herzegovina</b><br>Cluster: Low-Intensity Producers (2)<br><br>Top Resources:<br>  Coal: $717,250,593<br>  Aluminium: $318,326,980<br>  Bauxite: $27,243,020"
Botswana,BWA,1995.0,-4.695932157570375,0.7426463058474002,3,Mineral-Rich Developing (3),"<b>Botswana</b><br>Cluster: Mineral-Rich Developing (3)<br><br>Top Resources:<br>  Copper: $199,418,530<br>  Coal: $109,894,410<br>  Gold: $38,738,700"
Cameroon,CMR,1995.0,-0.1570134963320863,-1.821449890682558,1,Oil Exporters,"<b>Cameroon</b><br>Cluster: Oil Exporters<br><br>Top Resources:<br>  Oil: $2,993,639,851<br>  Aluminium: $432,856,200<br>  Gold: $24,524,000"
Chile,CHL,1995.0,-4.5176365434874866,3.8250419035574894,3,Mineral-Rich Developing (3),"<b>Chile</b><br>Cluster: Mineral-Rich Developing (3)<br><br>Top Resources:<br>  Copper: $35,247,844,000<br>  Gold: $1,563,867,100<br>  Silver: $736,453,631"
Colombia,COL,1995.0,0.2321852785825021,0.9226176520565103,4,Mineral-Rich Developing (1),"<b>Colombia</b><br>Cluster: Mineral-Rich Developing (1)<br><br>Top Resources:<br>  Oil: $19,637,984,968<br>  Coal: $4,899,029,652<br>  Natural Gas: $2,457,561,032"
"Congo, Dem. Rep.",COD,1995.0,-2.4691458885257864,-1.941253000216369,5,Low-Intensity Producers (2),"<b>Congo, Dem. Rep.</b><br>Cluster: Low-Intensity Producers (2)<br><br>Top Resources:<br>  Oil: $2,334,442,642<br>  Cobalt: $1,156,461,000<br>  Copper: $534,181,900"
