Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Algeria,DZA,1995.0,3.6340609529631274,-1.0648561451056362,2,Oil Exporters,"<b>Algeria</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $56,902,879,951<br>  Natural Gas: $33,994,688,278<br>  Zinc: $13,828,880"
Angola,AGO,1995.0,0.7963121728719863,-1.6102091921429638,2,Oil Exporters,"<b>Angola</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $34,071,424,521"
Azerbaijan,AZE,1995.0,2.8328350472440498,-1.094793806828653,2,Oil Exporters,"<b>Azerbaijan</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $11,831,582,369<br>  Natural Gas: $2,349,283,061<br>  Aluminium: $77,077,300"
Bahrain,BHR,1995.0,6.401074933728124,-0.5301910865173344,3,Petrostates,"<b>Bahrain</b><br>Cluster: 3<br><br>Top Resources:<br>  Natural Gas: $3,941,490,285<br>  Aluminium: $2,883,103,410<br>  Oil: $1,224,628,037"
Bolivia,BOL,1995.0,0.48495599035519793,1.3812330461386035,2,Oil Exporters,"<b>Bolivia</b><br>Cluster: 2<br><br>Top Resources:<br>  Natural Gas: $3,478,288,287<br>  Oil: $1,127,882,451<br>  Zinc: $587,095,370"
Burkina Faso,BFA,1995.0,-3.7285496612019813,-0.9402147514240877,1,Gold & Coal,"<b>Burkina Faso</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $44,827,500"
Cameroon,CMR,1995.0,-0.08982817358482671,-1.2108716786309763,2,Oil Exporters,"<b>Cameroon</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $2,993,639,851<br>  Aluminium: $432,856,200<br>  Gold: $24,524,000"
Chad,TCD,1999.0,-3.6771846928466196,-1.395044465762736,1,Gold & Coal,"<b>Chad</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $3,648,102,312"
Chile,CHL,1995.0,-2.666725411865886,6.362872068133281,0,Diversified Exporters,"<b>Chile</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $35,247,844,000<br>  Gold: $1,563,867,100<br>  Silver: $736,453,631"
"Congo, Dem. Rep.",COD,1995.0,-2.4473711066521986,-0.4173480710097859,1,Gold & Coal,"<b>Congo, Dem. Rep.</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $2,334,442,642<br>  Cobalt: $1,156,461,000<br>  Copper: $534,181,900"
"Congo, Rep.",COG,1995.0,1.0698927841662642,-1.6233677790692584,2,Oil Exporters,"<b>Congo, Rep.</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $7,773,823,220<br>  Gold: $500,500"
Cote d'Ivoire,CIV,1995.0,-2.438458756111151,-1.003244687617538,1,Gold & Coal,"<b>Cote d'Ivoire</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $1,025,943,251<br>  Gold: $74,182,400"
Ecuador,ECU,1995.0,0.4404771538679648,-0.5669078739858863,2,Oil Exporters,"<b>Ecuador</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $15,592,212,376<br>  Gold: $186,451,400<br>  Silver: $66,788"
"Egypt, Arab Rep.",EGY,1995.0,1.6645792337243064,-1.2019342726696356,2,Oil Exporters,"<b>Egypt, Arab Rep.</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $24,533,090,616<br>  Natural Gas: $13,030,048,073<br>  Aluminium: $1,035,860,000"
Equatorial Guinea,GNQ,1995.0,-0.24448714921509232,-1.560149181355939,2,Oil Exporters,"<b>Equatorial Guinea</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $8,265,056,536<br>  Gold: $2,860,000"
Ethiopia,ETH,1995.0,-3.6892724901168843,-1.2880086871873269,1,Gold & Coal,"<b>Ethiopia</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $94,303,000<br>  Silver: $324,829"
Gabon,GAB,1995.0,2.3952297535123996,-1.9749735924030594,2,Oil Exporters,"<b>Gabon</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $9,818,183,047<br>  Manganese: $1,628,737,967<br>  Gold: $4,920,000"
Ghana,GHA,1995.0,-2.5120969103791775,0.3638178388793176,1,Gold & Coal,"<b>Ghana</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $2,300,415,600<br>  Aluminium: $458,050,000<br>  Manganese: $366,028,210"
Guinea,GIN,1995.0,-3.825687015337307,0.1213487486650296,1,Gold & Coal,"<b>Guinea</b><br>Cluster: 1<br><br>Top Resources:<br>  Bauxite: $1,257,698,532<br>  Gold: $561,765,900"
