Sample,Feature,Feature_short,LASSO_coef,Ridge_coef,EN_coef,RF_imp
A — Original 54 (NB4),Total_Production_Value_Per_Capita,Prod. Value p.c.,-0.0,-0.06091,-0.0,0.00209
A — Original 54 (NB4),Human capital index,Human Capital,0.00499,0.03492,0.01354,0.00793
A — Original 54 (NB4),Rule of law index,Rule of Law,0.0,-0.02107,0.0,0.00279
A — Original 54 (NB4),Political stability — estimate,Pol. Stability,0.0,0.03842,0.0,0.00223
A — Original 54 (NB4),Trade (% of GDP),Trade,-0.0,-0.00546,-0.0,0.00237
A — Original 54 (NB4),"Gross fixed capital formation, all, Constant prices, Percent of GDP",GFCF,0.0,0.00939,0.0,0.00082
A — Original 54 (NB4),Share of investment in GDP,Investment Share,0.0,0.01143,-0.0,0.00331
A — Original 54 (NB4),Domestic credit to private sector (% of GDP),Domestic Credit,0.06167,0.06817,0.0694,0.01639
A — Original 54 (NB4),Landlocked,Landlocked,-0.0,0.00511,0.0,7e-05
A — Original 54 (NB4),Urban population (% of total population),Urban Pop.,0.00266,0.0313,0.00876,0.00382
A — Original 54 (NB4),Government revenue,Gov. Revenue,-0.0,-0.02119,-0.0,0.00296
A — Original 54 (NB4),Capital depreciation rate,Depreciation,-0.0,-0.02597,-0.00227,0.00107
A — Original 54 (NB4),"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0,-0.02829,-0.0,0.00203
A — Original 54 (NB4),Real interest rate (%),Real Rate,0.0,-0.01096,0.0,0.00038
A — Original 54 (NB4),"Inflation, consumer prices (annual %)",Inflation,-0.0,-0.02597,-0.0,0.00112
A — Original 54 (NB4),Access to electricity (% of population),Electricity,0.01643,0.07669,0.02203,0.00649
A — Original 54 (NB4),Adjusted savings: gross savings (% of GNI),Savings,-0.0,-0.02512,-0.0,0.00126
A — Original 54 (NB4),HCI_x_ProductionValue,HCI × Prod.,0.00547,0.03296,0.01605,0.00489
A — Original 54 (NB4),GFCF_x_ProductionValue,GFCF × Prod.,0.0,-0.00436,0.0,0.00059
"B — Adj. rent, 3% sample (38 ctry)",Total_Production_Value_Per_Capita,Prod. Value p.c.,-0.0,-0.02802,-0.0,0.00117
"B — Adj. rent, 3% sample (38 ctry)",Human capital index,Human Capital,0.01238,0.01463,0.02577,0.00424
"B — Adj. rent, 3% sample (38 ctry)",Rule of law index,Rule of Law,0.0,-0.02024,0.0,0.00297
