Variable,Coef,SE,p,CI_lo,CI_hi,Spec,N,R2,R2_adj
const,-3.003836988588229,0.4500356570682397,2.4779852161782795e-11,-3.885890668200797,-2.1217833089756604,"Original (54 ctry, total rents)",1324.0,0.37577002527852754,0.3714944775064627
log_HCI,1.5503182848501202,0.3697097585085014,2.748783985665581e-05,0.8257004734404567,2.2749360962597835,"Original (54 ctry, total rents)",1324.0,0.37577002527852754,0.3714944775064627
log_GFCF,0.13334187866186853,0.057914357544316855,0.021312759377182227,0.019831823687231923,0.24685193363650515,"Original (54 ctry, total rents)",1324.0,0.37577002527852754,0.3714944775064627
Political stability — estimate,0.03604335573946124,0.0606113778167409,0.5520686268578678,-0.08275276183470089,0.15483947331362335,"Original (54 ctry, total rents)",1324.0,0.37577002527852754,0.3714944775064627
Rule of law index,0.23545104641383666,0.21453301613651793,0.27242071958107905,-0.18502593870848874,0.6559280315361621,"Original (54 ctry, total rents)",1324.0,0.37577002527852754,0.3714944775064627
log_Prod,0.017120243609115005,0.029762975954957804,0.5651428685650597,-0.04121411733533391,0.07545460455356393,"Original (54 ctry, total rents)",1324.0,0.37577002527852754,0.3714944775064627
Trade (% of GDP),0.0010828965549288488,0.0025997376208183164,0.6770143842233505,-0.004012495551128899,0.006178288660986596,"Original (54 ctry, total rents)",1324.0,0.37577002527852754,0.3714944775064627
Total natural resources rents (% of GDP),-0.008934106862569657,0.005094290689731119,0.07947353681416314,-0.018918733141220362,0.0010505194160810478,"Original (54 ctry, total rents)",1324.0,0.37577002527852754,0.3714944775064627
log_HCI_x_Prod,0.30206775325016816,0.10392159445461589,0.0036527618502473222,0.09838517090314361,0.5057503355971927,"Original (54 ctry, total rents)",1324.0,0.37577002527852754,0.3714944775064627
log_GFCF_x_Prod,0.004937209715912964,0.018824073055994494,0.7931042763977553,-0.031957295516187076,0.04183171494801301,"Original (54 ctry, total rents)",1324.0,0.37577002527852754,0.3714944775064627
const,-3.1696511317842506,0.4569070593668137,3.99975437898297e-12,-4.06517251242531,-2.2741297511431915,"Adj. rent, same sample (54 ctry)",1324.0,0.3661114897626917,0.36176978763777856
log_HCI,1.659935352013578,0.37120646998683327,7.758911210098355e-06,0.9323840400111363,2.38748666401602,"Adj. rent, same sample (54 ctry)",1324.0,0.3661114897626917,0.36176978763777856
log_GFCF,0.13775862912330678,0.05739536673708868,0.016387465703629086,0.025265777439144765,0.2502514808074688,"Adj. rent, same sample (54 ctry)",1324.0,0.3661114897626917,0.36176978763777856
Political stability — estimate,0.04175195334081859,0.06209108611140836,0.5013095354034215,-0.07994433919851694,0.1634482458801541,"Adj. rent, same sample (54 ctry)",1324.0,0.3661114897626917,0.36176978763777856
Rule of law index,0.27869166233279674,0.21866144717081282,0.20247388531979693,-0.1498768989294041,0.7072602235949976,"Adj. rent, same sample (54 ctry)",1324.0,0.3661114897626917,0.36176978763777856
