Variable,Coef,SE,tstat,CI_lo,CI_hi,p,Spec,N,R2
const,0.9583977998812531,0.3306135614411753,2.8988459992491165,0.3104071266560291,1.606388473106477,0.0037453880657109225,"Original 47
(k=5 sample)",1290,0.5953
Access to electricity (% of population),0.001803324906545307,0.000601921392215703,2.9959475271466545,0.0006235806562783211,0.002983069156812293,0.0027359350889154615,"Original 47
(k=5 sample)",1290,0.5953
Adjusted savings: gross savings (% of GNI),-0.0010583954788689924,0.0007820220001350021,-1.3534088282507133,-0.0025911304342515736,0.00047433947651358906,0.17592505865288655,"Original 47
(k=5 sample)",1290,0.5953
Agriculture,-0.00018065687867541082,0.001492946849187982,-0.12100690575399291,-0.003106778933916407,0.002745465176565586,0.9036855653914125,"Original 47
(k=5 sample)",1290,0.5953
Capital depreciation rate,-2.8110274346057014,0.6425136156576444,-4.375047261416361,-4.0703309808712955,-1.5517238883401077,1.2140617142881228e-05,"Original 47
(k=5 sample)",1290,0.5953
Clientelism index,-0.045508430942249614,0.044554478408811965,-1.021410923604236,-0.13283360397348853,0.04181674208898929,0.3070597921005571,"Original 47
(k=5 sample)",1290,0.5953
"Death rates, crude per 1000 people",-0.0037172902394348784,0.00623033876676088,-0.5966433573831937,-0.0159285298337699,0.008493949354900143,0.5507455172870177,"Original 47
(k=5 sample)",1290,0.5953
Domestic credit to private sector (% of GDP),0.0027269772723338224,0.0005043373327094013,5.407050193337768,0.0017384942641644014,0.0037154602805032433,6.407119247730853e-08,"Original 47
(k=5 sample)",1290,0.5953
"GDP per capita (constant prices, PPP)",-6.858121929657163e-07,8.816644455422177e-07,-0.7778607796120738,-2.4138427526779386e-06,1.0422183667465063e-06,0.436651091952038,"Original 47
(k=5 sample)",1290,0.5953
Government revenue,-0.0032695020384097017,0.0010296439538091272,-3.1753714731333176,-0.005287567104775014,-0.0012514369720443893,0.001496447971348546,"Original 47
(k=5 sample)",1290,0.5953
"Gross fixed capital formation, all, Constant prices, Percent of GDP",0.0021194410907408867,0.0008870438982362481,2.3893305561935243,0.00038086699749182774,0.003858015183989946,0.01687910791617076,"Original 47
(k=5 sample)",1290,0.5953
Human capital index,0.03975628282217742,0.023649920600628174,1.681032401483895,-0.006596709792285681,0.08610927543664051,0.09275662114079704,"Original 47
(k=5 sample)",1290,0.5953
Industry,2.61050189765597e-05,0.0013969379484840255,0.01868731464048864,-0.0027118430486893995,0.002764053086642519,0.9850905479397327,"Original 47
(k=5 sample)",1290,0.5953
"Inflation, consumer prices (annual %)",-0.00012219040031489267,3.842215717427612e-05,-3.180206664624752,-0.0001974964445848111,-4.688435604497422e-05,0.001471700536541052,"Original 47
(k=5 sample)",1290,0.5953
Landlocked,0.059453363393682165,0.01813712573304358,3.2779925699784696,0.023905250173842117,0.0950014766135222,0.001045481474901141,"Original 47
(k=5 sample)",1290,0.5953
Lending interest rate (%),-0.0005131082464910966,0.000625146006576806,-0.8207814512017613,-0.0017383719044606761,0.0007121554114784829,0.41177076590753503,"Original 47
(k=5 sample)",1290,0.5953
"Life expectancy at birth, total (years)",0.0006936948071748512,0.0038375907604923246,0.18076310124476563,-0.006827844870793781,0.008215234485143483,0.8565535268721503,"Original 47
(k=5 sample)",1290,0.5953
Manufacturing,0.005408802213678921,0.001514963366107391,3.570252809199287,0.002439528578210866,0.008378075849146975,0.0003566368643266085,"Original 47
(k=5 sample)",1290,0.5953
Mineral rents (% of GDP),-0.011300701048894437,0.003252869772761472,-3.4740711551144843,-0.017676208649905913,-0.004925193447882962,0.0005126250732450658,"Original 47
(k=5 sample)",1290,0.5953
Mobile cellular subscriptions (per 100 people),-0.00019227803587701253,0.00017041834127667622,-1.1282707860936567,-0.0005262918470843536,0.00014173577533032854,0.25920557723843685,"Original 47
(k=5 sample)",1290,0.5953
Natural gas rents (% of GDP),0.0035807084476140397,0.003598351799960622,0.9950968239551299,-0.0034719314840136566,0.010633348379241736,0.31968917521055995,"Original 47
(k=5 sample)",1290,0.5953
Oil rents (% of GDP),0.0006856080272238927,0.0024941477078331024,0.2748866977968775,-0.0042028316522521175,0.005574047706699902,0.7834032872339753,"Original 47
(k=5 sample)",1290,0.5953
Political corruption index,-0.0829374049839807,0.08571156389053072,-0.9676337849803659,-0.2509289832680247,0.08505417330006332,0.3332272980463944,"Original 47
(k=5 sample)",1290,0.5953
Political stability — estimate,0.04707000866187248,0.011868507750850145,3.9659584549288294,0.023808160919971712,0.07033185640377324,7.310159569613882e-05,"Original 47
(k=5 sample)",1290,0.5953
"Primary net lending, General government, Percent of GDP",0.0026100458446984866,0.000792645378042131,3.292829198279582,0.001056489451223774,0.004163602238173199,0.0009918470872899022,"Original 47
(k=5 sample)",1290,0.5953
Property rights,-0.03134830021341266,0.0459538979311448,-0.6821684693730117,-0.12141628510768616,0.05871968468086085,0.49513242975380956,"Original 47
(k=5 sample)",1290,0.5953
Real interest rate (%),-0.0013069028162102589,0.0004140007807625688,-3.1567641341231507,-0.0021183294360763564,-0.0004954761963441612,0.0015953033053518698,"Original 47
(k=5 sample)",1290,0.5953
Rule of law index,-0.06420911913502812,0.07512696687570701,-0.8546747167532824,-0.21145526847914747,0.08303703020909124,0.3927312512197356,"Original 47
(k=5 sample)",1290,0.5953
Services,8.416773969983836e-05,0.0010638344040886328,0.07911733196102386,-0.0020009093778285123,0.002169244857228189,0.9369392978149467,"Original 47
(k=5 sample)",1290,0.5953
Share of consumption in GDP,0.19122699672854365,0.08195939763454031,2.3331918272658765,0.030589529170247348,0.35186446428683993,0.0196380795953692,"Original 47
(k=5 sample)",1290,0.5953
Share of government spending in GDP,0.24741689540374312,0.13520291613161678,1.829967152209119,-0.01757595081901525,0.5124097416265014,0.06725485079999127,"Original 47
(k=5 sample)",1290,0.5953
Share of investment in GDP,0.028366209456311478,0.09213856110261247,0.30786468897339003,-0.1522220518921521,0.20895447080477503,0.7581852957311089,"Original 47
(k=5 sample)",1290,0.5953
Total natural resources rents (% of GDP),-0.0002290661770632755,0.002042091062342991,-0.1121723615990252,-0.0042314911124066755,0.0037733587582801245,0.9106867430878567,"Original 47
(k=5 sample)",1290,0.5953
