Variable,Coef,SE,tstat,CI_lo,CI_hi,p,Spec,N,R2
const,-3.285211987122685,0.24018296450917187,-13.677955861008753,-3.7559619472607237,-2.814462026984646,1.375040656240903e-42,"Original 47
(k=5 sample)",1324,0.359
log_HCI,1.8268903420854914,0.18653220290952707,9.793967548711041,1.4612939424259008,2.192486741745082,1.195120969356621e-22,"Original 47
(k=5 sample)",1324,0.359
log_GFCF,0.14153182096225994,0.03188004125980649,4.439511850340655,0.0790480882673883,0.2040155536571316,9.016315027515765e-06,"Original 47
(k=5 sample)",1324,0.359
Political stability — estimate,0.04381491849014675,0.03903363544915226,1.1224913586955767,-0.03268960117585762,0.12031943815615112,0.2616535796527213,"Original 47
(k=5 sample)",1324,0.359
Rule of law index,0.35481503691582134,0.12128338600385793,2.9255040497017037,0.11710396842519052,0.5925261054064521,0.0034389869999037325,"Original 47
(k=5 sample)",1324,0.359
log_Production_Value,-0.01737105641366772,0.01338801929118589,-1.2975075726925562,-0.04361109204871953,0.008868979221384087,0.19445660124486863,"Original 47
(k=5 sample)",1324,0.359
Trade (% of GDP),0.0003885639082240507,0.001209157411791624,0.32135097087839914,-0.0019813410705271993,0.002758468886975301,0.7479444337958354,"Original 47
(k=5 sample)",1324,0.359
log_HCI_x_log_Production,0.2892297057053421,0.054345178584693225,5.3220858452897986,0.18271511294594597,0.39574429846473824,1.0258413862040546e-07,"Original 47
(k=5 sample)",1324,0.359
log_GFCF_x_log_Production,-0.0014746918163871924,0.013752822377223249,-0.10722830383016542,-0.028429728361521286,0.025480344728746905,0.9146078616647774,"Original 47
(k=5 sample)",1324,0.359
const,-3.91582005281684,0.3594908733971818,-10.892682798348721,-4.620409217446165,-3.211230888187515,1.2490560741354531e-27,Adj. ≥3%,975,0.4059
log_HCI,2.491377605723388,0.26090675322835327,9.5489195848559,1.980009766072536,3.0027454453742397,1.3105585990042948e-21,Adj. ≥3%,975,0.4059
log_GFCF,0.17905067452411028,0.039222261102576476,4.565026836567273,0.10217645537083411,0.25592489367738647,4.994304462995599e-06,Adj. ≥3%,975,0.4059
Political stability — estimate,0.023804418457852302,0.055977123704764355,0.42525261896988553,-0.08590872796162916,0.13351756487733377,0.6706525295063755,Adj. ≥3%,975,0.4059
Rule of law index,0.6682487137487853,0.16450265879609852,4.062236553739118,0.34582942714735104,0.9906680003502195,4.860478637045441e-05,Adj. ≥3%,975,0.4059
log_Production_Value,-0.04082686721890831,0.022343671328697728,-1.8272228685386707,-0.08461965830555607,0.002965923867739452,0.06766626680851892,Adj. ≥3%,975,0.4059
Trade (% of GDP),-0.0005629919152355155,0.001280652419468266,-0.4396133616561415,-0.003073024534107399,0.001947040703636368,0.6602171615974526,Adj. ≥3%,975,0.4059
log_HCI_x_log_Production,0.03731703832627101,0.11088292518566586,0.33654449739476283,-0.18000950153808337,0.2546435781906254,0.7364603022849435,Adj. ≥3%,975,0.4059
log_GFCF_x_log_Production,0.003778455587360445,0.016834797660112585,0.22444318391262305,-0.029217141513479393,0.03677405268820028,0.8224124717604622,Adj. ≥3%,975,0.4059
const,-4.0066871970552045,0.30710714956976504,-13.046544838400163,-4.6086061496066995,-3.4047682445037095,6.649533500460862e-39,Adj. ≥2%,1273,0.4775
log_HCI,2.8572313469704205,0.21976469568740817,13.001320972111586,2.4265004583496954,3.2879622355911455,1.202480844987357e-38,Adj. ≥2%,1273,0.4775
log_GFCF,0.22798468228795105,0.0343612844099104,6.634928996489905,0.160637802381989,0.2953315621939131,3.246587780887719e-11,Adj. ≥2%,1273,0.4775
Political stability — estimate,0.05795082884592403,0.045485119819489994,1.274061255107271,-0.031198367832765368,0.14710002552461343,0.20264170821503147,Adj. ≥2%,1273,0.4775
Rule of law index,0.5665305348732499,0.12846835896669312,4.409883798859214,0.31473717814556806,0.8183238916009317,1.0342610221360426e-05,Adj. ≥2%,1273,0.4775
log_Production_Value,-0.08180792205641693,0.01832059491897592,-4.465352922119508,-0.11771562827295724,-0.04590021583987662,7.993687130650948e-06,Adj. ≥2%,1273,0.4775
Trade (% of GDP),-0.0015463755030969547,0.001171527175609567,-1.3199655418085776,-0.003842526574201637,0.0007497755680077275,0.1868465229456695,Adj. ≥2%,1273,0.4775
log_HCI_x_log_Production,-0.16758780289505246,0.08053071482191694,-2.081042038005633,-0.32542510359527554,-0.009750502194829341,0.037430058423154625,Adj. ≥2%,1273,0.4775
log_GFCF_x_log_Production,-0.010064007016778773,0.014952615773136363,-0.6730599628500862,-0.03937059540679158,0.019242581373234036,0.5009091438434754,Adj. ≥2%,1273,0.4775
const,-4.120071065098552,0.28607162160915206,-14.402236201980342,-4.68076114045146,-3.5593809897456437,5.009601941281535e-47,Adj. ≥1%,1498,0.448
log_HCI,2.7891375891979853,0.20688364282787408,13.481672843118538,2.3836531002649037,3.194622078131067,2.005085579938511e-41,Adj. ≥1%,1498,0.448
log_GFCF,0.1942402870496258,0.032580339974454565,5.961886438322153,0.13038399409562423,0.25809658000362734,2.493424182518802e-09,Adj. ≥1%,1498,0.448
Political stability — estimate,-0.006163790685094407,0.043167437211958065,-0.14278796896904825,-0.09077041292542634,0.07844283155523751,0.8864576390863533,Adj. ≥1%,1498,0.448
Rule of law index,0.39996643820047906,0.12785432287148862,3.1282981225632938,0.14937657010460564,0.6505563062963524,0.0017582174614278313,Adj. ≥1%,1498,0.448
log_Production_Value,-0.04360558168965713,0.014567118406967753,-2.9934253619301727,-0.07215660912584441,-0.015054554253469844,0.002758649744423987,Adj. ≥1%,1498,0.448
Trade (% of GDP),-0.001392906381536403,0.0010317410089043882,-1.350054296102409,-0.003415081600362023,0.0006292688372892172,0.1769985671339731,Adj. ≥1%,1498,0.448
log_HCI_x_log_Production,-0.057337272849323495,0.07578937244187071,-0.7565344718126582,-0.2058817132462826,0.09120716754763561,0.4493288125721989,Adj. ≥1%,1498,0.448
log_GFCF_x_log_Production,0.010066653227384785,0.014360541605331668,0.7009939808709804,-0.018079491117554296,0.03821279757232386,0.4833067715792989,Adj. ≥1%,1498,0.448
