Variable,Coef,SE,tstat,CI_lo,CI_hi,p,Spec,N,R2
const,-0.6025688792652804,0.11725259046923898,-5.139066666705016,-0.8323797336790132,-0.3727580248515475,2.761064358207203e-07,"Original 47
(k=5 sample)",1273,0.7848
log_HCI,0.31646347218554316,0.0746734553914723,4.237964756371556,0.17010618901709912,0.4628207553539872,2.2555516490007745e-05,"Original 47
(k=5 sample)",1273,0.7848
log_GFCF,0.03256873382475731,0.012312374567975131,2.6452032989208756,0.008436923107359141,0.05670054454215547,0.008164184988446954,"Original 47
(k=5 sample)",1273,0.7848
Political stability — estimate,0.016451340015852446,0.01277443632389539,1.2878329500205952,-0.008586095101782761,0.04148877513348766,0.19780411965995814,"Original 47
(k=5 sample)",1273,0.7848
Rule of law index,0.056024859689872114,0.03755149443499802,1.4919475385154553,-0.01757471696838027,0.12962443634812448,0.1357128988614957,"Original 47
(k=5 sample)",1273,0.7848
log_Production_Value,-0.004878796743335431,0.003945510284202893,-1.2365439174925603,-0.012611854801005493,0.0028542613143346324,0.21625645165749396,"Original 47
(k=5 sample)",1273,0.7848
Trade (% of GDP),0.0002386802740058253,0.00033892698340993115,0.7042232861027246,-0.0004256044068664442,0.0009029649548780948,0.4812937316201983,"Original 47
(k=5 sample)",1273,0.7848
ECI_lag1,0.8120630481741321,0.02964130170131922,27.396335571119344,0.7539671643846606,0.8701589319636036,3.0325699595845597e-165,"Original 47
(k=5 sample)",1273,0.7848
log_HCI_x_log_Production,0.06107059498644883,0.020920421053313563,2.9191857482608325,0.020067323180540747,0.10207386679235692,0.003509470386198333,"Original 47
(k=5 sample)",1273,0.7848
log_GFCF_x_log_Production,0.00011572665906819067,0.006176294011913398,0.01873723285273767,-0.011989587162212469,0.01222104048034885,0.9850507259413109,"Original 47
(k=5 sample)",1273,0.7848
const,-0.4715925610475975,0.14618568586285227,-3.2259831615116803,-0.7581112403940741,-0.18507388170112093,0.001255407426364723,Adj. ≥3%,936,0.8511
log_HCI,0.2780047533845033,0.0961913529301805,2.8901220839080017,0.08947316601716815,0.4665363407518385,0.0038509224200442317,Adj. ≥3%,936,0.8511
log_GFCF,0.030821471484509345,0.016393896841637723,1.880057669158197,-0.0013099758913655349,0.06295291886038423,0.06010021878426054,Adj. ≥3%,936,0.8511
Political stability — estimate,0.013546610618338457,0.01602755934162571,0.8452073288012169,-0.017866828451326436,0.04496004968800335,0.397995091150282,Adj. ≥3%,936,0.8511
Rule of law index,0.08732509257127402,0.04101708876435687,2.128992944208122,0.0069330758424520494,0.16771710930009598,0.033254844167873644,Adj. ≥3%,936,0.8511
log_Production_Value,-0.006845516763724305,0.005702471607102867,-1.2004473209823068,-0.018022155736508165,0.004331122209059556,0.22996566007417307,Adj. ≥3%,936,0.8511
Trade (% of GDP),4.4266055723524535e-05,0.00031696169182267997,0.13965743137277484,-0.0005769674447278119,0.0006654995561748611,0.8889306615385636,Adj. ≥3%,936,0.8511
ECI_lag1,0.8679440952241737,0.029787594674128528,29.137770428238394,0.8095614824768047,0.9263267079715427,1.1936233343926146e-186,Adj. ≥3%,936,0.8511
log_HCI_x_log_Production,-0.0003502920045341529,0.029133331833702984,-0.012023753634965861,-0.05745057314824625,0.05674998913917795,0.9904066637647986,Adj. ≥3%,936,0.8511
log_GFCF_x_log_Production,-0.00013968662821914335,0.00793148573129257,-0.01761165977617904,-0.015685113005445915,0.015405739749007627,0.9859486549638219,Adj. ≥3%,936,0.8511
const,-0.39974921903555194,0.12277918182670408,-3.255838759373519,-0.6403919934671867,-0.1591064446039172,0.0011305793661328116,Adj. ≥2%,1222,0.8831
log_HCI,0.2749176782046756,0.08751465500561749,3.141390184158629,0.10339210627421735,0.44644325013513386,0.001681478534960512,Adj. ≥2%,1222,0.8831
log_GFCF,0.032649682114457235,0.014010981566233462,2.3302922753922637,0.005188662856585053,0.06011070137232942,0.01979070875445323,Adj. ≥2%,1222,0.8831
