Variable,Coef,SE,tstat,CI_lo,CI_hi,p,Spec,N,R2
const,-0.5935894627510231,0.13116056236472054,-4.525670308582684,-0.8506594411778949,-0.3365194843241512,6.0204374822104074e-06,"Original 47
(k=5 sample)",1270,0.7884
log_HCI_lag1,0.304673566481208,0.0738210793213723,4.127189270084276,0.15998690971144378,0.44936022325097225,3.672241394368474e-05,"Original 47
(k=5 sample)",1270,0.7884
log_GFCF_lag1,0.03225524461794758,0.013624762209933292,2.3673987201355717,0.005551201388555971,0.058959287847339184,0.017913622253233515,"Original 47
(k=5 sample)",1270,0.7884
Political stability — estimate_lag1,0.016663269720612522,0.011981534417288948,1.3907458878195091,-0.00682010621680092,0.04014664565802596,0.16430249726091317,"Original 47
(k=5 sample)",1270,0.7884
Rule of law index_lag1,0.06291301303457425,0.03729656906160961,1.6868311112115768,-0.010186919073091424,0.13601294514223994,0.09163583139030837,"Original 47
(k=5 sample)",1270,0.7884
log_Production_Value_lag1,-0.00372632010881355,0.0038805767022768193,-0.9602490543808183,-0.011332110684521328,0.0038794704668942276,0.3369298836673157,"Original 47
(k=5 sample)",1270,0.7884
Trade (% of GDP)_lag1,0.000319404848146321,0.00033306646066989966,0.9589823229390887,-0.0003333934192249088,0.0009722031155175508,0.3375676504684405,"Original 47
(k=5 sample)",1270,0.7884
ECI_lag1,0.8168711966039799,0.029939598069610645,27.283973375485033,0.758190662675938,0.8755517305320217,6.572695305566765e-164,"Original 47
(k=5 sample)",1270,0.7884
log_HCI_x_log_Production_lag1,0.053512440264135666,0.01922499263474055,2.7834830046923362,0.01583214709699638,0.09119273343127496,0.005377867988778761,"Original 47
(k=5 sample)",1270,0.7884
log_GFCF_x_log_Production_lag1,-0.003760097624620906,0.0052613501386862905,-0.7146640169361104,-0.014072154406500854,0.006551959157259042,0.47481667729716026,"Original 47
(k=5 sample)",1270,0.7884
const,-0.4585955124637837,0.16238844178724096,-2.824064985269266,-0.7768710098723551,-0.1403200150552123,0.00474187693947591,Adj. ≥3%,936,0.8514
log_HCI_lag1,0.2701320308070893,0.09859290015468886,2.739873057626477,0.07689349737254564,0.463370564241633,0.006146291818945668,Adj. ≥3%,936,0.8514
log_GFCF_lag1,0.02230225694476811,0.016834575963316327,1.3247887557943976,-0.010692905638335574,0.055297419527871795,0.18524122525071263,Adj. ≥3%,936,0.8514
Political stability — estimate_lag1,0.01599759404308848,0.014838074711004954,1.0781448641193017,-0.0130844979903958,0.04507968607657276,0.28096911281492853,Adj. ≥3%,936,0.8514
Rule of law index_lag1,0.08583502418825414,0.043743562141322336,1.962232154549895,9.921783577256094e-05,0.17157083054073574,0.04973546195973172,Adj. ≥3%,936,0.8514
log_Production_Value_lag1,-0.004903612782440073,0.0057682053494895694,-0.8501106471311731,-0.016209087522870903,0.00640186195799076,0.39526357267791334,Adj. ≥3%,936,0.8514
Trade (% of GDP)_lag1,0.0002206945499539859,0.0003025101843970393,0.7295441983015296,-0.00037221451642078173,0.0008136036163287535,0.4656688419343149,Adj. ≥3%,936,0.8514
ECI_lag1,0.8686450246447774,0.02967202870685522,29.274878142864956,0.8104889170311026,0.9268011322584523,2.166402140604501e-188,Adj. ≥3%,936,0.8514
log_HCI_x_log_Production_lag1,-0.002999920225047248,0.028758404946953822,-0.10431455536497022,-0.059365358173895266,0.05336551772380077,0.9169197274194316,Adj. ≥3%,936,0.8514
log_GFCF_x_log_Production_lag1,-0.008794612074768463,0.0071675259937134025,-1.227008047474424,-0.022842704880701392,0.005253480731164469,0.21981956626201582,Adj. ≥3%,936,0.8514
const,-0.3926650606179741,0.13899630417663694,-2.825003606707227,-0.6650928107883568,-0.12023731044759145,0.0047280083830176615,Adj. ≥2%,1222,0.8832
log_HCI_lag1,0.26508686169086865,0.0883837508154464,2.999271463873433,0.09185789327403107,0.43831583010770625,0.0027062606479916667,Adj. ≥2%,1222,0.8832
log_GFCF_lag1,0.026936089352860577,0.01489083375835025,1.80890404056494,-0.0022494085132791254,0.05612158721900028,0.07046591258460543,Adj. ≥2%,1222,0.8832
Political stability — estimate_lag1,0.017760193151118667,0.011327936947573834,1.567822387546257,-0.004442155285266643,0.03996254158750398,0.11692258864774577,Adj. ≥2%,1222,0.8832
Rule of law index_lag1,0.07087639393837468,0.032279479107960064,2.1957105844653078,0.007609777447059846,0.1341430104296895,0.028112665094104556,Adj. ≥2%,1222,0.8832
log_Production_Value_lag1,-0.010588473108808935,0.005231456664371008,-2.024000921372827,-0.020841939757658155,-0.00033500645995971495,0.042970056945394665,Adj. ≥2%,1222,0.8832
Trade (% of GDP)_lag1,0.00012781815207738088,0.0002611057466668412,0.48952638426786876,-0.0003839397075460671,0.0006395760117008289,0.6244690799235514,Adj. ≥2%,1222,0.8832
ECI_lag1,0.8863976667919617,0.024550181420009306,36.10554446125253,0.8382801953948191,0.9345151381891044,1.856285883142707e-285,Adj. ≥2%,1222,0.8832
log_HCI_x_log_Production_lag1,-0.03190474865401215,0.02119772524311994,-1.5051024715195485,-0.07345152668470278,0.009642029376678497,0.13229773370197545,Adj. ≥2%,1222,0.8832
log_GFCF_x_log_Production_lag1,-0.006409873269122169,0.0064021057842179995,-1.00121327031542,-0.01895777003140501,0.00613802349316067,0.3167237122552288,Adj. ≥2%,1222,0.8832
const,-0.3587831337271911,0.12513513444500826,-2.867165447325759,-0.6040434904399848,-0.11352277701439736,0.004141664347365322,Adj. ≥1%,1438,0.886
log_HCI_lag1,0.22225408353956524,0.07469331121152695,2.975555373494624,0.0758578836789306,0.3686502834001999,0.0029245854566136154,Adj. ≥1%,1438,0.886
log_GFCF_lag1,0.020807152281782548,0.0129317390071681,1.6089987796884149,-0.004538590429738684,0.04615289499330378,0.10761660846016614,Adj. ≥1%,1438,0.886
Political stability — estimate_lag1,0.0075920243600156485,0.010319665576538,0.7356851153467892,-0.012634148502496605,0.0278181972225279,0.46192235010988314,Adj. ≥1%,1438,0.886
Rule of law index_lag1,0.04129324336726499,0.026842223114731868,1.5383689790061368,-0.011316547202598025,0.09390303393712801,0.12395842261070243,Adj. ≥1%,1438,0.886
log_Production_Value_lag1,-0.005039587007569056,0.003507251087667656,-1.4369051093289171,-0.011913672824136594,0.0018344988089984814,0.1507449579533593,Adj. ≥1%,1438,0.886
Trade (% of GDP)_lag1,0.00015293149265538917,0.0002149627345332624,0.7114325791744393,-0.0002683877250480497,0.0005742507103588281,0.47681621631207183,Adj. ≥1%,1438,0.886
ECI_lag1,0.89897500643353,0.021108612012346987,42.588068126302936,0.8576028871257003,0.9403471257413597,0.0,Adj. ≥1%,1438,0.886
log_HCI_x_log_Production_lag1,-0.013194679534224912,0.01861615737930332,-0.7087756761711853,-0.04968167752818897,0.023292318459739152,0.4784636944631916,Adj. ≥1%,1438,0.886
log_GFCF_x_log_Production_lag1,-0.0030916567060981608,0.006043666785561422,-0.5115531374900186,-0.014937025940359505,0.008753712528163184,0.6089637901635228,Adj. ≥1%,1438,0.886
