Variable,Coef,SE,tstat,CI_lo,CI_hi,p,Spec,N,R2
const,-0.47911290160975883,0.12102717048311827,-3.9587218283070484,-0.7163217969074598,-0.24190400631205794,7.535193603136127e-05,"Original 47
(k=5 sample)",1264,0.7932
log_HCI,0.12140203858892851,0.06893790357732175,1.761034674527957,-0.013713769592317099,0.2565178467701741,0.07823253435918498,"Original 47
(k=5 sample)",1264,0.7932
log_GFCF,0.016697244259032913,0.01249792754934627,1.3360010444216646,-0.007798243619076717,0.04119273213714254,0.18154893193053956,"Original 47
(k=5 sample)",1264,0.7932
Political stability — estimate,0.01666330884017632,0.01406698255935947,1.1845688135220855,-0.010907470347321317,0.04423408802767395,0.23618797367274147,"Original 47
(k=5 sample)",1264,0.7932
Rule of law index,0.07342186110599572,0.03973568746527295,1.8477561554751716,-0.004458655226878938,0.15130237743887037,0.0646376262409158,"Original 47
(k=5 sample)",1264,0.7932
log_Production_Value,-0.019396410588128413,0.005544129434968865,-3.4985493783366803,-0.030262704606295786,-0.00853011656996104,0.0004677964602778924,"Original 47
(k=5 sample)",1264,0.7932
Trade (% of GDP),0.00048747255272026157,0.00031549324695326667,1.545112478405821,-0.0001308828486737422,0.0011058279541142652,0.12231905919049642,"Original 47
(k=5 sample)",1264,0.7932
Hydrocarbons_Dominant,-0.042609834449865505,0.06552971221337224,-0.6502368621904367,-0.1710457103053496,0.0858260414056186,0.5155392335093958,"Original 47
(k=5 sample)",1264,0.7932
Subsoil_Metals_Dominant,-0.0373983142654352,0.06316144182884721,-0.5921067217999221,-0.1611924654615974,0.08639583693072703,0.5537791260608718,"Original 47
(k=5 sample)",1264,0.7932
Precious_Metals_Dominant,0.022085811445654163,0.06414010928976248,0.3443369786895471,-0.10362649272674324,0.14779811561805156,0.7305928777057524,"Original 47
(k=5 sample)",1264,0.7932
Access to electricity (% of population),0.0030042933802705753,0.0007625610600468536,3.9397414025913995,0.0015097011665660567,0.004498885593975094,8.156948679650505e-05,"Original 47
(k=5 sample)",1264,0.7932
ECI_lag1,0.7756294997107521,0.03553930191693581,21.824556417106653,0.7059737479178626,0.8452852515036416,1.3564726252686516e-105,"Original 47
(k=5 sample)",1264,0.7932
log_HCI_x_log_Production,0.06633997872297863,0.022119194122733943,2.999204146176144,0.022987154875370064,0.1096928025705872,0.002706858697407433,"Original 47
(k=5 sample)",1264,0.7932
log_GFCF_x_log_Production,0.006423112689120951,0.006444366355595893,0.9967019773082133,-0.006207613271028641,0.019053838649270544,0.3189091896429257,"Original 47
(k=5 sample)",1264,0.7932
const,-0.4545932732230052,0.14680853406584204,-3.096504410425657,-0.7423327126151773,-0.16685383383083313,0.0019581694900030313,Adj. ≥3%,933,0.8556
log_HCI,0.11811325937843847,0.08679423077615601,1.360842285509216,-0.05200030700868527,0.28822682576556224,0.17356353563353177,Adj. ≥3%,933,0.8556
log_GFCF,0.016526558919864622,0.016564585467455872,0.9977043465611645,-0.015939432015184465,0.048992549854913706,0.3184227449051711,Adj. ≥3%,933,0.8556
Political stability — estimate,0.015501884564835922,0.017661292896553354,0.8777321488089443,-0.019113613432821745,0.05011738256249359,0.38008909359930654,Adj. ≥3%,933,0.8556
Rule of law index,0.1310122217431049,0.04576157559569003,2.8629307456678577,0.04132118169974537,0.22070326178646443,0.004197422960478653,Adj. ≥3%,933,0.8556
log_Production_Value,-0.020873317633470834,0.00768807747934131,-2.7150243594136088,-0.03594167260333328,-0.005804962663608384,0.006627089572105834,Adj. ≥3%,933,0.8556
Trade (% of GDP),0.00029836919646210303,0.00029192587217586973,1.022071782258311,-0.0002737949991580451,0.0008705333920822512,0.30674692736808706,Adj. ≥3%,933,0.8556
Hydrocarbons_Dominant,-0.0005460592414955612,0.04988746587738943,-0.01094582039580111,-0.09832369564114973,0.09723157715815861,0.9912666732926286,Adj. ≥3%,933,0.8556
Subsoil_Metals_Dominant,-0.06702579889917118,0.052934133611447005,-1.2662113144452571,-0.17077479433043846,0.03672319653209609,0.20543743779719426,Adj. ≥3%,933,0.8556
