Variable,Coef,SE,tstat,CI_lo,CI_hi,p,Spec,N,R2
const,-0.47911290160975667,0.12102717048312837,-3.9587218283067003,-0.7163217969074773,-0.24190400631203596,7.535193603147106e-05,"Original 47
(k=5 sample)",1264,0.1202
log_HCI,0.12140203858893146,0.06893790357732715,1.761034674527862,-0.013713769592324718,0.25651784677018763,0.07823253435920108,"Original 47
(k=5 sample)",1264,0.1202
log_GFCF,0.01669724425903028,0.012497927549346291,1.3360010444214516,-0.007798243619079392,0.04119273213713995,0.18154893193060917,"Original 47
(k=5 sample)",1264,0.1202
Political stability — estimate,0.016663308840177228,0.014066982559359576,1.1845688135221413,-0.010907470347320616,0.044234088027675075,0.23618797367271926,"Original 47
(k=5 sample)",1264,0.1202
Rule of law index,0.07342186110599594,0.03973568746527313,1.847756155475169,-0.004458655226879063,0.15130237743887093,0.0646376262409162,"Original 47
(k=5 sample)",1264,0.1202
log_Production_Value,-0.019396410588128347,0.005544129434968965,-3.498549378336605,-0.030262704606295918,-0.008530116569960776,0.0004677964602780248,"Original 47
(k=5 sample)",1264,0.1202
Trade (% of GDP),0.0004874725527202851,0.00031549324695327074,1.5451124784058756,-0.0001308828486737267,0.0011058279541142969,0.12231905919048316,"Original 47
(k=5 sample)",1264,0.1202
Hydrocarbons_Dominant,-0.04260983444986409,0.06552971221337195,-0.650236862190418,-0.1710457103053476,0.08582604140561943,0.515539233509408,"Original 47
(k=5 sample)",1264,0.1202
Subsoil_Metals_Dominant,-0.037398314265434086,0.06316144182884692,-0.5921067217999072,-0.16119246546159574,0.08639583693072755,0.5537791260608818,"Original 47
(k=5 sample)",1264,0.1202
Precious_Metals_Dominant,0.022085811445654396,0.06414010928976248,0.3443369786895507,-0.103626492726743,0.14779811561805178,0.7305928777057498,"Original 47
(k=5 sample)",1264,0.1202
Access to electricity (% of population),0.00300429338027051,0.0007625610600468577,3.9397414025912925,0.0015097011665659832,0.004498885593975037,8.15694867965413e-05,"Original 47
(k=5 sample)",1264,0.1202
ECI_lag1,-0.22437050028924804,0.03553930191693614,-6.31330634500519,-0.2940262520821382,-0.1547147484963579,2.7313605634768655e-10,"Original 47
(k=5 sample)",1264,0.1202
log_HCI_x_log_Production,0.0663399787229787,0.02211919412273411,2.9992041461761243,0.022987154875369807,0.10969280257058758,0.0027068586974076064,"Original 47
(k=5 sample)",1264,0.1202
log_GFCF_x_log_Production,0.006423112689121128,0.006444366355595909,0.9967019773082384,-0.0062076132710284955,0.019053838649270752,0.31890918964291337,"Original 47
(k=5 sample)",1264,0.1202
const,-0.45459327322300364,0.1468085340658338,-3.0965044104258204,-0.7423327126151595,-0.16685383383084773,0.001958169490001954,Adj. ≥3%,933,0.0885
log_HCI,0.11811325937843806,0.08679423077615178,1.3608422855092774,-0.05200030700867739,0.2882268257655535,0.17356353563351234,Adj. ≥3%,933,0.0885
