,(3a),(3b),(3c),(3d),(3e)
SE estimator,HAC-panel (k=3),HAC-panel (k=3),HAC-panel (k=3),HAC-panel (k=3),HAC-panel (k=3)
────────────────────,,,,,
Human Capital (log),1.8269***,0.3165***,,0.1214*,0.1214*
,(0.1865),(0.0747),,(0.0689),(0.0689)
GFCF (log),0.1415***,0.0326***,,0.0167,0.0167
,(0.0319),(0.0123),,(0.0125),(0.0125)
Political Stability,0.0438,0.0165,,0.0167,0.0167
,(0.0390),(0.0128),,(0.0141),(0.0141)
Rule of Law,0.3548***,0.0560,,0.0734*,0.0734*
,(0.1213),(0.0376),,(0.0397),(0.0397)
NR Production (log),-0.0174,-0.0049,,-0.0194***,-0.0194***
,(0.0134),(0.0039),,(0.0055),(0.0055)
Trade,0.0004,0.0002,,0.0005,0.0005
,(0.0012),(0.0003),,(0.0003),(0.0003)
HCI × Production,0.2892***,0.0611***,,0.0663***,0.0663***
,(0.0543),(0.0209),,(0.0221),(0.0221)
GFCF × Production,-0.0015,0.0001,,0.0064,0.0064
,(0.0138),(0.0062),,(0.0064),(0.0064)
ECI (t−1),,0.8121***,0.8169***,0.7756***,-0.2244***
,,(0.0296),(0.0299),(0.0355),(0.0355)
Human Capital (t−1),,,0.3047***,,
,,,(0.0738),,
GFCF (t−1),,,0.0323**,,
,,,(0.0136),,
Political Stability (t−1),,,0.0167,,
,,,(0.0120),,
Rule of Law (t−1),,,0.0629*,,
,,,(0.0373),,
NR Production (t−1),,,-0.0037,,
,,,(0.0039),,
Trade (t−1),,,0.0003,,
,,,(0.0003),,
HCI × Production (t−1),,,0.0535***,,
,,,(0.0192),,
GFCF × Production (t−1),,,-0.0038,,
,,,(0.0053),,
Hydrocarbons dominant,,,,-0.0426,-0.0426
,,,,(0.0655),(0.0655)
Subsoil metals dominant,,,,-0.0374,-0.0374
,,,,(0.0632),(0.0632)
Precious metals dominant,,,,0.0221,0.0221
,,,,(0.0641),(0.0641)
Electricity access,,,,0.0030***,0.0030***
,,,,(0.0008),(0.0008)
const,-3.2852***,-0.6026***,-0.5936***,-0.4791***,-0.4791***
,(0.2402),(0.1173),(0.1312),(0.1210),(0.1210)
────────────────────,,,,,
N,1324,1273,1270,1264,1264
R²,0.3590,0.7848,0.7884,0.7932,0.1202
