FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM
Cerro Bayo concentration plant,concentrator,-46.5463,-71.9995,Coquimbo,port,-29.96,-71.35,concentrate_to_port,concentrate,Copper,1845.2
Concentration plant,concentrator,-46.5463,-71.9995,Coquimbo,port,-29.96,-71.35,concentrate_to_port,concentrate,Copper,1845.2
Doña Rosa concentration plant,concentrator,-45.0341,-71.9341,Coquimbo,port,-29.96,-71.35,concentrate_to_port,concentrate,Copper,1676.9
El Algarrobito concentration plant,concentrator,-28.8028,-70.9839,Coquimbo,port,-29.96,-71.35,concentrate_to_port,concentrate,Copper,133.5
El Laco concentration plant,concentrator,-23.8435,-67.4856,Coloso,port,-23.76,-70.45,concentrate_to_port,concentrate,Copper,301.7
El Peñón concentration plant,concentrator,-24.4116,-69.4969,Coloso,port,-23.76,-70.45,concentrate_to_port,concentrate,Copper,120.9
El Romeral concentration plant,concentrator,-29.7282,-71.2317,Coquimbo,port,-29.96,-71.35,concentrate_to_port,concentrate,Copper,28.2
Escondida concentrator,concentrator,-24.2628,-69.0581,Coloso,port,-23.76,-70.45,concentrate_to_port,concentrate,Copper,152.0
Esperanza milling/flotation plant,concentrator,-22.9998,-69.1036,Angamos,port,-23.1,-70.42,concentrate_to_port,concentrate,Copper,135.2
Huasco concentration plant,concentrator,-28.2907,-70.8125,Caldera,port,-27.07,-70.82,concentrate_to_port,concentrate,Copper,135.7
Los Colorados concentration plant,concentrator,-28.291,-70.8129,Caldera,port,-27.07,-70.82,concentrate_to_port,concentrate,Copper,135.8
Minera Florida concentration plant,concentrator,-34.0348,-71.0265,Coquimbo,port,-29.96,-71.35,concentrate_to_port,concentrate,Copper,454.1
Tortolas molybdenum flotation plant,concentrator,-33.1409,-70.7086,Coquimbo,port,-29.96,-71.35,concentrate_to_port,concentrate,Copper,358.9
Angamos,port,-23.1,-70.42,Argentina,country,-34.6,-58.38,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Argentina,country,-34.6,-58.38,port_to_country,iodine,Iodine,
Angamos,port,-23.1,-70.42,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Belgium,country,51.26,4.35,port_to_country,blister,Copper,
Angamos,port,-23.1,-70.42,Belgium,country,51.26,4.35,port_to_country,concentrate,Molybdenum,
Angamos,port,-23.1,-70.42,Belgium,country,51.26,4.35,port_to_country,lithium_compounds,Lithium,
Angamos,port,-23.1,-70.42,Belgium,country,51.26,4.35,port_to_country,iodine,Iodine,
Angamos,port,-23.1,-70.42,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Brazil,country,-23.55,-46.63,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Brazil,country,-23.55,-46.63,port_to_country,blister,Copper,
Angamos,port,-23.1,-70.42,Brazil,country,-23.55,-46.63,port_to_country,iodine,Iodine,
Angamos,port,-23.1,-70.42,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Canada,country,49.28,-123.12,port_to_country,blister,Copper,
Angamos,port,-23.1,-70.42,Canada,country,49.28,-123.12,port_to_country,lithium_compounds,Lithium,
Angamos,port,-23.1,-70.42,China,country,31.23,121.47,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,China,country,31.23,121.47,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,China,country,31.23,121.47,port_to_country,blister,Copper,
Angamos,port,-23.1,-70.42,China,country,31.23,121.47,port_to_country,concentrate,Molybdenum,
Angamos,port,-23.1,-70.42,China,country,31.23,121.47,port_to_country,lithium_compounds,Lithium,
Angamos,port,-23.1,-70.42,China,country,31.23,121.47,port_to_country,iodine,Iodine,
Angamos,port,-23.1,-70.42,Colombia,country,4.71,-74.07,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Colombia,country,4.71,-74.07,port_to_country,iodine,Iodine,
Angamos,port,-23.1,-70.42,Finland,country,60.17,24.94,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,France,country,48.86,2.35,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,France,country,48.86,2.35,port_to_country,iodine,Iodine,
Angamos,port,-23.1,-70.42,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Germany,country,53.55,9.99,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Germany,country,53.55,9.99,port_to_country,blister,Copper,
Angamos,port,-23.1,-70.42,Germany,country,53.55,9.99,port_to_country,lithium_compounds,Lithium,
Angamos,port,-23.1,-70.42,Greece,country,37.98,23.73,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Greece,country,37.98,23.73,port_to_country,blister,Copper,
