FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM,EXPORT_VALUE,EXPORT_UNIT,DESTINATION_TOTAL
Angamos,port,-23.1,-70.42,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,3.44,kMT,60.2
Antofagasta (ATI),port,-23.65,-70.4,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,2.76,kMT,60.2
Barquito,port,-27.07,-70.84,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,0.74,kMT,60.2
Caldera,port,-27.07,-70.82,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,4.92,kMT,60.2
Coloso,port,-23.76,-70.45,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,20.5,kMT,60.2
Coquimbo,port,-29.96,-71.35,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,1.58,kMT,60.2
Mejillones,port,-23.1,-70.45,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,3.61,kMT,60.2
Patache,port,-20.8,-70.22,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,6.51,kMT,60.2
San Antonio,port,-33.59,-71.62,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,0.81,kMT,60.2
Ventanas,port,-32.74,-71.49,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,6.22,kMT,60.2
Angamos,port,-23.1,-70.42,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.02,kMT,0.3
Antofagasta (ATI),port,-23.65,-70.4,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.01,kMT,0.3
Barquito,port,-27.07,-70.84,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.0,kMT,0.3
Caldera,port,-27.07,-70.82,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.02,kMT,0.3
Coloso,port,-23.76,-70.45,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.1,kMT,0.3
Coquimbo,port,-29.96,-71.35,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.01,kMT,0.3
Mejillones,port,-23.1,-70.45,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.02,kMT,0.3
Patache,port,-20.8,-70.22,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.03,kMT,0.3
San Antonio,port,-33.59,-71.62,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.0,kMT,0.3
Ventanas,port,-32.74,-71.49,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.03,kMT,0.3
Angamos,port,-23.1,-70.42,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,2.07,kMT,36.21
Antofagasta (ATI),port,-23.65,-70.4,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,1.66,kMT,36.21
Barquito,port,-27.07,-70.84,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,0.44,kMT,36.21
Caldera,port,-27.07,-70.82,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,2.96,kMT,36.21
Coloso,port,-23.76,-70.45,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,12.33,kMT,36.21
Coquimbo,port,-29.96,-71.35,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,0.95,kMT,36.21
Mejillones,port,-23.1,-70.45,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,2.17,kMT,36.21
Patache,port,-20.8,-70.22,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,3.92,kMT,36.21
San Antonio,port,-33.59,-71.62,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,0.49,kMT,36.21
Ventanas,port,-32.74,-71.49,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,3.74,kMT,36.21
Angamos,port,-23.1,-70.42,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,3.74,kMT,65.4
Antofagasta (ATI),port,-23.65,-70.4,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,3.0,kMT,65.4
Barquito,port,-27.07,-70.84,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,0.8,kMT,65.4
Caldera,port,-27.07,-70.82,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,5.35,kMT,65.4
Coloso,port,-23.76,-70.45,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,22.27,kMT,65.4
Coquimbo,port,-29.96,-71.35,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,1.71,kMT,65.4
Mejillones,port,-23.1,-70.45,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,3.92,kMT,65.4
Patache,port,-20.8,-70.22,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,7.08,kMT,65.4
San Antonio,port,-33.59,-71.62,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,0.88,kMT,65.4
Ventanas,port,-32.74,-71.49,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,6.76,kMT,65.4
Angamos,port,-23.1,-70.42,Finland,country,60.17,24.94,port_to_country,concentrate,Copper,,0.55,kMT,9.7
Antofagasta (ATI),port,-23.65,-70.4,Finland,country,60.17,24.94,port_to_country,concentrate,Copper,,0.45,kMT,9.7
Barquito,port,-27.07,-70.84,Finland,country,60.17,24.94,port_to_country,concentrate,Copper,,0.12,kMT,9.7
Caldera,port,-27.07,-70.82,Finland,country,60.17,24.94,port_to_country,concentrate,Copper,,0.79,kMT,9.7
Coloso,port,-23.76,-70.45,Finland,country,60.17,24.94,port_to_country,concentrate,Copper,,3.3,kMT,9.7
Coquimbo,port,-29.96,-71.35,Finland,country,60.17,24.94,port_to_country,concentrate,Copper,,0.25,kMT,9.7
Mejillones,port,-23.1,-70.45,Finland,country,60.17,24.94,port_to_country,concentrate,Copper,,0.58,kMT,9.7
Patache,port,-20.8,-70.22,Finland,country,60.17,24.94,port_to_country,concentrate,Copper,,1.05,kMT,9.7
San Antonio,port,-33.59,-71.62,Finland,country,60.17,24.94,port_to_country,concentrate,Copper,,0.13,kMT,9.7
Ventanas,port,-32.74,-71.49,Finland,country,60.17,24.94,port_to_country,concentrate,Copper,,1.0,kMT,9.7
Angamos,port,-23.1,-70.42,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.01,kMT,0.12
Antofagasta (ATI),port,-23.65,-70.4,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.01,kMT,0.12
Barquito,port,-27.07,-70.84,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.0,kMT,0.12
Caldera,port,-27.07,-70.82,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.01,kMT,0.12
Coloso,port,-23.76,-70.45,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.04,kMT,0.12
Coquimbo,port,-29.96,-71.35,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.0,kMT,0.12
Mejillones,port,-23.1,-70.45,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.01,kMT,0.12
Patache,port,-20.8,-70.22,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.01,kMT,0.12
San Antonio,port,-33.59,-71.62,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,,0.0,kMT,0.12
