Lithium_Resource,ID_ATLAS_FAENA,COMMTYPE,COMMENTS,MULTI_PROD,OrdReg,MODELO_DEPOSITO,FRANJA_METALOGENICA,ECAP,Nitrate_Reserve,Cobalt_Resource,SISTEMA_MINERAL,Potassium_Reserve,COMB_CRIT_COD,SOURCE,ESTADO_DEPOSITO,CRITICO_4,NOMBRE_DEPOSITO,Potassium_Resource,Molybdenum_Reserve,YEAR,LATITUD,Silver_Resource,DDLAT,LOCACC,ISO_CC,Molybdenum_Resource,REGION,FACID_NUM,Nitrate_Resource,MULTI_COMM,OWNER,LOCNAME,Manganese_Resource,Zinc_Reserve,Titanium_Resource,OrdFranj,Boron_Reserve,UNITS,OPERATOR_NAME,Silver_Reserve,Copper_Reserve,Rare Earths_Resource,COMBOCAP,CAPACITY_UNITS,OTROS_NOMBRES,ID,CRITICO_2,LOCDESC,Iron_Resource,VALOR_DATO,CRITICO_3,COUNTRY,FACILITY_TYPE,OPERATOR,DDLONG,PRIMARY_COMMODITY,ROWID,LONGITUD,SOURCEID,FACILITY_NAME,OTROS_CRITICOS,STATUS,CAPACITY,ANNCAP,COMMODITY,Lithium_Reserve,Copper_Resource,Boron_Resource,FACID,Gold_Reserve,ADM1,Iodine_Resource,COMUNA,ELEVACION,Gold_Resource,CRITICO_1,Iron_Reserve,COMBINACION_CRITICO,MIN_PROD,OBJECTID,ID_SIA_YACIMIENTO,PROVINCIA,Iodine_Reserve,Zinc_Resource,GRUPO_MODELO,REFERENCIA,OWNER_NAME,FACTYPE,ALL_COMMODITIES_RAW,N_COMMODITIES
,,,,,3,Campo de nitrato-yodo,Mioceno-Pleistoceno,,,,Sedimentario-Atmosférico,,"MIN_14, MIN_16",Sernageomin_2025,Mina paralizada,,Aguas Blancas,,,,-24.13999999999993,,,,,,Antofagasta,,3377115.0,,,,,,,11,,,Atacama Minerals Chile Minera ,,,,,,,1,Yodo,,,Actualizado,,,Mine (idle),,,Nitrate,,-69.85999999999996,,Aguas Blancas,,Idle,,,,,,,,,,67580.8,Antofagasta,,,Nitrato,,Nitrato-Yodo,,1,,Antofagasta,38403.07,,Campo de nitrato-yodo,https://www.sernageomin.cl/planes-de-cierre/,SCM Bullmine and RB Energy,,Nitrato-Yodo,2
,,,,,7,Epitermal de baja sulfuración,Cretácico Superior,,,,Magmático-Hidrotermal,,"MIN_12, MIN_17, MIN_18",Sernageomin_2025,Mina en producción,,Alhué,,,,-34.00799999999998,191.2,,,,,Metropolitana de Santiago,,,,,,,29700.0,,6,,,,67.2,,,,,"Minera Florida, Florida",2,Plata,,,Actualizado,Cinc,,Mine (active),,,Gold,,-70.97799999999995,,Alhué,,Active,,,,,,,,9.624,,,Alhué,,37.07,Oro,,Oro-Plata-Cinc,,2,"4242, 4289, 4290",Melipilla,,112180.0,Epitermales,https://panamericansilver.com/operations/reserves-and-resources/,,,Oro-Plata-Cinc,3
,,,,,3,Estratoligado,Cretácico Inferior,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Mina en producción,,Altamira,,,,-25.835999999999956,,,,,,Antofagasta,,,,,,,,,5,,,,,,,,,,3,,,,Actualizado,,,Mine (active),,,Copper,,-69.85699999999997,,Altamira,,Active,,,,,429878.0,,,,,,Taltal,,,Cobre,,Cobre,,3,2470,Antofagasta,,,Estratoligado,https://www.sernageomin.cl/planes-de-cierre/,,,Cobre,1
,,,,,5,Epitermal de alta sulfuración,Mioceno,,,,Magmático-Hidrotermal,,"MIN_17, MIN_18",Sernageomin_2025,Prospecto/Proyecto,,Alturas,,,,-30.017299999999977,,,,,,Coquimbo,,,,,,,,,9,,,,,,,,,,4,Plata,,,Histórico,,,Prospect/Project,,,Gold,,-69.93159999999995,,Alturas,,Prospect/Project,,,,,,,,,,,Vicuña,,170.48,Oro,,Oro-Plata,,4,,Elqui,,,Epitermales,https://www.annualreports.com/HostedData/AnnualReportArchive/b/TSX_ABX_2015.pdf,,,Oro-Plata,2
,,,,,3,Epitermal de baja sulfuración,Paleoceno-Eoceno,,,,Magmático-Hidrotermal,,"MIN_17, MIN_18",Sernageomin_2025,Mina en producción,,Amancaya,,,,-25.57899999999995,7.32105,,,,,Antofagasta,,,,,,,,,7,,,,3.79056,,,,,Operación Guanaco-Amancaya,5,Plata,,,Actualizado,,,Mine (active),,,Gold,,-69.81299999999999,,Amancaya,,Active,,,,,,,,1.52874,,,Taltal,,3.17864,Oro,,Oro-Plata,,5,6962,Antofagasta,,,Epitermales,https://australgold.com/wp-content/uploads/2023/03/SLR-Austral-Guanaco-Amancaya-NI-43-101-FINAL-25-March-2022-1.pdf,,,Oro-Plata,2
,,,,,6,Pórfido de Cu-Mo,Mioceno-Plioceno,,,,Magmático-Hidrotermal,,"MIN_01, MIN_03, MIN_04",Sernageomin_2025,Prospecto/Proyecto,,Amos,,,,-32.27999999999997,,,,,,Valparaíso,,,,,,,,,10,,,,,,,,,Amos-Andrés,6,Molibdeno,,,Sin información,,,Prospect/Project,,,Copper,,-70.30699999999996,,Amos,Renio,Prospect/Project,,,,,,,,,,,Putaendo,,,Cobre,,Cobre-Molibdeno,,6,5516,San Felipe de Aconcagua,,,Pórfidos,,,,Cobre-Molibdeno,2
,,,,,16,VMS,Jurásico-Cretácico,,,,Volcanogénico,,"MIN_01, MIN_12",Sernageomin_2025,Prospecto/Proyecto,,Ancón Sin Salida,,,,-52.212999999999965,,,,,,Magallanes y de la Antártica Chilena,,,,,,,,,4,,,,,,,,,,7,Cinc,,,Sin información,,,Prospect/Project,,,Copper,,-73.41199999999998,,Ancón Sin Salida,,Prospect/Project,,,,,,,,,,,Natales,,,Cobre,,Cobre-Cinc,,7,6357,Última Esperanza,,,VMS,,,,Cobre-Cinc,2
,,,,,5,Epitermal de baja sulfuración,Cretácico Inferior,,,,Magmático-Hidrotermal,,MIN_17,Sernageomin_2025,Mina en producción,,Andacollo Oro,,,,-30.23121999999995,,,,,,Coquimbo,,,,,,,,,5,,,Compañía Minera Carmen de Andacollo ,,,,,,,8,,,,Actualizado,,,Mine (active),,,Gold,,-71.10096999999996,,Andacollo Oro,,Active,,,,,,,,,,,Andacollo,,68.0,Oro,,Oro,,8,3282,Elqui,,,Epitermales,https://www.sernageomin.cl/planes-de-cierre/,"Teck Cominco Ltd., 90%, and Empresa Nacional de Minería (ENAMI) (Government, 100%), 10%",,Oro,1
,,,,,6,Pórfido de Cu-Mo,Mioceno-Plioceno,,,,Magmático-Hidrotermal,,"MIN_01, MIN_03, MIN_04",Sernageomin_2025,Mina en producción,,Andina,,,,-33.148999999999944,,,,,,Valparaíso,,,,,,,,,10,,,Corporación Nacional del Cobre (CODELCO),,7814600.0,,,,Río Blanco,9,Molibdeno,,,Actualizado,Renio,,Mine (active),,,Copper,,-70.25399999999996,,Andina,,Active,,,,,134175600.0,,,,,,Los Andes,,,Cobre,,Cobre-Molibdeno-Renio,,9,"7434, 7044, 7436",Los Andes,,,Pórfidos,https://www.codelco.com/prontus_codelco/site/docs/20250329/20250329202724/codelco_memoria_anual_2024.pdf,"Government, 100%",,Cobre-Molibdeno-Renio,3
,,,,,3,Pórfido de Cu,Cretácico Inferior,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Mina en producción,,Antucoya,,,,-22.637999999999977,,,,,,Antofagasta,,,,,,,,,5,,,Antofagasta plc,,2074200.0,,,,,10,,,,Actualizado,,,Mine (active),,,Copper,,-69.88299999999998,,Antucoya,,Active,,,,,3038910.0,,,,,,María Elena,,,Cobre,,Cobre,,10,,Tocopilla,,,Pórfidos,https://www.aminerals.cl/docs/default-source/archivo/reportes/annual-report-2024.pdf?sfvrsn=3a957ff4_4,"Antofagasta plc, 70%, Marubeni Corp., 30%",,Cobre,1
