Nitrate_Resource,COMMTYPE,LONGITUD,COMBINACION_CRITICO,CRITICO_3,Iodine_Resource,ESTADO_DEPOSITO,Molybdenum_Reserve,OPERATOR_NAME,ECAP,DDLAT,Rare Earths_Resource,COMUNA,Potassium_Reserve,ANNCAP,Titanium_Resource,OWNER_NAME,CRITICO_1,NOMBRE_DEPOSITO,OrdFranj,PROVINCIA,OPERATOR,FACTYPE,STATUS,OWNER,COUNTRY,ADM1,LOCACC,ELEVACION,LATITUD,YEAR,OTROS_NOMBRES,Lithium_Reserve,LOCDESC,PRIMARY_COMMODITY,DDLONG,Manganese_Resource,MIN_PROD,Copper_Reserve,SOURCEID,FACILITY_TYPE,OrdReg,ISO_CC,ID,MULTI_PROD,FACID_NUM,Iron_Reserve,REGION,Cobalt_Resource,Iron_Resource,FACILITY_NAME,UNITS,COMMODITY,Potassium_Resource,MODELO_DEPOSITO,Silver_Reserve,Zinc_Resource,MULTI_COMM,FACID,Gold_Resource,Boron_Resource,VALOR_DATO,ID_SIA_YACIMIENTO,ID_ATLAS_FAENA,Copper_Resource,Molybdenum_Resource,Lithium_Resource,Iodine_Reserve,SISTEMA_MINERAL,Boron_Reserve,SOURCE,COMB_CRIT_COD,ALL_COMMODITIES_RAW,FRANJA_METALOGENICA,Gold_Reserve,OTROS_CRITICOS,COMBOCAP,ROWID,OBJECTID,GRUPO_MODELO,CRITICO_2,LOCNAME,Nitrate_Reserve,Zinc_Reserve,REFERENCIA,CAPACITY_UNITS,Silver_Resource,COMMENTS,CRITICO_4,CAPACITY,N_COMMODITIES,COMMODITY_LIST_STR
3377115.0,,-69.85999999999996,Nitrato-Yodo,,67580.8,Mina paralizada,,Atacama Minerals Chile Minera ,,,,Antofagasta,,,,SCM Bullmine and RB Energy,Nitrato,Aguas Blancas,11,Antofagasta,,,Idle,,,,,,-24.13999999999993,,,,,Nitrate,,,,,,Mine (idle),3,,1,,,,Antofagasta,,,Aguas Blancas,,,,Campo de nitrato-yodo,,,,,,,Actualizado,,,,,,38403.07,Sedimentario-Atmosférico,,Sernageomin_2025,"MIN_14, MIN_16",Nitrato-Yodo,Mioceno-Pleistoceno,,,,,1,Campo de nitrato-yodo,Yodo,,,,https://www.sernageomin.cl/planes-de-cierre/,,,,,,2,"Nitrate, Iodine"
,,-70.97799999999995,Oro-Plata-Cinc,Cinc,,Mina en producción,,,,,,Alhué,,,,,Oro,Alhué,6,Melipilla,,,Active,,,,,,-34.00799999999998,,"Minera Florida, Florida",,,Gold,,,,,,Mine (active),7,,2,,,,Metropolitana de Santiago,,,Alhué,,,,Epitermal de baja sulfuración,67.2,112180.0,,,37.07,,Actualizado,"4242, 4289, 4290",,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_12, MIN_17, MIN_18",Oro-Plata-Cinc,Cretácico Superior,9.624,,,,2,Epitermales,Plata,,,29700.0,https://panamericansilver.com/operations/reserves-and-resources/,,191.2,,,,3,"Gold, Silver, Zinc"
,,-69.85699999999997,Cobre,,,Mina en producción,,,,,,Taltal,,,,,Cobre,Altamira,5,Antofagasta,,,Active,,,,,,-25.835999999999956,,,,,Copper,,,,,,Mine (active),3,,3,,,,Antofagasta,,,Altamira,,,,Estratoligado,,,,,,,Actualizado,2470,,429878.0,,,,Magmático-Hidrotermal,,Sernageomin_2025,MIN_01,Cobre,Cretácico Inferior,,,,,3,Estratoligado,,,,,https://www.sernageomin.cl/planes-de-cierre/,,,,,,1,Copper
,,-69.93159999999995,Oro-Plata,,,Prospecto/Proyecto,,,,,,Vicuña,,,,,Oro,Alturas,9,Elqui,,,Prospect/Project,,,,,,-30.017299999999977,,,,,Gold,,,,,,Prospect/Project,5,,4,,,,Coquimbo,,,Alturas,,,,Epitermal de alta sulfuración,,,,,170.48,,Histórico,,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_17, MIN_18",Oro-Plata,Mioceno,,,,,4,Epitermales,Plata,,,,https://www.annualreports.com/HostedData/AnnualReportArchive/b/TSX_ABX_2015.pdf,,,,,,2,"Gold, Silver"
,,-69.81299999999999,Oro-Plata,,,Mina en producción,,,,,,Taltal,,,,,Oro,Amancaya,7,Antofagasta,,,Active,,,,,,-25.57899999999995,,Operación Guanaco-Amancaya,,,Gold,,,,,,Mine (active),3,,5,,,,Antofagasta,,,Amancaya,,,,Epitermal de baja sulfuración,3.79056,,,,3.17864,,Actualizado,6962,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_17, MIN_18",Oro-Plata,Paleoceno-Eoceno,1.52874,,,,5,Epitermales,Plata,,,,https://australgold.com/wp-content/uploads/2023/03/SLR-Austral-Guanaco-Amancaya-NI-43-101-FINAL-25-March-2022-1.pdf,,7.32105,,,,2,"Gold, Silver"
,,-70.30699999999996,Cobre-Molibdeno,,,Prospecto/Proyecto,,,,,,Putaendo,,,,,Cobre,Amos,10,San Felipe de Aconcagua,,,Prospect/Project,,,,,,-32.27999999999997,,Amos-Andrés,,,Copper,,,,,,Prospect/Project,6,,6,,,,Valparaíso,,,Amos,,,,Pórfido de Cu-Mo,,,,,,,Sin información,5516,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_03, MIN_04",Cobre-Molibdeno,Mioceno-Plioceno,,Renio,,,6,Pórfidos,Molibdeno,,,,,,,,,,2,"Copper, Molybdenum"
,,-73.41199999999998,Cobre-Cinc,,,Prospecto/Proyecto,,,,,,Natales,,,,,Cobre,Ancón Sin Salida,4,Última Esperanza,,,Prospect/Project,,,,,,-52.212999999999965,,,,,Copper,,,,,,Prospect/Project,16,,7,,,,Magallanes y de la Antártica Chilena,,,Ancón Sin Salida,,,,VMS,,,,,,,Sin información,6357,,,,,,Volcanogénico,,Sernageomin_2025,"MIN_01, MIN_12",Cobre-Cinc,Jurásico-Cretácico,,,,,7,VMS,Cinc,,,,,,,,,,2,"Copper, Zinc"
,,-71.10096999999996,Oro,,,Mina en producción,,Compañía Minera Carmen de Andacollo ,,,,Andacollo,,,,"Teck Cominco Ltd., 90%, and Empresa Nacional de Minería (ENAMI) (Government, 100%), 10%",Oro,Andacollo Oro,5,Elqui,,,Active,,,,,,-30.23121999999995,,,,,Gold,,,,,,Mine (active),5,,8,,,,Coquimbo,,,Andacollo Oro,,,,Epitermal de baja sulfuración,,,,,68.0,,Actualizado,3282,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,MIN_17,Oro,Cretácico Inferior,,,,,8,Epitermales,,,,,https://www.sernageomin.cl/planes-de-cierre/,,,,,,1,Gold
,,-70.25399999999996,Cobre-Molibdeno-Renio,Renio,,Mina en producción,,Corporación Nacional del Cobre (CODELCO),,,,Los Andes,,,,"Government, 100%",Cobre,Andina,10,Los Andes,,,Active,,,,,,-33.148999999999944,,Río Blanco,,,Copper,,,,7814600.0,,Mine (active),6,,9,,,,Valparaíso,,,Andina,,,,Pórfido de Cu-Mo,,,,,,,Actualizado,"7434, 7044, 7436",,134175600.0,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_03, MIN_04",Cobre-Molibdeno-Renio,Mioceno-Plioceno,,,,,9,Pórfidos,Molibdeno,,,,https://www.codelco.com/prontus_codelco/site/docs/20250329/20250329202724/codelco_memoria_anual_2024.pdf,,,,,,3,"Copper, Molybdenum, Rhenium"
,,-69.88299999999998,Cobre,,,Mina en producción,,Antofagasta plc,,,,María Elena,,,,"Antofagasta plc, 70%, Marubeni Corp., 30%",Cobre,Antucoya,5,Tocopilla,,,Active,,,,,,-22.637999999999977,,,,,Copper,,,,2074200.0,,Mine (active),3,,10,,,,Antofagasta,,,Antucoya,,,,Pórfido de Cu,,,,,,,Actualizado,,,3038910.0,,,,Magmático-Hidrotermal,,Sernageomin_2025,MIN_01,Cobre,Cretácico Inferior,,,,,10,Pórfidos,,,,,https://www.aminerals.cl/docs/default-source/archivo/reportes/annual-report-2024.pdf?sfvrsn=3a957ff4_4,,,,,,1,Copper
