NODE,NODE_TYPE,FACILITY_TYPE,STATUS,REGION,OPERATOR,LAT,LON,DEGREE,DEGREE_CENTRALITY,BETWEENNESS_CENTRALITY,EIGENVECTOR_CENTRALITY,CLOSENESS_CENTRALITY,COMMUNITY
Aguas Blancas,mine,Mine (idle),Idle,Antofagasta,Atacama Minerals Chile Minera ,-24.13999999999993,-69.85999999999996,1,0.00353,0.0,0.0,0.01472,9
Alhué,mine,Mine (active),Active,Metropolitana de Santiago,None,-34.00799999999998,-70.97799999999995,3,0.0106,0.00023,0.0,0.10032,10
Altamira,mine,Mine (active),Active,Antofagasta,None,-25.835999999999956,-69.85699999999997,5,0.01767,0.0,0.00073,0.1657,11
Amancaya,mine,Mine (active),Active,Antofagasta,None,-25.57899999999995,-69.81299999999999,3,0.0106,0.0834,0.0,0.17861,12
Amos,mine,Prospect/Project,Prospect/Project,Valparaíso,None,-32.27999999999997,-70.30699999999996,8,0.02827,0.0098,0.0,0.1257,10
Andina,mine,Mine (active),Active,Valparaíso,Corporación Nacional del Cobre (CODELCO),-33.148999999999944,-70.25399999999996,10,0.03534,8e-05,0.0,0.11748,10
Antucoya,mine,Mine (active),Active,Antofagasta,Antofagasta plc,-22.637999999999977,-69.88299999999998,15,0.053,0.00088,0.0,0.14981,8
Arqueros,mine,Mine (idle),Idle,Coquimbo,None,-29.84499999999997,-70.91899999999998,1,0.00353,0.0,0.0,0.15432,2
Barreal Seco,mine,Mine (active),Active,Antofagasta,None,-25.92199999999997,-70.05499999999995,5,0.01767,0.0,6e-05,0.1657,11
Berta,mine,Prospect/Project,Prospect/Project,Atacama,Minera Pacífico Ltda.,-26.71799999999996,-70.05599999999998,7,0.02473,0.0,2e-05,0.18441,11
Boqueron Chañar,mine,Mine (idle),Idle,Atacama,None,-28.06950999999998,-70.69988999999998,5,0.01767,0.00261,0.0,0.161,5
Bornita,mine,Prospect/Project,Prospect/Project,Coquimbo,None,-30.90599999999995,-70.39199999999994,4,0.01413,0.1438,0.0,0.15633,2
Brujulina,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-21.93599999999998,-68.86099999999993,12,0.0424,0.0,0.0,0.12824,8
Buena Esperanza,mine,Mine (idle),Idle,Antofagasta,None,-22.164999999999964,-70.20999999999998,11,0.03887,0.00075,0.0,0.12749,8
Búfalo,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-23.635999999999967,-69.29399999999998,13,0.04594,0.00015,0.0,0.1496,13
Cachinal,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-24.964999999999975,-69.54833299999996,3,0.0106,0.0,0.0,0.17205,12
Cachorro,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-22.975999999999942,-69.74499999999995,14,0.04947,5e-05,0.0,0.1496,8
Cala Cala,mine,Mine (active),Active,Tarapacá,None,-20.234999999999957,-69.79299999999995,3,0.0106,0.0,0.02078,0.0225,0
Calichera,mine,Mine (idle),Idle,Tarapacá,None,-19.869999999999948,-69.85999999999996,3,0.0106,0.0,0.00841,0.0225,0
Can Can,mine,Mine (idle),Idle,Atacama,None,-26.802221999999972,-69.26305599999995,2,0.00707,0.0,0.0,0.1591,11
Canchas,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-25.458999999999946,-70.20699999999994,5,0.01767,5e-05,3e-05,0.1657,11
Candelaria,mine,Mine (active),Active,Atacama,Cía. Contractual Minera Candelaria ,-27.51699999999994,-70.29099999999994,8,0.02827,0.07781,0.0,0.19231,11
Carmen,mine,Mine (idle),Idle,Atacama,Compañía Minera Carmen de Andacollo ,-26.346089999999947,-70.14299999999997,1,0.00353,0.0,0.0,0.14174,5
Carmen de Andacollo,mine,Mine (active),Active,Coquimbo,Compañía Minera Carmen de Andacollo ,-30.249999999999943,-71.09999999999997,3,0.0106,0.0,0.0,0.15107,2
Carmen-Margarita,mine,Mine (active),Active,Valparaíso,None,-32.49199999999996,-71.07099999999997,6,0.0212,0.0,0.0,0.12512,10
Caserones,mine,Mine (active),Active,Atacama,Minera Lumina Copper Chile (MILCC),-28.16599999999994,-69.54099999999994,4,0.01413,0.0,0.0,0.16751,11
Caspiche,mine,Prospect/Project,Prospect/Project,Atacama,None,-27.68999999999994,-69.29399999999998,4,0.01413,0.0,0.0,0.16076,11
Casualidad,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-25.74599999999998,-69.96499999999997,5,0.01767,0.0,9e-05,0.1657,11
Casuto,mine,Mine (idle),Idle,Coquimbo,None,-31.787399999999934,-71.44476999999995,2,0.00707,0.0,0.0,0.12242,10
Catemu,mine,Mine (active),Active,Valparaíso,None,-32.72399999999993,-70.95699999999994,6,0.0212,0.0,0.0,0.12512,10
Centinela,mine,Mine (active),Active,Antofagasta,Antofagasta plc,-22.987999999999943,-69.07599999999996,19,0.06714,5e-05,0.0,0.15278,8
Cerro Bayo,mine,Mine (active),Active,Aysén del General Carlos Ibáñez del Campo,Compañía Minera Cerro Bayo Ltda. ,-46.509999999999934,-71.96999999999997,2,0.00707,3e-05,0.0,0.00707,1
Cerro Casale,mine,Prospect/Project,Prospect/Project,Atacama,None,-27.793999999999983,-69.27899999999994,4,0.01413,0.0,0.0,0.16076,11
Cerro Colorado,mine,Mine (idle),Idle,Tarapacá,Compañía Minera Cerro Colorado ,-20.043999999999983,-69.26499999999999,4,0.01413,0.0,0.0,0.10222,6
Cerro Imán,mine,Mine (idle),Idle,Atacama,None,-27.26499999999993,-70.41666699999996,3,0.0106,0.0,0.0,0.16028,5
Cerro Negro,mine,Mine (active),Active,Valparaíso,None,-32.577999999999975,-70.85699999999997,9,0.0318,0.00441,0.0,0.12659,10
Cerro Negro Norte,mine,Mine (active),Active,Atacama,None,-27.10833299999996,-70.34305599999993,3,0.0106,0.00183,0.0,0.16028,5
Challacollo,mine,Prospect/Project,Prospect/Project,Tarapacá,None,-20.89539999999994,-69.33932999999996,1,0.00353,0.0,0.0,0.1006,6
Chañarcillo,mine,Mine (idle),Idle,Atacama,None,-27.81388899999996,-70.41888899999998,2,0.00707,0.0,0.0,0.16751,11
Chimborazo,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-24.147999999999968,-69.13599999999997,10,0.03534,0.0,2e-05,0.14898,13
Chiquinquira,mine,Mine (idle),Idle,Tarapacá,None,-19.749999999999943,-69.91999999999996,3,0.0106,0.00033,0.00746,0.0225,0
Chuquicamata,mine,Mine (active),Active,Antofagasta,Corporación Nacional del Cobre (CODELCO),-22.299999999999955,-68.89499999999998,16,0.05654,0.03509,0.0,0.12886,8
Ciclón-Exploradora,mine,Prospect/Project,Prospect/Project,Antofagasta,None,-25.84299999999996,-69.30499999999995,7,0.02473,0.0,2e-05,0.16988,11
Cinabrio,mine,Mine (active),Active,Coquimbo,None,-30.71999999999997,-71.21299999999997,3,0.0106,0.0,0.0,0.15498,2
