PRODUCT,PORT,FOB_SHARE
concentrate,Angamos,0.05715907722180388
concentrate,Antofagasta (ATI),0.045873075247330836
concentrate,Barquito,0.012217708849864537
concentrate,Caldera,0.08178098352817399
concentrate,Coloso,0.34055495387715656
concentrate,Coquimbo,0.026197652160690702
concentrate,Los Vilos,0.10030302836392765
concentrate,Mejillones,0.059905443198201375
concentrate,Patache,0.10821086425813913
concentrate,San Antonio,0.013513384638211017
concentrate,Unknown (827),0.050187572013113135
concentrate,Ventanas,0.10330138279528746
cathode,Angamos,0.6555731931414502
cathode,Antofagasta (ATI),0.12510842192047783
cathode,Barquito,0.02211316141502524
cathode,San Antonio,0.13990007817931438
cathode,San Vicente,0.02458813531330176
cathode,Valparaíso,0.024736248741918654
blister,Angamos,0.5476204414111866
blister,Antofagasta (ATI),0.14730397230164896
blister,San Antonio,0.30289161943554266
