COMMODITY,ACTIVE_MINES,TOTAL_MINES_PROSPECTS,PROCESSING_FACILITIES,MINE_PLANT_LINKS,CHAIN_STATUS,EXPORT_TOTAL_2024_USD,EXPORT_RAW_2024_USD,EXPORT_PROCESSED_2024_USD,RAW_SHARE
Gold,20,90,13,120,Extraction + Processing,410495159125,11498812403,398996346722,0.028
Copper,50,150,43,1007,Extraction + Processing,211997080685,97062301190,114934779495,0.458
Iron,6,14,12,55,Extraction + Processing,153078252166,141509611810,11568640356,0.924
Silver,14,50,13,75,Extraction + Processing,28737945184,3564888870,25173056314,0.124
Zinc,2,12,2,2,Extraction + Processing,18478242252,10351824548,8126417704,0.56
Potassium,1,9,0,0,Extraction only,16179670145,0,16179670145,0.0
Lithium,1,9,6,1,Extraction + Processing,7667111602,4367858746,3299252856,0.57
Molybdenum,15,40,4,37,Extraction + Processing,7473420654,7473420654,0,1.0
Iodine,7,16,5,37,Extraction + Processing,2123704659,0,2123704659,0.0
Boron,1,17,3,2,Extraction + Processing,597309606,26029118,571280488,0.044
Rare Earths,0,3,0,0,No active facilities,426131115,0,426131115,0.0
Nitrate,7,16,5,25,Extraction + Processing,265880935,165938171,99942764,0.624
Selenium,0,0,1,0,Processing only,94224966,0,94224966,0.0
Rhenium,11,13,1,5,Extraction + Processing,0,0,0,
