product,port,actual_share,simulated_share,difference
concentrate,Angamos,0.0571590772218038,0.21936814582153974,0.16220906859973594
concentrate,Antofagasta (ATI),0.0458730752473308,0.0,-0.0458730752473308
concentrate,Barquito,0.0122177088498645,0.0,-0.0122177088498645
concentrate,Caldera,0.0817809835281739,0.06202344990375758,-0.019757533624416318
concentrate,Coloso,0.3405549538771565,0.2971272918515332,-0.043427662025623315
concentrate,Coquimbo,0.0261976521606907,0.0,-0.0261976521606907
concentrate,Los Vilos,0.1003030283639276,0.0,-0.1003030283639276
concentrate,Mejillones,0.0599054431982013,0.0,-0.0599054431982013
concentrate,Patache,0.1082108642581391,0.17824263603930499,0.07003177178116589
concentrate,San Antonio,0.013513384638211,0.08288445096544386,0.06937106632723286
concentrate,Unknown (827),0.0501875720131131,0.0,-0.0501875720131131
concentrate,Ventanas,0.1033013827952874,0.16035402541842053,0.05705264262313313
cathode,Angamos,0.6555731931414502,0.44403734618245455,-0.2115358469589957
cathode,Antofagasta (ATI),0.1251084219204778,0.2588203894985312,0.1337119675780534
cathode,Barquito,0.0221131614150252,0.0,-0.0221131614150252
cathode,Caldera,0.0,0.12547923274340214,0.12547923274340214
cathode,Patache,0.0,0.11551326121974663,0.11551326121974663
cathode,San Antonio,0.1399000781793143,0.0,-0.1399000781793143
cathode,San Vicente,0.0245881353133017,0.0,-0.0245881353133017
cathode,Valparaíso,0.0247362487419186,0.0,-0.0247362487419186
cathode,Ventanas,0.0,0.05614977035586542,0.05614977035586542
