FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM,EXPORT_VALUE,EXPORT_UNIT,DESTINATION_TOTAL
Coloso,port,-23.76,-70.45,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,21.07,kMT,60.2
Mejillones,port,-23.1,-70.45,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,12.04,kMT,60.2
Patache,port,-20.8,-70.22,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,9.03,kMT,60.2
Barquito,port,-27.07,-70.84,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,4.82,kMT,60.2
Coquimbo,port,-29.96,-71.35,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,7.22,kMT,60.2
Angamos,port,-23.1,-70.42,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,3.01,kMT,60.2
Caldera,port,-27.07,-70.82,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,,3.01,kMT,60.2
Coloso,port,-23.76,-70.45,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.1,kMT,0.3
Mejillones,port,-23.1,-70.45,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.06,kMT,0.3
Patache,port,-20.8,-70.22,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.04,kMT,0.3
Barquito,port,-27.07,-70.84,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.02,kMT,0.3
Coquimbo,port,-29.96,-71.35,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.04,kMT,0.3
Angamos,port,-23.1,-70.42,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.01,kMT,0.3
Caldera,port,-27.07,-70.82,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,,0.01,kMT,0.3
Coloso,port,-23.76,-70.45,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,12.67,kMT,36.21
Mejillones,port,-23.1,-70.45,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,7.24,kMT,36.21
Patache,port,-20.8,-70.22,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,5.43,kMT,36.21
Barquito,port,-27.07,-70.84,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,2.9,kMT,36.21
Coquimbo,port,-29.96,-71.35,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,4.35,kMT,36.21
Angamos,port,-23.1,-70.42,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,1.81,kMT,36.21
Caldera,port,-27.07,-70.82,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,,1.81,kMT,36.21
Coloso,port,-23.76,-70.45,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,22.89,kMT,65.4
Mejillones,port,-23.1,-70.45,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,13.08,kMT,65.4
Patache,port,-20.8,-70.22,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,9.81,kMT,65.4
Barquito,port,-27.07,-70.84,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,,5.23,kMT,65.4
