MINE_NAME,MINE_IDX,MINE_TYPE,MINE_STATUS,MINE_LAT,MINE_LON,MINE_REGION,MINE_OPERATOR,PLANT_NAME,PLANT_IDX,PLANT_TYPE,PLANT_STATUS,PLANT_LAT,PLANT_LON,PLANT_OPERATOR,PLANT_OWNER,PLANT_CAPACITY,PLANT_CAPACITY_UNITS,SHARED_COMMODITIES,DISTANCE_KM
Aguas Blancas,0,Mine (idle),Idle,-24.13999999999993,-69.85999999999996,Antofagasta,Atacama Minerals Chile Minera ,Plant in Aguas Blancas,397,Processing Plant,Active,-24.1357,-69.8671,Atacama Minerals Chile Minera ,SCM Bullmine and RB Energy,"2,200",mt,Iodine,0.9
Alhué,1,Mine (active),Active,-34.00799999999998,-70.97799999999995,Metropolitana de Santiago,,Minera Florida concentration plant,362,Concentrator,Active,-34.0348,-71.0265,Minera Florida S.A. ,"Yamana Gold Inc., 100%","3,100",kg,Gold,5.4
Alhué,1,Mine (active),Active,-34.00799999999998,-70.97799999999995,Metropolitana de Santiago,,Minera Florida concentration plant,364,Concentrator,Active,-34.0348,-71.0265,Minera Florida S.A. ,"Yamana Gold Inc., 100%","31,000",kg,Silver,5.4
Alhué,1,Mine (active),Active,-34.00799999999998,-70.97799999999995,Metropolitana de Santiago,,Minera Florida concentration plant,365,Concentrator,Active,-34.0348,-71.0265,Minera Florida S.A. ,"Yamana Gold Inc., 100%","6,500",mt,Zinc,5.4
Alhué,1,Mine (active),Active,-34.00799999999998,-70.97799999999995,Metropolitana de Santiago,,Los Bronces Plants,343,Processing Plant,Active,-33.1462,-70.2863,Anglo American Sur S.A. ,"Anglo American plc, 50.1%, Mitsubishi Corp., 20.4%, Corporación Nacional del Cobre, 20%, and Mitsui & Co., Ltd., 9.5% ","35,000",kg,Silver,115.3
Alhué,1,Mine (active),Active,-34.00799999999998,-70.97799999999995,Metropolitana de Santiago,,Ventanas refinery and smelter,456,Smelter,Active,-32.7618,-71.4812,Corporación Nacional del Cobre (CODELCO),"Government, 100%","12,000",kg,Gold,146.2
Alhué,1,Mine (active),Active,-34.00799999999998,-70.97799999999995,Metropolitana de Santiago,,Ventanas refinery and smelter,458,Smelter,Active,-32.7618,-71.4812,Corporación Nacional del Cobre (CODELCO),"Government, 100%","220,000",kg,Silver,146.2
Altamira,2,Mine (active),Active,-25.835999999999956,-69.85699999999997,Antofagasta,,Franke SX-EW Plant,324,SX-EW Plant,Active,-25.8334,-69.8639,Sociedad Contractual Minera Franke ,"KGHM International Ltd., 100%",,,Copper,0.7
Altamira,2,Mine (active),Active,-25.835999999999956,-69.85699999999997,Antofagasta,,Potrerillos SX-EW refinery and smelter,435,Smelter,Active,-26.283,-69.5965,Corporación Nacional del Cobre (CODELCO),"Government, 100%",70,tmt,Copper,56.1
Altamira,2,Mine (active),Active,-25.835999999999956,-69.85699999999997,Antofagasta,,José Antonio Moreno,335,Processing Plant,Active,-25.3963,-70.4742,Empresa Nacional de Minería (ENAMI),"Government, 100%",180,tmt,Copper,78.9
Altamira,2,Mine (active),Active,-25.835999999999956,-69.85699999999997,Antofagasta,,Osvaldo Martínez,370,Processing Plant,Active,-26.4196,-70.3172,Empresa Nacional de Minería (ENAMI),"Government, 100%",180,tmt,Copper,79.5
Altamira,2,Mine (active),Active,-25.835999999999956,-69.85699999999997,Antofagasta,,Mantoverde SX-EW plant,351,SX-EW Plant,Active,-26.5615,-70.3253,Empresa Minera de Mantos Blancos S.A. ,"Anglo American plc, 99.9%, and other private, 0.1%",65,tmt,Copper,93.2
Amancaya,4,Mine (active),Active,-25.57899999999995,-69.81299999999999,Antofagasta,,José Antonio Moreno plant,336,Processing Plant,Active,-25.3963,-70.4742,Empresa Nacional de Minería (ENAMI),"Government, 100%",400,kg,Gold,69.4
Amancaya,4,Mine (active),Active,-25.57899999999995,-69.81299999999999,Antofagasta,,José Antonio Moreno plant,337,Processing Plant,Active,-25.3963,-70.4742,Empresa Nacional de Minería (ENAMI),"Government, 100%","6,000",kg,Silver,69.4
Amancaya,4,Mine (active),Active,-25.57899999999995,-69.81299999999999,Antofagasta,,Osvaldo Martínez plant,371,Processing Plant,Active,-26.4196,-70.3172,Empresa Nacional de Minería (ENAMI),"Government, 100%",400,kg,Gold,106.2
Amancaya,4,Mine (active),Active,-25.57899999999995,-69.81299999999999,Antofagasta,,Osvaldo Martínez plant,372,Processing Plant,Active,-26.4196,-70.3172,Empresa Nacional de Minería (ENAMI),"Government, 100%","6,000",kg,Silver,106.2
Amancaya,4,Mine (active),Active,-25.57899999999995,-69.81299999999999,Antofagasta,,El Peñón concentration plant,309,Concentrator,Active,-24.4116,-69.4969,Minera Meridian Ltda. ,"Yamana Gold Inc., 100%","10,500",kg,Gold,133.7
Amancaya,4,Mine (active),Active,-25.57899999999995,-69.81299999999999,Antofagasta,,El Peñón concentration plant,310,Concentrator,Active,-24.4116,-69.4969,Minera Meridian Ltds. ,"Yamana Gold Inc., 100%","300,000",kg,Silver,133.7
Amos,5,Prospect/Project,Prospect/Project,-32.27999999999997,-70.30699999999996,Valparaíso,,Los Pelambres plant,346,Processing Plant,Active,-31.8134,-70.5823,Antofagasta plc,"Antofagasta plc, 60%; JX Nippon Mining Metals Corp, 15%; Mitsubishi Materials Corp., 10%; Marubeni Corp., 8.75%; Mitsubishi Corp., 5%; Mitsui & Co. Ltd., 1.25%","12,500",mt,Molybdenum,58.0
Amos,5,Prospect/Project,Prospect/Project,-32.27999999999997,-70.30699999999996,Valparaíso,,Plant at Cabildo,374,Processing Plant,Active,-32.5838,-70.8762,Compañía Minera Cerro Negro,Compañía Minera Cerro Negro,200,mt,Copper,63.2
Amos,5,Prospect/Project,Prospect/Project,-32.27999999999997,-70.30699999999996,Valparaíso,,Chagres smelter (anodes and blister),284,Smelter,Active,-32.8047,-70.9554,Empresa Nacional de Minería (ENAMI),"Government, 100%",175,tmt,Copper,84.2
Amos,5,Prospect/Project,Prospect/Project,-32.27999999999997,-70.30699999999996,Valparaíso,,El Soldado SX-EW plant,314,SX-EW Plant,Active,-32.6593,-71.1448,Anglo American Sur S.A. ,"Anglo American plc, 50.1%, Mitsubishi Corp., 20.4%, Corporación Nacional del Cobre, 20%, and Mitsui & Co., Ltd., 9.5% ",50,tmt,Copper,89.2
Amos,5,Prospect/Project,Prospect/Project,-32.27999999999997,-70.30699999999996,Valparaíso,,Tres Valles SX-EW plant,451,SX-EW Plant,Active,-31.7364,-71.0165,Vecchiola SA,Vecchiola SA,,,Copper,90.2
Amos,5,Prospect/Project,Prospect/Project,-32.27999999999997,-70.30699999999996,Valparaíso,,Los Bronces (Tortolas) SX-EW plant (cathodes),342,SX-EW Plant,Active,-33.1409,-70.7086,Anglo American Sur S.A. ,"Anglo American plc, 50.1%, Mitsubishi Corp., 20.4%, Corporación Nacional del Cobre, 20%, and Mitsui & Co., Ltd., 9.5% ",490,tmt,Copper,102.8
Amos,5,Prospect/Project,Prospect/Project,-32.27999999999997,-70.30699999999996,Valparaíso,,Tortolas molybdenum flotation plant,450,Concentrator,Active,-33.1409,-70.7086,Anglo American Sur S.A. ,"Anglo American plc, 50.1%, Mitsubishi Corp., 20.4%, Corporación Nacional del Cobre, 20%, and Mitsui & Co., Ltd., 9.5% ","3,000",mt,Molybdenum,102.8
Amos,5,Prospect/Project,Prospect/Project,-32.27999999999997,-70.30699999999996,Valparaíso,,Las Ventanas refinery and smelter,340,Smelter,Active,-32.7618,-71.4812,Corporación Nacional del Cobre (CODELCO),"Government, 100%",402,tmt,Copper,122.4
