Country Code,Country,ECI_2019,ECI_2030_Ensemble,Total_Change,Annualised_Change,Pct_Change
GNQ,Equatorial Guinea,-1.901,-0.6954370062149244,1.2055629937850756,0.10959663579864323,63.417306353765156
MNG,Mongolia,-1.332,-0.3229029739356012,1.0090970260643988,0.0917360932785817,75.75803498981972
ECU,Ecuador,-1.184,-0.5205243412998195,0.6634756587001804,0.060315968972743675,56.03679549832605
IRQ,Iraq,-1.575,-0.9169113108005575,0.6580886891994424,0.059826244472676586,41.783408838059835
MMR,Myanmar,-1.344,-0.7187747199084102,0.6252252800915898,0.056838661826508166,46.51973810205281
GAB,Gabon,-1.243,-0.6288121496696267,0.6141878503303734,0.05583525912094303,49.41173373534781
MDG,Madagascar,-1.494,-0.9369249539279556,0.5570750460720444,0.05064318600654949,37.28748635020377
YEM,"Yemen, Rep.",-1.518,-0.9668563799055736,0.5511436200944264,0.050103965463129674,36.30722135009397
ETH,Ethiopia,-1.155,-0.6136093765778347,0.5413906234221654,0.049217329402015036,46.87364704953813
PNG,Papua New Guinea,-1.409,-0.9246973492919608,0.48430265070803924,0.04402751370073084,34.372083087866514
VEN,"Venezuela, RB",-1.277,-0.8073997500119914,0.46960024998800853,0.04269093181709169,36.77370790822307
GHA,Ghana,-0.994,-0.5339919233579684,0.4600080766420316,0.04181891605836651,46.27847853541565
NGA,Nigeria,-1.529,-1.1509207160040504,0.3780792839959495,0.03437084399963177,24.727225899015664
BOL,Bolivia,-0.964,-0.618626694625342,0.34537330537465794,0.031397573215877994,35.82710636666576
DZA,Algeria,-1.025,-0.6862007924065427,0.33879920759345716,0.03079992796304156,33.053581228629966
TCD,Chad,-1.845,-1.5147708593195695,0.3302291406804305,0.03002083097094823,17.898598410863443
CMR,Cameroon,-1.346,-1.0924414265477171,0.25355857345228294,0.023050779404752995,18.83793264875802
MOZ,Mozambique,-1.334,-1.0900249520083753,0.24397504799162473,0.02217954981742043,18.288984107318196
CIV,Cote d'Ivoire,-1.1,-0.8610000651642471,0.238999934835753,0.02172726680325027,21.72726680325027
AZE,Azerbaijan,-0.827,-0.6123247520645939,0.21467524793540604,0.019515931630491458,25.958312930520684
AGO,Angola,-1.204,-0.9953010342893764,0.20869896571062352,0.01897263324642032,17.333801138756108
TZA,Tanzania,-0.924,-0.7503134428966746,0.17368655710332548,0.015789687009393226,18.797246439753838
CHL,Chile,-0.413,-0.26027751465084176,0.15272248534915822,0.01388386230446893,36.978810011902716
MWI,Malawi,-1.2,-1.0526041087987443,0.14739589120125562,0.01339962647284142,12.282990933437969
UGA,Uganda,-0.754,-0.6068853464774202,0.1471146535225798,0.013374059411143618,19.511227257636577
KEN,Kenya,-0.436,-0.3423736887260607,0.09362631127393928,0.008511482843085389,21.473924604114515
ZWE,Zimbabwe,-0.921,-0.8348328680152308,0.08616713198476922,0.007833375634979019,9.355823233959741
LAO,Lao PDR,-0.805,-0.7211313447911537,0.08386865520884634,0.007624423200804213,10.418466485570974
UZB,Uzbekistan,-0.69,-0.6326885596583554,0.05731144034164459,0.005210130940149508,8.30600584661516
RWA,Rwanda,-0.746,-0.7133384950083594,0.032661504991640555,0.002969227726512778,4.378217827297662
KAZ,Kazakhstan,-0.23,-0.21344979770038575,0.016550202299614264,0.0015045638454194786,7.195740130267072
TGO,Togo,-0.893,-0.8799114610576824,0.013088538942317651,0.001189867176574332,1.4656818524431858
COG,"Congo, Rep.",-1.084,-1.0765981663796804,0.007401833620319653,0.0006728939654836049,0.6828259797342853
COD,"Congo, Dem. Rep.",-1.095,-1.1615782594524622,-0.06657825945246221,-0.006052569041132928,-6.080206342690612
LBR,Liberia,-0.849,-0.9267095948140984,-0.07770959481409845,-0.007064508619463495,-9.153073594122315
GIN,Guinea,-1.386,-1.4957304704268122,-0.10973047042681228,-0.009975497311528388,-7.917061358355864
ARE,United Arab Emirates,0.333,0.20234483645955745,-0.13065516354044257,-0.011877742140040233,-39.23578484697975
TTO,Trinidad and Tobago,0.055,-0.12603941835108406,-0.18103941835108406,-0.016458128941007642,-329.1625788201528
EGY,"Egypt, Arab Rep.",-0.144,-0.32887607588209533,-0.18487607588209534,-0.016806915989281395,-128.38616380701066
QAT,Qatar,0.003,-0.18374157115607706,-0.18674157115607706,-0.01697650646873428,-1867.4157115607707
VNM,Viet Nam,-0.057,-0.25801765612461103,-0.20101765612461103,-0.01827433237496464,-352.66255460458075
ZMB,Zambia,-0.49,-0.7105444588240812,-0.22054445882408125,-0.020049496256734658,-45.009073229404336
BFA,Burkina Faso,-0.884,-1.1541790613835181,-0.2701790613835181,-0.0245617328530471,-30.563242237954537
IDN,Indonesia,-0.135,-0.4127773237558893,-0.2777773237558893,-0.02525248397780812,-205.760980559918
OMN,Oman,-0.179,-0.47811626276106495,-0.29911626276106495,-0.027192387523733177,-167.1040574084162
RUS,Russian Federation,0.257,-0.07531940127197571,-0.33231940127197573,-0.030210854661088703,-129.30716002800614
LBY,Libya,-1.425,-1.7949974937657842,-0.36999749376578417,-0.03363613579688947,-25.964736404616435
IRN,"Iran, Islamic Rep.",0.0039999999999999,-0.44715659899030824,-0.45115659899030813,-0.041014236271846194,-4511.565989903081
NER,Niger,-0.62,-1.1166007350246026,-0.49660073502460256,-0.04514552136587296,-80.09689274590363
BHR,Bahrain,0.492,-0.023334077300644393,-0.5153340773006444,-0.04684855248187676,-104.74269863834236
MLI,Mali,-0.351,-0.9247883137955071,-0.5737883137955071,-0.052162573981409735,-163.47245407279405
KWT,Kuwait,0.419,-0.17537906344261678,-0.5943790634426167,-0.05403446031296515,-141.85657838725936
SAU,Saudi Arabia,0.7,2.9170173566461788e-05,-0.6999708298264335,-0.06363371180240306,-99.99583283234766
MYS,Malaysia,1.209,0.291735364661373,-0.9172646353386271,-0.08338769412169338,-75.8696968849154
