Feature,LASSO,Ridge,Elastic Net,Random Forest,Linear_Avg,Overall_Avg
L1_ECI,1.0,1.0,1.0,1.0,1.0,1.0
Domestic credit to private sector (% of GDP),0.12258568908672672,0.1356099781582832,0.14108033496549877,0.014941406695287325,0.13309200073683622,0.07401670371606177
Access to electricity (% of population),0.029557076319520485,0.1416769297539594,0.04049563894872327,0.007954420869497313,0.07057654834073439,0.03926548460511585
Total_Production_Value_Per_Capita,0.0,0.13774334345185987,0.0,0.0024288066237554665,0.045914447817286624,0.024171627220521047
Human capital index,0.01704922037984657,0.06768583551544957,0.032169090147330624,0.008392976552035202,0.03896804868087559,0.023680512616455394
Urban population (% of total population),0.012453337212791226,0.0868868851246602,0.020649051527075513,0.004267856079808613,0.03999642462150898,0.022132140350658795
HCI_x_ProductionValue,0.015376946343555221,0.05339373905462599,0.03116768909585891,0.0047460936508062455,0.03331279149801337,0.019029442574409805
Political stability — estimate,0.0,0.08453368308849885,0.0,0.0038015820775422725,0.02817789436283295,0.01598973822018761
"Use of IMF credit (DOD, current US$)",0.0,0.068485791505943,0.0,0.001976338023875093,0.022828597168647668,0.012402467596261381
Capital depreciation rate,0.0,0.05677008729050194,0.006165648086936027,0.0012361971822740943,0.020978578459145986,0.01110738782071004
Adjusted savings: gross savings (% of GNI),0.0,0.053520165453562675,0.0,0.0008336616859916513,0.01784005515118756,0.009336858418589606
Rule of law index,0.0,0.04612201977107626,0.0,0.0025085033290421143,0.015374006590358752,0.008941254959700433
"Inflation, consumer prices (annual %)",0.0,0.049197306401560434,0.0,0.0012257764279561315,0.01639910213385348,0.008812439280904805
Share of investment in GDP,0.0,0.020284150232845344,0.0,0.0036781543816919978,0.006761383410948448,0.0052197688963202225
Trade (% of GDP),0.0,0.013751728768607285,0.0,0.001830289443747866,0.004583909589535762,0.003207099516641814
"Gross fixed capital formation, all, Constant prices, Percent of GDP",0.0,0.015932533270434784,0.0,0.0010817286405870243,0.0053108444234782615,0.0031962865320326428
Landlocked,0.0,0.016013525953253897,0.0,0.0,0.005337841984417966,0.002668920992208983
RuleOfLaw_x_ProductionValue,0.0,0.007236217820152035,0.0,0.002921829449877349,0.002412072606717345,0.002666951028297347
Real interest rate (%),0.0,0.001363019479729909,0.0,0.0004261397585155586,0.00045433982657663635,0.0004402397925460975
Government revenue,0.0,0.0,0.0,0.0005937834328637133,0.0,0.00029689171643185663
