Feature,LASSO,Ridge,Elastic Net,LASSO_Imp,Ridge_Imp,Elastic Net_Imp,VIF,LASSO_Selected,Elastic Net_Selected
Domestic Credit,0.06721110258621048,0.06799226043049206,0.07428641836830188,0.13309188778480335,0.14354181354392592,0.1540025003213955,2.788454968167852,1,1
HC × Production,0.011876755131988142,0.029629308403443036,0.021562941098402472,0.023518432229952153,0.06244993744944703,0.04470193766743675,1.6784549938471318,1,1
Electricity,0.012401359406561875,0.07308271384394265,0.0175576287432825,0.024557257223984025,0.15430204954393967,0.036398560942521786,5.707083090382705,1,1
Human Capital,0.00758695061587944,0.032118599484399615,0.01537477078385896,0.015023731811307037,0.06771181833279756,0.03187329790007678,3.3769107904126097,1,1
Urban Population,0.0048193492235397055,0.035293427826137064,0.010555430849479913,0.009543308491813424,0.07442279266886763,0.021882367981858823,2.1565708687023313,1,1
Depreciation,-0.0,-0.031879722926437315,-0.0020718107727637695,0.0,0.0672068793951867,0.0042950521267097206,1.4652241295437567,0,1
Capital Formation,0.0,0.017854314363672606,0.0,0.0,0.03755987275856925,0.0,1.4392290121678866,0,0
Trade,-0.0,-0.007544637708907844,-0.0,0.0,0.015767206196495107,0.0,2.410968061980657,0,0
Political Stability,0.0,0.04187220336650499,0.0,0.0,0.08832905438190664,0.0,2.2930674855705364,0,0
Rule of Law,0.0,-0.025472214868748948,0.0,0.0,0.05366264408393948,0.0,2.1130667699607413,0,0
Prod Value p.c.,-0.0,-0.044118268708750824,-0.0,0.0,0.09307680299898596,0.0,7.806381439667793,0,0
Gov Revenue,-0.0,0.005864981241672241,-0.0,0.0,0.012216736617763967,0.0,2.7770287316101157,0,0
Landlocked,-0.0,-0.0014539119741331212,-0.0,0.0,0.002892587573257773,0.0,1.5883931942439815,0,0
Investment Share,0.0,0.004999786080905094,0.0,0.0,0.0103878810405132,0.0,2.0266384926297607,0,0
Interest Rate,0.0,0.0013133086891536205,0.0,0.0,0.002595379366861269,0.0,2.2522501036892115,0,0
IMF Credit,-0.0,-0.030330458392751888,-0.0,0.0,0.06393203319683867,0.0,2.6649034131332843,0,0
Savings,-0.0,-0.024586824790800387,-0.0,0.0,0.051791100349618355,0.0,2.6338655939875038,0,0
Inflation,-0.0,-0.008595528195408141,-0.0,0.0,0.017988585851013417,0.0,2.284082267846637,0,0
Inflation (5yr avg),-0.0,0.008388330114106722,-0.0,0.0,0.017550609098753542,0.0,2.2062634605014315,0,0
Real Rate (5yr avg),0.0,-0.010666410922145026,0.0,0.0,0.02236603223116525,0.0,3.039061283088846,0,0
Resource_HHI,-0.0,-0.042447777528720414,-0.0,0.0,0.08954570706840083,0.0,5.970898536002304,0,0
RuleLaw × Production,0.0,8.5486385142693e-05,0.0,0.0,0.0,0.0,1.4028468237441025,0,0
