Feature,LASSO,Ridge,Elastic Net,Random Forest,Linear_Avg,Overall_Avg
L1_ECI,1.0,1.0,1.0,1.0,1.0,1.0
Domestic credit to private sector (% of GDP),0.13657280907624425,0.16073991194285397,0.16050925087325407,0.015191040641382873,0.15260732396411744,0.08389918230275016
HCI_x_ProductionValue,0.06418666989735992,0.12819271183965109,0.1031139016902553,0.005792858205295229,0.0984977611424221,0.052145309673858664
Access to electricity (% of population),0.045560043033877784,0.17239891004937888,0.07222798013576749,0.004646353759315963,0.09672897773967472,0.05068766574949534
Human capital index,0.011190662216927825,0.05969066021932954,0.03138308696393378,0.006202629563331687,0.034088136466730375,0.02014538301503103
Government revenue,0.0,0.07477197592906096,0.013754603720172497,0.0022065582755476675,0.029508859883077818,0.01585770907931274
Political stability — estimate,0.0,0.07173301534910603,0.011644206289342915,0.0034837722913172446,0.027792407212816315,0.01563808975206678
Total_Production_Value,0.0,0.0734028570201649,0.0,0.0010108918174907674,0.024467619006721633,0.0127392554121062
Urban population (% of total population),0.0,0.05024294357952448,0.017991898738756413,0.002594388147048311,0.022744947439426965,0.012669667793237638
Adjusted savings: gross savings (% of GNI),0.0,0.05537240981289602,0.0,0.001919728720708454,0.018457469937632007,0.01018859932917023
Capital depreciation rate,0.0,0.04040823993935286,0.011897470901105375,0.0008665481636805747,0.01743523694681941,0.009150892555249993
"Gross fixed capital formation, all, Constant prices, Percent of GDP",0.0,0.04309063854218845,0.008006131794377485,0.000897691457907903,0.017032256778855313,0.008964974118381607
GFCF_x_ProductionValue,0.0,0.03535941757334535,0.0,0.0006479249421938905,0.01178647252444845,0.00621719873332117
Resource_HHI,0.0,0.0,0.0,0.011502860894693902,0.0,0.005751430447346951
Forestry rents (% of GDP),0.0,0.017767620878306564,0.0,0.005146161482700022,0.005922540292768855,0.005534350887734438
RealRate_roll5,0.0,0.029253597311634877,0.0,0.000451154427374633,0.009751199103878292,0.005101176765626462
Rule of law index,0.0,0.013650487421136412,0.0,0.004721425712426744,0.004550162473712137,0.0046357940930694405
Inflation_roll5,0.0,0.00989172940375137,0.0,0.0031339984460169025,0.00329724313458379,0.003215620790300346
"Use of IMF credit (DOD, current US$)",0.0,0.013800560966087005,0.0,0.0011804350924616055,0.004600186988695669,0.0028903110405786372
Share of investment in GDP,0.0,0.00629251758030117,0.0,0.0028430366272022742,0.00209750586010039,0.002470271243651332
"Inflation, consumer prices (annual %)",0.0,0.009124054900980408,0.0,0.001140964980193969,0.003041351633660136,0.0020911583069270524
Trade (% of GDP),0.0,0.008479030528657342,0.0,0.0011780286563604473,0.0028263435095524474,0.0020021860829564473
Real interest rate (%),0.0,0.008447996932026395,0.0,0.0006227693609630094,0.0028159989773421314,0.0017193841691525704
Landlocked,0.0,0.008211661873510715,0.0,0.0,0.002737220624503572,0.001368610312251786
