Variable,Coef,SE,p,CI_lo,CI_hi,Spec,N,R2,R2_adj
const,-1.081076553540296,0.13261996333500925,8.290664060558579e-16,-1.3412465518759413,-0.8209065552046506,"Original (54 ctry, total rents)",1324.0,0.38209372519492757,0.3778614904359887
log_HCI,-0.1125277907184293,0.15646382199963807,0.47214947796104934,-0.4194739795543042,0.19441839811744557,"Original (54 ctry, total rents)",1324.0,0.38209372519492757,0.3778614904359887
log_GFCF,0.048943350747292336,0.030557231092129447,0.10946352639549643,-0.011002939105757073,0.10888964060034174,"Original (54 ctry, total rents)",1324.0,0.38209372519492757,0.3778614904359887
Political stability — estimate,0.022004877565290456,0.03361503278139027,0.5128307466538407,-0.04394011897112682,0.08794987410170774,"Original (54 ctry, total rents)",1324.0,0.38209372519492757,0.3778614904359887
Rule of law index,0.29748620531024494,0.1121832553723201,0.008103018817588948,0.07740834802886654,0.5175640625916234,"Original (54 ctry, total rents)",1324.0,0.38209372519492757,0.3778614904359887
log_Prod,0.02668114867147518,0.012457672558149318,0.03239748984422271,0.002242047896485532,0.05112024944646483,"Original (54 ctry, total rents)",1324.0,0.38209372519492757,0.3778614904359887
Trade (% of GDP),0.0015858276252947424,0.0010367029090162661,0.12633570796731253,-0.0004479460791360734,0.003619601329725558,"Original (54 ctry, total rents)",1324.0,0.38209372519492757,0.3778614904359887
Total natural resources rents (% of GDP),-0.009427724046476554,0.002423531325794835,0.00010522816634916166,-0.014182137523470618,-0.004673310569482489,"Original (54 ctry, total rents)",1324.0,0.38209372519492757,0.3778614904359887
log_HCI_x_Prod,0.20817690176573492,0.029268524968644377,1.864637462954176e-12,0.15075875821563156,0.2655950453158383,"Original (54 ctry, total rents)",1324.0,0.38209372519492757,0.3778614904359887
log_GFCF_x_Prod,-0.0014938238679000748,0.004345488285601286,0.7310785260531749,-0.010018676775426135,0.007031029039625986,"Original (54 ctry, total rents)",1324.0,0.38209372519492757,0.3778614904359887
const,-1.2189777128825707,0.13554500516168158,8.180695255021348e-19,-1.4848859734529496,-0.9530694523121918,"Adj. rent, same sample (54 ctry)",1324.0,0.3711917700313283,0.3668848643466114
log_HCI,0.02028942266662709,0.15688186131082774,0.8971168742129252,-0.2874768635675687,0.32805570890082286,"Adj. rent, same sample (54 ctry)",1324.0,0.3711917700313283,0.3668848643466114
log_GFCF,0.05047125016618956,0.03126582847935563,0.10671062000810998,-0.010865145493099443,0.11180764582547856,"Adj. rent, same sample (54 ctry)",1324.0,0.3711917700313283,0.3668848643466114
Political stability — estimate,0.027727472734949164,0.03446081449110527,0.4211910452256814,-0.03987675383347328,0.0953316993033716,"Adj. rent, same sample (54 ctry)",1324.0,0.3711917700313283,0.3668848643466114
Rule of law index,0.343795936572807,0.11308515827020624,0.002411360605949502,0.1219487523398805,0.5656431208057335,"Adj. rent, same sample (54 ctry)",1324.0,0.3711917700313283,0.3668848643466114
log_Prod,0.023944392703121573,0.014211953918909344,0.09226336977089997,-0.00393620637447472,0.051824991780717866,"Adj. rent, same sample (54 ctry)",1324.0,0.3711917700313283,0.3668848643466114
Trade (% of GDP),0.001245093890117544,0.0010593872399838758,0.240089116693579,-0.0008331812770016591,0.003323369057236747,"Adj. rent, same sample (54 ctry)",1324.0,0.3711917700313283,0.3668848643466114
NR rents excl. forest (% of GDP),-0.006643617130559984,0.002703844576458199,0.01413484453646828,-0.011947941014136817,-0.001339293246983151,"Adj. rent, same sample (54 ctry)",1324.0,0.3711917700313283,0.3668848643466114
log_HCI_x_Prod,0.19606790285975514,0.029739987885306265,6.237477793265954e-11,0.13772485703130183,0.25441094868820846,"Adj. rent, same sample (54 ctry)",1324.0,0.3711917700313283,0.3668848643466114
log_GFCF_x_Prod,-0.0016912194937505846,0.0044370023200689885,0.7031441922131836,-0.010395601980356729,0.00701316299285556,"Adj. rent, same sample (54 ctry)",1324.0,0.3711917700313283,0.3668848643466114
const,-1.830003861797615,0.44672091732833347,4.545857748075764e-05,-2.706660305624323,-0.9533474179709073,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.4273260453260479,0.4219850447125084
log_HCI,0.9081594984098336,0.5033677030300563,0.07151681392897635,-0.07966203256900928,1.8959810293886763,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.4273260453260479,0.4219850447125084
log_GFCF,0.0739360000871854,0.035440264139264134,0.03722128537949325,0.004387128020889766,0.14348487215348105,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.4273260453260479,0.4219850447125084
Political stability — estimate,-0.005802231640041941,0.04929034085080928,0.9063176691097938,-0.10253084507436099,0.0909263817942771,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.4273260453260479,0.4219850447125084
Rule of law index,0.5939636248572349,0.1507242841465416,8.70919385199593e-05,0.29817847172746276,0.889748777987007,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.4273260453260479,0.4219850447125084
log_Prod,0.04440728359868403,0.028397664928822383,0.11820054759236276,-0.011321013384522564,0.10013558058189062,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.4273260453260479,0.4219850447125084
Trade (% of GDP),0.0007569810454890304,0.0010983861666775333,0.4908783818788681,-0.0013985197906633382,0.002912481881641399,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.4273260453260479,0.4219850447125084
NR rents excl. forest (% of GDP),-0.01105976219080107,0.003643488224444057,0.002465900160385092,-0.01820983577380727,-0.003909688607794872,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.4273260453260479,0.4219850447125084
log_HCI_x_Prod,0.05900205959779131,0.07395352068971661,0.4251676068442579,-0.08612620268293228,0.2041303218785149,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.4273260453260479,0.4219850447125084
log_GFCF_x_Prod,-0.004097605863248373,0.00505625784446444,0.4179084732797548,-0.014020134334735175,0.00582492260823843,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.4273260453260479,0.4219850447125084
const,-2.426560417212377,0.28964514051635276,1.4198306203361903e-16,-2.9947990092863006,-1.8583218251384532,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.4803530399146917,0.4766500924556515
log_HCI,2.1057086424960616,0.3360362912920552,5.061558853744843e-10,1.4464578478542653,2.7649594371378576,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.4803530399146917,0.4766500924556515
log_GFCF,0.11554330826989076,0.034649445912105864,0.0008788928778040763,0.0475664993852791,0.18352011715450242,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.4803530399146917,0.4766500924556515
Political stability — estimate,0.05315662767683389,0.03901876975724063,0.17333514182138407,-0.023392113143691703,0.12970536849735947,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.4803530399146917,0.4766500924556515
Rule of law index,0.46375554912328076,0.12378168599279946,0.00018736188370950118,0.2209151864377768,0.7065959118087848,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.4803530399146917,0.4766500924556515
log_Prod,0.008931865972821673,0.024719250877969664,0.7179114177271189,-0.03956344898733575,0.0574271809329791,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.4803530399146917,0.4766500924556515
Trade (% of GDP),-0.00044903472952543286,0.001032144641151987,0.6636003189973666,-0.0024739415401809953,0.0015758720811301298,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.4803530399146917,0.4766500924556515
NR rents excl. forest (% of GDP),-0.011480912431364721,0.0034329125194914566,0.0008489046041896057,-0.01821575139089713,-0.0047460734718323145,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.4803530399146917,0.4766500924556515
