NODE,NODE_TYPE,FACILITY_TYPE,STATUS,REGION,OPERATOR,LAT,LON,SCALE_FACTOR,DEGREE,DEGREE_CENTRALITY,BETWEENNESS_CENTRALITY,EIGENVECTOR_CENTRALITY,CLOSENESS_CENTRALITY,COMMUNITY
Aguas Blancas,mine,Mine (idle),Idle,Antofagasta,Atacama Minerals Chile Minera ,-24.13999999999993,-69.85999999999996,3.865,1,0.00353,0.0,0.0,0.01472,10
Alhué,mine,Mine (active),Active,Metropolitana de Santiago,nan,-34.00799999999998,-70.97799999999995,3.232,3,0.0106,0.0001,0.0,0.10032,1
Altamira,mine,Mine (active),Active,Antofagasta,nan,-25.835999999999956,-69.85699999999997,3.451,5,0.01767,0.0,1e-05,0.1657,11
Amancaya,mine,Mine (active),Active,Antofagasta,nan,-25.57899999999995,-69.81299999999999,1.444,3,0.0106,0.02539,2e-05,0.17861,11
Amos,mine,Prospect/Project,Prospect/Project,Valparaíso,nan,-32.27999999999997,-70.30699999999996,1.0,8,0.02827,0.06889,0.0,0.1257,1
Andina,mine,Mine (active),Active,Valparaíso,Corporación Nacional del Cobre (CODELCO),-33.148999999999944,-70.25399999999996,4.598,10,0.03534,0.0,0.0,0.11748,1
Antucoya,mine,Mine (active),Active,Antofagasta,Antofagasta plc,-22.637999999999977,-69.88299999999998,3.941,15,0.053,0.0,0.01144,0.14981,2
Arqueros,mine,Mine (idle),Idle,Coquimbo,nan,-29.84499999999997,-70.91899999999998,1.0,1,0.00353,0.0,0.0,0.15432,13
Barreal Seco,mine,Mine (active),Active,Antofagasta,nan,-25.92199999999997,-70.05499999999995,3.497,5,0.01767,0.0,0.0,0.1657,11
Berta,mine,Prospect/Project,Prospect/Project,Atacama,Minera Pacífico Ltda.,-26.71799999999996,-70.05599999999998,1.0,7,0.02473,0.0,0.0,0.18441,11
Boqueron Chañar,mine,Mine (idle),Idle,Atacama,nan,-28.06950999999998,-70.69988999999998,3.259,5,0.01767,0.0096,0.0,0.161,5
Bornita,mine,Prospect/Project,Prospect/Project,Coquimbo,nan,-30.90599999999995,-70.39199999999994,1.0,4,0.01413,0.24918,0.0,0.15633,13
Brujulina,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-21.93599999999998,-68.86099999999993,3.453,12,0.0424,0.00013,0.00419,0.12824,7
Buena Esperanza,mine,Mine (idle),Idle,Antofagasta,nan,-22.164999999999964,-70.20999999999998,3.303,11,0.03887,0.0,0.00251,0.12749,2
Búfalo,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-23.635999999999967,-69.29399999999998,1.0,13,0.04594,0.11651,0.01533,0.1496,2
Cachinal,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-24.964999999999975,-69.54833299999996,2.147,3,0.0106,0.0,0.00128,0.17205,11
Cachorro,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-22.975999999999942,-69.74499999999995,3.849,14,0.04947,0.0,0.01021,0.1496,2
Cala Cala,mine,Mine (active),Active,Tarapacá,nan,-20.234999999999957,-69.79299999999995,2.91,3,0.0106,0.0,0.0,0.0225,15
