b,unique_drawn,n_rows
1,84,3275
2,81,3275
3,86,3275
4,86,3275
5,86,3275
6,86,3275
7,84,3275
8,83,3275
9,75,3275
10,85,3275
11,83,3275
12,81,3275
13,86,3275
14,83,3275
15,79,3275
16,78,3275
17,83,3275
18,81,3275
19,86,3275
20,84,3275
21,86,3275
22,79,3275
23,87,3275
24,85,3275
25,84,3275
26,82,3275
27,80,3275
28,82,3275
29,79,3275
30,80,3275
31,88,3275
32,83,3275
33,86,3275
34,85,3275
35,80,3275
36,81,3275
37,82,3275
38,78,3275
39,83,3275
40,83,3275
41,81,3275
42,87,3275
43,83,3275
44,86,3275
45,88,3275
46,81,3275
47,83,3275
48,82,3275
49,77,3275
50,75,3275
51,80,3275
52,81,3275
53,80,3275
54,86,3275
55,84,3275
56,81,3275
57,77,3275
58,84,3275
59,82,3275
60,82,3275
61,85,3275
62,81,3275
63,81,3275
64,82,3275
65,83,3275
66,82,3275
67,84,3275
68,81,3275
69,84,3275
70,85,3275
71,82,3275
72,81,3275
73,85,3275
74,81,3275
75,78,3275
76,80,3275
77,88,3275
78,79,3275
79,83,3275
80,89,3275
81,87,3275
82,84,3275
83,82,3275
84,78,3275
85,77,3275
86,80,3275
87,91,3275
88,87,3275
89,81,3275
90,75,3275
91,82,3275
92,88,3275
93,82,3275
94,87,3275
95,86,3275
96,85,3275
97,85,3275
98,79,3275
99,89,3275
100,84,3275
101,80,3275
102,86,3275
103,81,3275
104,85,3275
105,87,3275
106,80,3275
107,81,3275
108,83,3275
109,86,3275
110,82,3275
111,80,3275
112,83,3275
113,80,3275
114,85,3275
115,81,3275
116,82,3275
117,89,3275
118,81,3275
119,82,3275
120,84,3275
121,91,3275
122,82,3275
123,74,3275
124,81,3275
125,87,3275
126,89,3275
127,81,3275
128,82,3275
129,79,3275
130,82,3275
131,85,3275
132,81,3275
133,88,3275
134,88,3275
135,84,3275
136,86,3275
137,83,3275
138,83,3275
139,74,3275
140,82,3275
141,83,3275
142,92,3275
143,87,3275
144,79,3275
145,84,3275
146,86,3275
147,84,3275
148,84,3275
149,81,3275
150,88,3275
151,79,3275
152,86,3275
153,86,3275
154,86,3275
155,81,3275
156,85,3275
157,85,3275
158,86,3275
159,80,3275
160,85,3275
161,82,3275
162,82,3275
163,83,3275
164,86,3275
165,80,3275
166,81,3275
167,82,3275
168,84,3275
169,83,3275
170,79,3275
171,86,3275
172,79,3275
173,83,3275
174,83,3275
175,87,3275
176,83,3275
177,89,3275
178,78,3275
179,82,3275
180,89,3275
181,82,3275
182,81,3275
183,82,3275
184,84,3275
185,81,3275
186,91,3275
187,90,3275
188,83,3275
189,79,3275
190,86,3275
191,79,3275
192,79,3275
193,83,3275
194,85,3275
195,77,3275
196,89,3275
197,81,3275
198,84,3275
199,81,3275
200,86,3275
