Model,Variable,Original_Coef,Clustered_SE,Boot_Median,Boot_SE,Boot_CI_lo,Boot_CI_hi,Sign_Stability
3a,const,-2.9277547510975137,0.5357942948112662,-3.3246791778963285,0.6174514351018058,-4.502997966260164,-2.2561702845814495,1.0
3a,log_HCI,1.634437027979228,0.40804611578140493,2.148467322042414,0.47150833571015227,1.0829456393521122,2.9821380168467884,1.0
3a,log_GFCF,0.1478982482189451,0.0547387717017694,0.1407619022393514,0.10297880289887433,-0.10736954822127229,0.31984016553726735,0.93
3a,Political stability — estimate,0.02765945085634984,0.06858984093677083,0.06847019923863934,0.09155668172741559,-0.09970468922528591,0.24681229653811987,0.785
3a,Rule of law index,0.3455259363113058,0.20189124010914067,0.903893026042484,0.33768950673277537,0.23362108635166431,1.4753429282668937,0.995
3a,log_Production_Value,-0.041122463988804515,0.03238540545803441,-0.012215215749491665,0.03063925047802441,-0.07957017983074285,0.047770619524199975,0.65
3a,Forestry rents (% of GDP),-0.026783292050734785,0.016145880541034042,-0.08959966422787553,0.0504081517737669,-0.19781839068039883,-0.013973800296621217,0.985
3a,Trade (% of GDP),0.000918812679162177,0.0027034188685270094,-0.0009297609496195687,0.002358525409003624,-0.00536211937742611,0.003577060562150727,0.37
3a,log_HCI_x_log_Production,0.23835026312113228,0.14111023605539044,0.04287376804501222,0.14825608097199974,-0.26710141841776713,0.31612054662333394,0.615
3a,log_GFCF_x_log_Production,0.01990704701867925,0.03001791312761976,0.00790168031207405,0.04796111088963785,-0.09385756118009037,0.10006504989087185,0.565
3a,log_HCI_x_forestry_rents,-0.08009315974759582,0.07171923309881344,-0.28462623089268724,0.17258910799268795,-0.6472293762186908,0.021278189941051313,0.97
3a,log_GFCF_x_forestry_rents,0.013254231338144466,0.015358726971862318,0.0019014717326461027,0.02779237663072761,-0.04691740986631269,0.06342564036599087,0.55
3b,const,-0.5470473899069046,0.1336054871448855,-3.156639466078527,0.622027274082801,-4.305850070884022,-1.8934158180330678,1.0
3b,log_HCI,0.27454797707769407,0.10636267261896412,2.0270918385135817,0.4742480268539186,0.9948342120196161,2.841318680767131,1.0
3b,log_GFCF,0.03664061545798377,0.010460402276725492,0.1271503668433816,0.10044590900231343,-0.09319447467739328,0.317362754856156,0.92
3b,Political stability — estimate,0.011949222292281503,0.019608786846642842,0.06049500700283274,0.09236246206274004,-0.10951612541766499,0.2476265113273249,0.75
3b,Rule of law index,0.05872402291581,0.04537983248157327,0.879847263977823,0.330049717814232,0.1601677881383033,1.483470681037822,0.995
3b,log_Production_Value,-0.008726738942403639,0.008126191799443813,-0.011739795284978493,0.029825252098043164,-0.0803807321994901,0.040704334814244916,0.62
3b,Forestry rents (% of GDP),-0.005162354705618037,0.0037067300933576863,-0.08209860164759428,0.04946422670098304,-0.1880418244587252,-0.005969186553128153,0.98
3b,Trade (% of GDP),0.00032933825412153673,0.0006112973310376451,-0.0008249993430419717,0.002266484222159997,-0.0051533889898975616,0.003408370541084931,0.375
3b,log_HCI_x_log_Production,0.04219113754425456,0.035122134706974,0.041427905755570794,0.1451978528037864,-0.2526403997205986,0.3357778333134467,0.63
3b,log_GFCF_x_log_Production,0.009093564100502903,0.0058297858267685404,0.005008483982992105,0.04691775265844073,-0.09473790383640404,0.09623275503585363,0.54
3b,log_HCI_x_forestry_rents,-0.024515939794076763,0.01756595129644853,-0.2777350775578515,0.17576539716767478,-0.5992624638232338,0.0195350427425046,0.96
3b,log_GFCF_x_forestry_rents,0.006455525374668495,0.003727806366997372,0.0003479077026134706,0.028939865754520757,-0.050927647176782075,0.06542100836364247,0.515
3b,ECI_lag1,0.8069876023797199,0.0448925518844483,0.12498906698206243,0.09261736965711277,-0.038346519532424406,0.32888144556776033,0.935
