Country Code,Year,Variable,Value
MEX,1995.0,v2x_polyarchy,0.48
MEX,1996.0,v2x_polyarchy,0.508
MEX,1997.0,v2x_polyarchy,0.556
MEX,1998.0,v2x_polyarchy,0.598
MEX,1999.0,v2x_polyarchy,0.602
MEX,2000.0,v2x_polyarchy,0.664
MEX,2001.0,v2x_polyarchy,0.677
MEX,2002.0,v2x_polyarchy,0.688
MEX,2003.0,v2x_polyarchy,0.699
MEX,2004.0,v2x_polyarchy,0.71
MEX,2005.0,v2x_polyarchy,0.71
MEX,2006.0,v2x_polyarchy,0.671
MEX,2007.0,v2x_polyarchy,0.637
MEX,2008.0,v2x_polyarchy,0.642
MEX,2009.0,v2x_polyarchy,0.648
MEX,2010.0,v2x_polyarchy,0.661
MEX,2011.0,v2x_polyarchy,0.66
MEX,2012.0,v2x_polyarchy,0.649
MEX,2013.0,v2x_polyarchy,0.623
MEX,2014.0,v2x_polyarchy,0.62
MEX,2015.0,v2x_polyarchy,0.639
MEX,2016.0,v2x_polyarchy,0.64
MEX,2017.0,v2x_polyarchy,0.635
MEX,2018.0,v2x_polyarchy,0.675
MEX,2019.0,v2x_polyarchy,0.685
MEX,2020.0,v2x_polyarchy,0.663
MEX,2021.0,v2x_polyarchy,0.618
MEX,2022.0,v2x_polyarchy,0.586
MEX,2023.0,v2x_polyarchy,0.549
MEX,2024.0,v2x_polyarchy,0.505
SUR,1995.0,v2x_polyarchy,0.757
SUR,1996.0,v2x_polyarchy,0.768
SUR,1997.0,v2x_polyarchy,0.773
SUR,1998.0,v2x_polyarchy,0.773
SUR,1999.0,v2x_polyarchy,0.773
SUR,2000.0,v2x_polyarchy,0.784
SUR,2001.0,v2x_polyarchy,0.779
SUR,2002.0,v2x_polyarchy,0.779
SUR,2003.0,v2x_polyarchy,0.779
SUR,2004.0,v2x_polyarchy,0.779
SUR,2005.0,v2x_polyarchy,0.776
SUR,2006.0,v2x_polyarchy,0.774
SUR,2007.0,v2x_polyarchy,0.771
SUR,2008.0,v2x_polyarchy,0.772
SUR,2009.0,v2x_polyarchy,0.772
SUR,2010.0,v2x_polyarchy,0.762
SUR,2011.0,v2x_polyarchy,0.753
SUR,2012.0,v2x_polyarchy,0.753
SUR,2013.0,v2x_polyarchy,0.755
SUR,2014.0,v2x_polyarchy,0.755
SUR,2015.0,v2x_polyarchy,0.762
SUR,2016.0,v2x_polyarchy,0.767
SUR,2017.0,v2x_polyarchy,0.757
SUR,2018.0,v2x_polyarchy,0.76
SUR,2019.0,v2x_polyarchy,0.756
SUR,2020.0,v2x_polyarchy,0.76
SUR,2021.0,v2x_polyarchy,0.764
SUR,2022.0,v2x_polyarchy,0.78
SUR,2023.0,v2x_polyarchy,0.768
SUR,2024.0,v2x_polyarchy,0.768
SWE,1995.0,v2x_polyarchy,0.912
SWE,1996.0,v2x_polyarchy,0.912
SWE,1997.0,v2x_polyarchy,0.912
SWE,1998.0,v2x_polyarchy,0.912
SWE,1999.0,v2x_polyarchy,0.911
SWE,2000.0,v2x_polyarchy,0.911
SWE,2001.0,v2x_polyarchy,0.911
SWE,2002.0,v2x_polyarchy,0.91
SWE,2003.0,v2x_polyarchy,0.909
SWE,2004.0,v2x_polyarchy,0.909
SWE,2005.0,v2x_polyarchy,0.909
SWE,2006.0,v2x_polyarchy,0.911
SWE,2007.0,v2x_polyarchy,0.915
SWE,2008.0,v2x_polyarchy,0.915
SWE,2009.0,v2x_polyarchy,0.915
SWE,2010.0,v2x_polyarchy,0.915
SWE,2011.0,v2x_polyarchy,0.917
SWE,2012.0,v2x_polyarchy,0.918
SWE,2013.0,v2x_polyarchy,0.918
SWE,2014.0,v2x_polyarchy,0.916
SWE,2015.0,v2x_polyarchy,0.916
SWE,2016.0,v2x_polyarchy,0.917
SWE,2017.0,v2x_polyarchy,0.917
SWE,2018.0,v2x_polyarchy,0.91
SWE,2019.0,v2x_polyarchy,0.902
SWE,2020.0,v2x_polyarchy,0.902
SWE,2021.0,v2x_polyarchy,0.903
SWE,2022.0,v2x_polyarchy,0.896
SWE,2023.0,v2x_polyarchy,0.881
SWE,2024.0,v2x_polyarchy,0.881
CHE,1995.0,v2x_polyarchy,0.884
CHE,1996.0,v2x_polyarchy,0.889
CHE,1997.0,v2x_polyarchy,0.889
CHE,1998.0,v2x_polyarchy,0.889
CHE,1999.0,v2x_polyarchy,0.889
CHE,2000.0,v2x_polyarchy,0.889
CHE,2001.0,v2x_polyarchy,0.889
CHE,2002.0,v2x_polyarchy,0.889
CHE,2003.0,v2x_polyarchy,0.889
CHE,2004.0,v2x_polyarchy,0.888
CHE,2005.0,v2x_polyarchy,0.888
CHE,2006.0,v2x_polyarchy,0.888
CHE,2007.0,v2x_polyarchy,0.89
CHE,2008.0,v2x_polyarchy,0.897
CHE,2009.0,v2x_polyarchy,0.897
CHE,2010.0,v2x_polyarchy,0.897
CHE,2011.0,v2x_polyarchy,0.898
CHE,2012.0,v2x_polyarchy,0.905
CHE,2013.0,v2x_polyarchy,0.905
CHE,2014.0,v2x_polyarchy,0.905
CHE,2015.0,v2x_polyarchy,0.904
CHE,2016.0,v2x_polyarchy,0.903
CHE,2017.0,v2x_polyarchy,0.907
CHE,2018.0,v2x_polyarchy,0.907
CHE,2019.0,v2x_polyarchy,0.906
CHE,2020.0,v2x_polyarchy,0.902
CHE,2021.0,v2x_polyarchy,0.896
CHE,2022.0,v2x_polyarchy,0.896
CHE,2023.0,v2x_polyarchy,0.887
CHE,2024.0,v2x_polyarchy,0.894
GHA,1995.0,v2x_polyarchy,0.493
GHA,1996.0,v2x_polyarchy,0.519
GHA,1997.0,v2x_polyarchy,0.602
GHA,1998.0,v2x_polyarchy,0.602
GHA,1999.0,v2x_polyarchy,0.607
GHA,2000.0,v2x_polyarchy,0.671
GHA,2001.0,v2x_polyarchy,0.726
GHA,2002.0,v2x_polyarchy,0.733
GHA,2003.0,v2x_polyarchy,0.733
GHA,2004.0,v2x_polyarchy,0.744
GHA,2005.0,v2x_polyarchy,0.736
GHA,2006.0,v2x_polyarchy,0.736
GHA,2007.0,v2x_polyarchy,0.738
GHA,2008.0,v2x_polyarchy,0.737
GHA,2009.0,v2x_polyarchy,0.759
GHA,2010.0,v2x_polyarchy,0.766
GHA,2011.0,v2x_polyarchy,0.766
GHA,2012.0,v2x_polyarchy,0.776
GHA,2013.0,v2x_polyarchy,0.756
GHA,2014.0,v2x_polyarchy,0.747
GHA,2015.0,v2x_polyarchy,0.74
GHA,2016.0,v2x_polyarchy,0.731
GHA,2017.0,v2x_polyarchy,0.743
GHA,2018.0,v2x_polyarchy,0.742
GHA,2019.0,v2x_polyarchy,0.722
GHA,2020.0,v2x_polyarchy,0.719
GHA,2021.0,v2x_polyarchy,0.665
GHA,2022.0,v2x_polyarchy,0.662
GHA,2023.0,v2x_polyarchy,0.664
GHA,2024.0,v2x_polyarchy,0.669
ZAF,1995.0,v2x_polyarchy,0.654
ZAF,1996.0,v2x_polyarchy,0.659
ZAF,1997.0,v2x_polyarchy,0.659
ZAF,1998.0,v2x_polyarchy,0.664
ZAF,1999.0,v2x_polyarchy,0.705
ZAF,2000.0,v2x_polyarchy,0.743
ZAF,2001.0,v2x_polyarchy,0.743
ZAF,2002.0,v2x_polyarchy,0.743
ZAF,2003.0,v2x_polyarchy,0.743
ZAF,2004.0,v2x_polyarchy,0.759
ZAF,2005.0,v2x_polyarchy,0.77
ZAF,2006.0,v2x_polyarchy,0.768
ZAF,2007.0,v2x_polyarchy,0.768
ZAF,2008.0,v2x_polyarchy,0.766
ZAF,2009.0,v2x_polyarchy,0.767
ZAF,2010.0,v2x_polyarchy,0.77
ZAF,2011.0,v2x_polyarchy,0.77
ZAF,2012.0,v2x_polyarchy,0.772
ZAF,2013.0,v2x_polyarchy,0.76
ZAF,2014.0,v2x_polyarchy,0.752
ZAF,2015.0,v2x_polyarchy,0.755
ZAF,2016.0,v2x_polyarchy,0.752
ZAF,2017.0,v2x_polyarchy,0.743
ZAF,2018.0,v2x_polyarchy,0.747
ZAF,2019.0,v2x_polyarchy,0.721
ZAF,2020.0,v2x_polyarchy,0.723
ZAF,2021.0,v2x_polyarchy,0.725
ZAF,2022.0,v2x_polyarchy,0.713
ZAF,2023.0,v2x_polyarchy,0.705
ZAF,2024.0,v2x_polyarchy,0.734
JPN,1995.0,v2x_polyarchy,0.845
JPN,1996.0,v2x_polyarchy,0.845
JPN,1997.0,v2x_polyarchy,0.844
JPN,1998.0,v2x_polyarchy,0.844
JPN,1999.0,v2x_polyarchy,0.844
JPN,2000.0,v2x_polyarchy,0.845
JPN,2001.0,v2x_polyarchy,0.845
JPN,2002.0,v2x_polyarchy,0.845
JPN,2003.0,v2x_polyarchy,0.845
JPN,2004.0,v2x_polyarchy,0.845
JPN,2005.0,v2x_polyarchy,0.847
JPN,2006.0,v2x_polyarchy,0.852
JPN,2007.0,v2x_polyarchy,0.852
JPN,2008.0,v2x_polyarchy,0.857
JPN,2009.0,v2x_polyarchy,0.859
JPN,2010.0,v2x_polyarchy,0.857
JPN,2011.0,v2x_polyarchy,0.857
JPN,2012.0,v2x_polyarchy,0.85
JPN,2013.0,v2x_polyarchy,0.823
JPN,2014.0,v2x_polyarchy,0.823
JPN,2015.0,v2x_polyarchy,0.825
JPN,2016.0,v2x_polyarchy,0.825
JPN,2017.0,v2x_polyarchy,0.823
JPN,2018.0,v2x_polyarchy,0.84
