Country Code,Year,Variable,Value
ZWE,2019,NY.GDP.TOTL.RT.ZS,4.71576545765887
ZWE,2018,NY.GDP.TOTL.RT.ZS,3.37818944674235
ZWE,2017,NY.GDP.TOTL.RT.ZS,6.09544838030308
ZWE,2016,NY.GDP.TOTL.RT.ZS,4.49541367401877
ZWE,2015,NY.GDP.TOTL.RT.ZS,4.60618520596556
ZWE,2014,NY.GDP.TOTL.RT.ZS,5.62126327970579
ZWE,2013,NY.GDP.TOTL.RT.ZS,5.04283935109174
ZWE,2012,NY.GDP.TOTL.RT.ZS,5.96773281078297
ZWE,2011,NY.GDP.TOTL.RT.ZS,7.87938898914128
ZWE,2010,NY.GDP.TOTL.RT.ZS,7.09847064162797
ZWE,2009,NY.GDP.TOTL.RT.ZS,6.76260898727295
ZWE,2008,NY.GDP.TOTL.RT.ZS,18.3230470823159
ZWE,2007,NY.GDP.TOTL.RT.ZS,15.559238462362
ZWE,2006,NY.GDP.TOTL.RT.ZS,11.4813042316831
ZWE,2005,NY.GDP.TOTL.RT.ZS,8.5582074673681
ZWE,2004,NY.GDP.TOTL.RT.ZS,8.43730994677101
ZWE,2003,NY.GDP.TOTL.RT.ZS,6.98217572203532
ZWE,2002,NY.GDP.TOTL.RT.ZS,5.17219377081197
ZWE,2001,NY.GDP.TOTL.RT.ZS,4.02799179313518
ZWE,2000,NY.GDP.TOTL.RT.ZS,3.90170876645193
ZWE,1999,NY.GDP.TOTL.RT.ZS,3.70089065515096
ZWE,1998,NY.GDP.TOTL.RT.ZS,5.59080463449055
ZWE,1997,NY.GDP.TOTL.RT.ZS,6.77129137790896
ZWE,1996,NY.GDP.TOTL.RT.ZS,7.99042829291191
ZWE,1995,NY.GDP.TOTL.RT.ZS,8.54428671214653
ZMB,2019,NY.GDP.TOTL.RT.ZS,7.91506539515975
ZMB,2018,NY.GDP.TOTL.RT.ZS,11.7483463033985
ZMB,2017,NY.GDP.TOTL.RT.ZS,13.2264399699464
ZMB,2016,NY.GDP.TOTL.RT.ZS,11.6772125402718
ZMB,2015,NY.GDP.TOTL.RT.ZS,11.1602533885932
ZMB,2014,NY.GDP.TOTL.RT.ZS,10.842259058696
ZMB,2013,NY.GDP.TOTL.RT.ZS,12.023594729012
ZMB,2012,NY.GDP.TOTL.RT.ZS,13.5753487511819
ZMB,2011,NY.GDP.TOTL.RT.ZS,17.4237334954232
ZMB,2010,NY.GDP.TOTL.RT.ZS,18.6647201093496
ZMB,2009,NY.GDP.TOTL.RT.ZS,16.7968643399172
ZMB,2008,NY.GDP.TOTL.RT.ZS,16.052538455331
ZMB,2007,NY.GDP.TOTL.RT.ZS,21.7874311599282
ZMB,2006,NY.GDP.TOTL.RT.ZS,19.2015029596777
ZMB,2005,NY.GDP.TOTL.RT.ZS,14.1027021273131
ZMB,2004,NY.GDP.TOTL.RT.ZS,13.7756377211636
ZMB,2003,NY.GDP.TOTL.RT.ZS,12.6388158009955
ZMB,2002,NY.GDP.TOTL.RT.ZS,8.58178422740853
ZMB,2001,NY.GDP.TOTL.RT.ZS,6.91796764834799
ZMB,2000,NY.GDP.TOTL.RT.ZS,9.12122495945449
ZMB,1999,NY.GDP.TOTL.RT.ZS,5.20000710887479
ZMB,1998,NY.GDP.TOTL.RT.ZS,7.38004991836173
ZMB,1997,NY.GDP.TOTL.RT.ZS,5.78425325323365
ZMB,1996,NY.GDP.TOTL.RT.ZS,7.40724986790176
ZMB,1995,NY.GDP.TOTL.RT.ZS,7.23321498317749
ZAF,2019,NY.GDP.TOTL.RT.ZS,4.18782227881945
ZAF,2018,NY.GDP.TOTL.RT.ZS,3.86949148830953
ZAF,2017,NY.GDP.TOTL.RT.ZS,3.8355856656622
ZAF,2016,NY.GDP.TOTL.RT.ZS,3.56159906611897
ZAF,2015,NY.GDP.TOTL.RT.ZS,2.80794769347075
ZAF,2014,NY.GDP.TOTL.RT.ZS,4.66573419871465
ZAF,2013,NY.GDP.TOTL.RT.ZS,6.11153096342063
ZAF,2012,NY.GDP.TOTL.RT.ZS,6.40436399402211
ZAF,2011,NY.GDP.TOTL.RT.ZS,7.81466074244917
ZAF,2010,NY.GDP.TOTL.RT.ZS,6.84683101275869
ZAF,2009,NY.GDP.TOTL.RT.ZS,4.93797499670312
ZAF,2008,NY.GDP.TOTL.RT.ZS,11.9900580422374
ZAF,2007,NY.GDP.TOTL.RT.ZS,6.3657074741337
ZAF,2006,NY.GDP.TOTL.RT.ZS,5.2274047401405
ZAF,2005,NY.GDP.TOTL.RT.ZS,4.56849246597233
ZAF,2004,NY.GDP.TOTL.RT.ZS,4.77963979439938
ZAF,2003,NY.GDP.TOTL.RT.ZS,2.99086668200306
