,Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
0,Algeria,DZA,1995.0,4.053870151753939,-0.7255173274061274,1,"Oil, Few Minerals","<b>Algeria</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $236,606,715,200<br>  Natural Gas: $104,869,006,111<br>  Zinc: $118,800,000"
1,Angola,AGO,1995.0,1.3583316973300255,-2.241664686502421,2,"Some Oil, No Minerals","<b>Angola</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $114,343,986,957"
2,Azerbaijan,AZE,1995.0,3.1717295685048277,-0.7229139866326505,2,"Some Oil, No Minerals","<b>Azerbaijan</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $33,438,126,875<br>  Natural Gas: $10,991,315,600<br>  Aluminium: $555,500,000"
3,Bahrain,BHR,1995.0,1.0891997159334768,1.7252040017535006,2,"Some Oil, No Minerals","<b>Bahrain</b><br>Cluster: 2<br><br>Top Resources:<br>  Aluminium: $22,921,091,500<br>  Natural Gas: $12,868,385,250"
4,Bolivia,BOL,1995.0,-2.0164903633527036,1.9768070588881008,0,"Minerals, No Oil","<b>Bolivia</b><br>Cluster: 0<br><br>Top Resources:<br>  Natural Gas: $5,190,244,590<br>  Zinc: $4,822,323,000<br>  Gold: $4,789,662,500"
5,Burkina Faso,BFA,1995.0,-3.5213749702312103,-1.1303795012944253,3,"No Oil, No Minerals","<b>Burkina Faso</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $452,532,500"
6,Cameroon,CMR,1995.0,-3.1812198265817186,-0.9381677996810174,3,"No Oil, No Minerals","<b>Cameroon</b><br>Cluster: 3<br><br>Top Resources:<br>  Aluminium: $4,004,650,000<br>  Gold: $186,200,000"
7,Chad,TCD,1995.0,-3.4371620437360018,-1.5981129072783076,3,"No Oil, No Minerals",<b>Chad</b><br>Cluster: 3<br><br>Top Resources:
8,Chile,CHL,1995.0,-4.3133870830228345,5.452860988442977,0,"Minerals, No Oil","<b>Chile</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $202,820,900,000<br>  Gold: $14,824,512,500<br>  Silver: $4,609,461,395"
9,"Congo, Dem. Rep.",COD,1995.0,-3.5934317554897244,-0.5632642745485548,3,"No Oil, No Minerals","<b>Congo, Dem. Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Copper: $2,849,077,000<br>  Cobalt: $2,605,200,000<br>  Tin: $978,782,609"
