Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Algeria,DZA,2019.0,2.67921332045791,-1.7807868245770675,0,"Oil, Few Minerals","<b>Algeria</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $42,750,300,280<br>  Gold: $2,002,000<br>  Zinc: $1,750,000"
Angola,AGO,2019.0,2.9105301917427133,-1.76050781310755,0,"Oil, Few Minerals","<b>Angola</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $40,845,436,969<br>  Gold: $657,800"
Azerbaijan,AZE,2019.0,3.271433408852779,-0.10873998093321406,0,"Oil, Few Minerals","<b>Azerbaijan</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $21,936,095,799<br>  Gold: $111,482,800<br>  Aluminium: $45,770,200"
Bahrain,BHR,2019.0,4.9177978913183304,-1.1361522134106756,0,"Oil, Few Minerals","<b>Bahrain</b><br>Cluster: 0<br><br>Top Resources:<br>  Aluminium: $1,911,007,000<br>  Oil: $1,841,035,618"
Bolivia,BOL,2019.0,-0.8364625613833141,2.4398058684452826,1,"Some Oil, No Minerals","<b>Bolivia</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $1,202,344,000<br>  Oil: $953,538,272<br>  Zinc: $925,951,250"
Burkina Faso,BFA,2019.0,-4.626090548432399,-0.6731641709867504,3,"No Oil, No Minerals","<b>Burkina Faso</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $1,472,900,000<br>  Zinc: $167,319,250<br>  Silver: $2,510,200"
Cameroon,CMR,2019.0,0.7364798617905997,-1.9075496187747607,0,"Oil, Few Minerals","<b>Cameroon</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $2,054,162,428<br>  Aluminium: $96,460,000<br>  Gold: $12,870,000"
Chad,TCD,2019.0,1.3018470083365832,-2.050982481398249,0,"Oil, Few Minerals","<b>Chad</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $3,648,595,750"
Chile,CHL,2019.0,-3.8072790697672616,5.972640499602112,1,"Some Oil, No Minerals","<b>Chile</b><br>Cluster: 1<br><br>Top Resources:<br>  Copper: $22,744,482,000<br>  Gold: $1,099,813,000<br>  Iron ore: $916,815,742"
"Congo, Dem. Rep.",COD,2019.0,-2.925365789119883,1.019340457400781,1,"Some Oil, No Minerals","<b>Congo, Dem. Rep.</b><br>Cluster: 1<br><br>Top Resources:<br>  Copper: $5,742,217,320<br>  Cobalt: $2,799,858,996<br>  Gold: $1,229,800,000"
"Congo, Rep.",COG,2019.0,3.0778512955078465,-1.2809937224490884,0,"Oil, Few Minerals","<b>Congo, Rep.</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $9,667,939,064<br>  Zinc: $8,400,000<br>  Gold: $4,290,000"
Cote d'Ivoire,CIV,2019.0,-1.0058001174448454,-0.894115822589566,3,"No Oil, No Minerals","<b>Cote d'Ivoire</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $1,172,753,592<br>  Gold: $928,870,800<br>  Silver: $99,104"
Ecuador,ECU,2019.0,1.9385996381138806,-0.32789000059504453,0,"Oil, Few Minerals","<b>Ecuador</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $15,269,929,041<br>  Gold: $179,979,800<br>  Copper: $24,759,000"
"Egypt, Arab Rep.",EGY,2019.0,1.1473533899910908,-1.3103219489363305,0,"Oil, Few Minerals","<b>Egypt, Arab Rep.</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $18,789,156,035<br>  Gold: $427,455,600<br>  Aluminium: $358,400,000"
Equatorial Guinea,GNQ,2019.0,3.301510416931456,-1.0427987362541449,0,"Oil, Few Minerals","<b>Equatorial Guinea</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $4,609,070,768<br>  Gold: $5,720,000"
Ethiopia,ETH,2019.0,-3.8030202823094843,-2.6868741834797674,3,"No Oil, No Minerals","<b>Ethiopia</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $90,948,000<br>  Coal: $162,450<br>  Silver: $130,400"
Gabon,GAB,2019.0,3.7107330463089276,-1.4770532950973243,0,"Oil, Few Minerals","<b>Gabon</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $6,264,115,487<br>  Manganese: $2,080,050,805<br>  Gold: $3,060,200"
Ghana,GHA,2019.0,0.477011492282301,-0.07210650509623848,0,"Oil, Few Minerals","<b>Ghana</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $5,680,907,010<br>  Gold: $4,116,684,000<br>  Manganese: $1,284,493,525"
Guinea,GIN,2019.0,-4.638799621970472,-1.0044549766056154,3,"No Oil, No Minerals","<b>Guinea</b><br>Cluster: 3<br><br>Top Resources:<br>  Bauxite: $1,445,570,516<br>  Gold: $787,987,200"
Indonesia,IDN,2019.0,-0.3595832218249094,3.090828491254212,1,"Some Oil, No Minerals","<b>Indonesia</b><br>Cluster: 1<br><br>Top Resources:<br>  Coal: $37,072,310,321<br>  Oil: $22,449,463,982<br>  Nickel: $13,974,176,652"
"Iran, Islamic Rep.",IRN,2019.0,2.8048352802646637,2.3166911760797158,0,"Oil, Few Minerals","<b>Iran, Islamic Rep.</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $100,706,200,837<br>  Iron ore: $2,909,126,872<br>  Copper: $1,226,160,000"
Iraq,IRQ,2019.0,3.811768505771585,-1.611662690430772,0,"Oil, Few Minerals","<b>Iraq</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $137,441,594,310"
Kazakhstan,KAZ,2019.0,2.683143654295453,9.60953017270119,2,"Minerals, No Oil","<b>Kazakhstan</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $54,726,984,872<br>  Coal: $6,919,246,596<br>  Iron ore: $3,696,648,086"
Kenya,KEN,2019.0,-3.98558802106439,-2.3611563401399733,3,"No Oil, No Minerals","<b>Kenya</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $154,440,000"
Kuwait,KWT,2019.0,5.42898045744909,-1.3285967788924502,0,"Oil, Few Minerals","<b>Kuwait</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $85,584,631,372"
Lao PDR,LAO,2019.0,-5.082755550682976,3.5630543459495443,1,"Some Oil, No Minerals","<b>Lao PDR</b><br>Cluster: 1<br><br>Top Resources:<br>  Coal: $928,075,239<br>  Copper: $553,874,550<br>  Gold: $148,920,200"
Liberia,LBR,2019.0,-4.436801945657842,-1.5541103001383085,3,"No Oil, No Minerals","<b>Liberia</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $144,944,800"
Libya,LBY,2019.0,4.174870728963751,-1.5481077175140385,0,"Oil, Few Minerals","<b>Libya</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $34,382,852,164"
Madagascar,MDG,2019.0,-3.9879374650847836,-2.417033717685561,3,"No Oil, No Minerals","<b>Madagascar</b><br>Cluster: 3<br><br>Top Resources:<br>  Cobalt: $104,038,052<br>  Gold: $60,060,000<br>  Natural Graphite: $35,553,720"
Malawi,MWI,2019.0,-3.6797331209508157,-2.840361936635971,3,"No Oil, No Minerals","<b>Malawi</b><br>Cluster: 3<br><br>Top Resources:<br>  Coal: $3,292,805"
Malaysia,MYS,2019.0,2.8019679002798226,-0.021554547127111925,0,"Oil, Few Minerals","<b>Malaysia</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $19,317,349,599<br>  Aluminium: $1,120,000,000<br>  Coal: $208,124,073"
Mali,MLI,2019.0,-4.678427565812824,-1.1136283696926774,3,"No Oil, No Minerals","<b>Mali</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $1,801,800,000<br>  Silver: $880,200"
Mongolia,MNG,2019.0,-1.0871965653980167,8.470457806335881,2,"Minerals, No Oil","<b>Mongolia</b><br>Cluster: 2<br><br>Top Resources:<br>  Coal: $3,437,253,307<br>  Copper: $1,736,706,300<br>  Oil: $548,497,691"
Mozambique,MOZ,2019.0,-2.974988925362698,-0.9293819299430813,3,"No Oil, No Minerals","<b>Mozambique</b><br>Cluster: 3<br><br>Top Resources:<br>  Aluminium: $796,602,800<br>  Coal: $622,096,111<br>  Natural Graphite: $101,867,400"
Myanmar,MMR,2019.0,-1.9986827592689556,0.034190024561579005,3,"No Oil, No Minerals","<b>Myanmar</b><br>Cluster: 3<br><br>Top Resources:<br>  Copper: $860,670,000<br>  Tin: $512,389,542<br>  Oil: $458,231,332"
Niger,NER,2019.0,-1.6612385734424187,-1.436558884413175,3,"No Oil, No Minerals","<b>Niger</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $317,254,812<br>  Gold: $149,406,400<br>  Coal: $13,592,869"
Nigeria,NGA,2019.0,1.3467206123107391,-1.331086057505736,0,"Oil, Few Minerals","<b>Nigeria</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $60,200,501,412<br>  Gold: $257,400,000<br>  Coal: $163,811,153"
Oman,OMN,2019.0,5.714988779147074,-1.0899999619127876,0,"Oil, Few Minerals","<b>Oman</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $27,921,056,734<br>  Aluminium: $547,400,000"
Papua New Guinea,PNG,2019.0,-2.51525932029189,2.4227534838896596,1,"Some Oil, No Minerals","<b>Papua New Guinea</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $2,127,439,600<br>  Copper: $390,634,140<br>  Oil: $212,895,088"
Qatar,QAT,2019.0,7.061242354780284,-0.8125831066614442,0,"Oil, Few Minerals","<b>Qatar</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $49,939,833,630<br>  Aluminium: $914,200,000"
Russian Federation,RUS,2019.0,3.1134680285186054,7.072884278910501,2,"Minerals, No Oil","<b>Russian Federation</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $335,850,299,479<br>  Coal: $26,512,888,734<br>  Gold: $8,725,860,000"
Rwanda,RWA,2019.0,-4.41098905657659,-1.600279508973778,3,"No Oil, No Minerals","<b>Rwanda</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $326,040,000"
Saudi Arabia,SAU,2019.0,5.128905475377504,1.548688716537323,0,"Oil, Few Minerals","<b>Saudi Arabia</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $340,259,256,924<br>  Aluminium: $1,085,785,400<br>  Gold: $350,578,800"
Tanzania,TZA,2019.0,-4.474318639655337,-1.0500296579391863,3,"No Oil, No Minerals","<b>Tanzania</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $1,384,468,800<br>  Coal: $42,846,897<br>  Copper: $39,300,000"
Togo,TGO,2019.0,-4.429598615148955,-1.5669942539463795,3,"No Oil, No Minerals","<b>Togo</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $235,292,200"
Trinidad and Tobago,TTO,2019.0,3.2079626808204487,-1.7173488041492941,0,"Oil, Few Minerals","<b>Trinidad and Tobago</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $2,364,416,800"
Uganda,UGA,2019.0,-3.696382998591616,-2.878431529165981,3,"No Oil, No Minerals","<b>Uganda</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $4,862,000"
United Arab Emirates,ARE,2019.0,6.680659151083314,-0.8750211442797478,0,"Oil, Few Minerals","<b>United Arab Emirates</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $114,560,996,548<br>  Aluminium: $3,640,000,000"
Uzbekistan,UZB,2019.0,-1.3848950257226043,2.7895743193733935,1,"Some Oil, No Minerals","<b>Uzbekistan</b><br>Cluster: 1<br><br>Top Resources:<br>  Gold: $2,659,800,000<br>  Oil: $1,794,339,980<br>  Copper: $539,589,000"
"Venezuela, RB",VEN,2019.0,2.3068790070898366,-0.5293551648093331,0,"Oil, Few Minerals","<b>Venezuela, RB</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $30,286,560,096<br>  Gold: $260,260,000<br>  Coal: $23,703,746"
Viet Nam,VNM,2019.0,-0.021688927142876912,0.09737570060689826,0,"Oil, Few Minerals","<b>Viet Nam</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $6,799,391,993<br>  Coal: $2,790,954,285<br>  Copper: $118,654,560"
"Yemen, Rep.",YEM,2019.0,0.352815238967455,-2.2170946243345195,0,"Oil, Few Minerals","<b>Yemen, Rep.</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $2,721,808,376"
Zambia,ZMB,2019.0,-4.748726713514451,1.2588782077882035,1,"Some Oil, No Minerals","<b>Zambia</b><br>Cluster: 1<br><br>Top Resources:<br>  Copper: $3,095,657,070<br>  Gold: $129,329,200<br>  Coal: $20,158,383"
Zimbabwe,ZWE,2019.0,-4.831957815131394,0.6381757711464243,3,"No Oil, No Minerals","<b>Zimbabwe</b><br>Cluster: 3<br><br>Top Resources:<br>  Gold: $841,669,400<br>  Coal: $158,058,672<br>  Copper: $34,191,000"
