Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Algeria,DZA,1995.0,2.546637058107137,-1.201878699429717,1,"Some Oil, No Minerals","<b>Algeria</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $97,618,551,105<br>  Zinc: $13,467,440<br>  Gold: $7,627,900"
Angola,AGO,1995.0,2.5490473275351975,-1.229481488024476,1,"Some Oil, No Minerals","<b>Angola</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $57,858,573,632"
Azerbaijan,AZE,1995.0,2.1425681971746378,-1.2150512790358259,1,"Some Oil, No Minerals","<b>Azerbaijan</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $20,030,706,048<br>  Aluminium: $77,077,300"
Bahrain,BHR,1995.0,4.229764042846035,-0.9347844867658092,3,"Oil, Few Minerals","<b>Bahrain</b><br>Cluster: 3<br><br>Top Resources:<br>  Aluminium: $2,883,103,410<br>  Oil: $2,147,259,498"
Bolivia,BOL,1995.0,-0.2018266650184879,1.244283873889496,1,"Some Oil, No Minerals","<b>Bolivia</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $1,935,556,471<br>  Zinc: $557,798,000<br>  Tin: $403,246,925"
Burkina Faso,BFA,1995.0,-3.7751877265102465,-1.103098923655683,0,"No Oil, No Minerals","<b>Burkina Faso</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $42,531,260"
Cameroon,CMR,1995.0,1.2866898529808914,-1.0157092908323817,1,"Some Oil, No Minerals","<b>Cameroon</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $5,289,782,694<br>  Aluminium: $432,856,200<br>  Gold: $23,398,000"
Chad,TCD,1999.0,-3.7099285264122126,-1.5766542306182634,0,"No Oil, No Minerals","<b>Chad</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $5,543,493,953"
Chile,CHL,1995.0,-1.8608156756114653,6.584803279846265,2,"Minerals, No Oil","<b>Chile</b><br>Cluster: 2<br><br>Top Resources:<br>  Copper: $32,286,799,000<br>  Gold: $1,497,787,690<br>  Silver: $687,904,954"
"Congo, Dem. Rep.",COD,1995.0,-1.578897433508455,-0.362664714071949,0,"No Oil, No Minerals","<b>Congo, Dem. Rep.</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $4,292,873,627<br>  Cobalt: $1,197,265,000<br>  Copper: $479,108,080"
