Country Code,total_cells,knn_filled,knn_reliance_pct
LBY,875,237,27.09
PNG,875,230,26.29
GNQ,875,212,24.23
LBR,875,173,19.77
UZB,875,170,19.43
BRN,875,167,19.09
ARE,875,165,18.86
TCD,875,150,17.14
TTO,875,147,16.8
QAT,875,143,16.34
MMR,875,136,15.54
KAZ,875,128,14.63
MWI,875,127,14.51
VEN,875,127,14.51
ZWE,875,125,14.29
GIN,875,125,14.29
TUR,875,124,14.17
YEM,875,123,14.06
LTU,875,121,13.83
ETH,875,120,13.71
SDN,875,118,13.49
SRB,875,117,13.37
GRC,875,117,13.37
IRL,875,116,13.26
SVN,875,116,13.26
MAR,875,115,13.14
EST,875,114,13.03
MKD,875,112,12.8
SVK,875,111,12.69
GEO,875,109,12.46
GAB,875,109,12.46
ECU,875,107,12.23
TJK,875,106,12.11
FIN,875,106,12.11
DEU,875,106,12.11
FRA,875,106,12.11
ESP,875,106,12.11
PRT,875,106,12.11
NPL,875,106,12.11
CYP,875,106,12.11
CMR,875,106,12.11
COG,875,105,12.0
TUN,875,100,11.43
POL,875,100,11.43
SAU,875,100,11.43
GHA,875,100,11.43
DNK,875,100,11.43
IRN,875,99,11.31
IRQ,875,98,11.2
ARM,875,98,11.2
NOR,875,92,10.51
ISR,875,92,10.51
COD,875,88,10.06
LAO,875,88,10.06
ZMB,875,87,9.94
MRT,875,85,9.71
NAM,875,83,9.49
TGO,875,82,9.37
OMN,875,81,9.26
KWT,875,80,9.14
CIV,875,80,9.14
SWZ,875,78,8.91
HRV,875,77,8.8
MLI,875,76,8.69
NLD,875,76,8.69
SWE,875,76,8.69
CHE,875,76,8.69
NGA,875,75,8.57
JAM,875,75,8.57
NZL,875,74,8.46
MDG,875,74,8.46
SEN,875,74,8.46
THA,875,73,8.34
LKA,875,71,8.11
NER,875,70,8.0
BIH,875,70,8.0
MOZ,875,70,8.0
PAK,875,68,7.77
NIC,875,67,7.66
RUS,875,67,7.66
UGA,875,66,7.54
AUT,875,66,7.54
BHR,875,66,7.54
CRI,875,65,7.43
AGO,875,65,7.43
RWA,875,65,7.43
PAN,875,65,7.43
CHN,875,64,7.31
VNM,875,64,7.31
IDN,875,64,7.31
UKR,875,63,7.2
KEN,875,61,6.97
CAN,875,61,6.97
GBR,875,60,6.86
DOM,875,59,6.74
USA,875,57,6.51
ZAF,875,56,6.4
GTM,875,56,6.4
ITA,875,56,6.4
HND,875,56,6.4
CHL,875,56,6.4
PER,875,56,6.4
URY,875,55,6.29
EGY,875,55,6.29
PHL,875,55,6.29
MNG,875,55,6.29
MYS,875,55,6.29
ARG,875,53,6.06
IND,875,50,5.71
BRB,875,50,5.71
COL,875,50,5.71
AZE,875,50,5.71
HUN,875,50,5.71
CZE,875,50,5.71
JPN,875,50,5.71
ROU,875,50,5.71
KOR,875,50,5.71
JOR,875,50,5.71
KGZ,875,50,5.71
TZA,875,50,5.71
MEX,875,50,5.71
BLR,875,44,5.03
DZA,875,31,3.54
BFA,875,30,3.43
BGR,875,29,3.31
ALB,875,14,1.6
BWA,875,14,1.6
BRA,875,13,1.49
AUS,875,0,0.0
BGD,875,0,0.0
BOL,875,0,0.0
