excluded_country,Total_Production_Value_Per_Capita,Human capital index,Rule of law index,Political stability — estimate,Trade (% of GDP),"Gross fixed capital formation, all, Constant prices, Percent of GDP",Share of investment in GDP,Domestic credit to private sector (% of GDP),Landlocked,Urban population (% of total population),Government revenue,Capital depreciation rate,"Use of IMF credit (DOD, current US$)",Real interest rate (%),"Inflation, consumer prices (annual %)",Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),L1_ECI,Forestry rents (% of GDP),Inflation_roll5,RealRate_roll5,Resource_HHI,HCI_x_ProductionValue,RuleOfLaw_x_ProductionValue
AGO,-0.0,0.009954037788755182,0.0,0.0,-0.0,0.0,0.0,0.07341175766091572,-0.0,0.007915775609205507,-0.0,-0.00043279914548667413,-0.0,-0.0,-0.0,0.018117355799219692,-0.0,0.4806570185661082,-0.0,-0.0,0.0,-0.0,0.01677331276021367,0.0
ARE,-0.0,0.011671276449754837,0.0,0.0,-0.0,0.0,0.0,0.07183654358044207,-0.0,0.00876086611689392,-0.0,-0.0,-0.0,0.0,-0.0,0.018561744657780092,-0.0,0.48017618085997055,-0.0,-0.0,0.0,-0.0,0.01916276783851674,0.0
AZE,-0.0,0.014772307068776788,0.0,0.0,-0.0,0.0,0.0,0.07437892100040788,-0.0,0.00925972214979719,-0.0,-0.00010796930852456905,-0.0,0.0,-0.0,0.02109629208393285,-0.0,0.4809507663347188,-0.0,-0.0,0.0,-0.0,0.023758597255824646,0.0
BFA,-0.0,0.015484037375768667,0.0,0.0,-0.0,0.0,0.0,0.07473756725386507,-0.0,0.009468896240225837,-0.0,-0.0010242699184816273,-0.0,0.0,-0.0,0.019699519281780268,-0.0,0.4826106902358763,-0.0,-0.0,0.0,-0.0,0.021699766849856486,0.0
BHR,-0.0,0.01549711822916987,0.0,0.0,-0.0,0.0,0.0,0.07184378956587795,-0.0,0.012295227198691366,-0.0,-0.0,-0.0,0.0,-0.0,0.015282408016840662,-0.0,0.47270906990521144,-0.0,-0.0,0.0,-0.0,0.021556056565771597,0.0
BOL,-0.0,0.017787464819638357,0.0,0.0,-0.0,0.0,0.0,0.07749644816160903,0.0,0.008667120664781001,-0.0,-7.140506201798746e-05,-0.0,0.0,-0.0,0.017874827742058723,-0.0,0.48149176108660646,-0.0,-0.0,0.0,-0.0,0.021943266540079744,0.0
CHL,-0.0,0.017334284719195816,0.0,0.000808949397426068,-0.0,0.0,0.0,0.08306265154565856,-0.0,0.01173832223871675,-0.0,-0.0063999193160646254,-0.0,0.0,-0.0,0.0179836163112269,-0.0,0.4762130269899007,-0.0,0.0,0.0,0.0,0.0280548017034297,0.0
CIV,-0.0,0.01481350296749452,0.0,0.0,-0.0,0.0,0.0,0.07578272627222261,-0.0,0.009520564169978764,-0.0,-0.0011957513635684964,-0.0,0.0,-0.0,0.01865796668222157,-0.0,0.4837489218480689,-0.0,-0.0,0.0,-0.0,0.02166136149783773,0.0
CMR,-0.0,0.01344934678390532,0.0,0.0,-0.0,0.0,0.0,0.07551855430483566,-0.0,0.010256832353951794,-0.0,-0.0026906931650515047,-0.0,0.0,-0.0,0.020420318075302844,-0.0,0.4825310480067863,-0.0,-0.0,0.0,-0.0,0.023790949492919055,0.0
COG,-0.0,0.017845033858541245,0.0,0.0,-0.0,0.0,0.0,0.07375426832394703,-0.0,0.00921700141607051,-0.0,-0.0042313157132140835,-0.0,0.0,-0.0,0.01656270222814145,-0.0,0.47652467577077645,-0.0,-0.0,0.0,-0.0,0.02189197410003241,0.0
DZA,-0.0,0.011137886468972555,0.0,0.0,-0.0,0.0,0.0,0.07386402775973556,-0.0,0.009402760213502944,-0.0,-0.0021498133924168408,-0.0,0.0,-0.0,0.02399707257259197,-0.0,0.4821979539139423,-0.0,-0.0,0.0,-0.0,0.021629480272172614,0.0
ECU,-0.0,0.01578516049413715,0.0,0.0,-0.0,0.0,0.0,0.07503134061650821,-0.0,0.009305938122929543,-0.0,-0.004009002047561444,-0.0,0.0,-0.0,0.022071971832639557,-0.0,0.48355091006458367,-0.0,-0.0,0.0,-0.0,0.02425514080348286,0.0
EGY,-0.0,0.014797159575624667,0.0,0.0,-0.0,0.0,0.0,0.0747695875165384,-0.0,0.007742895040320466,-0.0,-0.0035068603946713157,-0.0,0.0,-0.0,0.018207600844473322,-0.0,0.4805098766014002,-0.0,-0.0,0.0,-0.0,0.023146757709546325,0.0
ETH,-0.0,0.011015411960116748,0.0,0.0,-0.0,0.0,0.0,0.0760111059662309,-0.0,0.009079545924851913,-0.0,-0.0014051555648718268,-0.0,0.0,-0.0,0.019844826976839373,-0.0,0.47894401283262855,-0.0,-0.0,0.0,-0.0,0.02512937058641479,0.0
GAB,-0.0,0.01334618559391011,0.0,0.0,-0.0,0.0,0.0,0.07434983470840505,-0.0,0.008892256148544043,-0.0,-0.0011061928525930834,-0.0,0.0,-0.0,0.019217888076124526,-0.0,0.48434434347895766,-0.0,-0.0,0.0,-0.0,0.021520607083793917,0.0
GHA,-0.0,0.012925176524397383,0.0,0.0,-0.0,0.0,0.0,0.07546069795887668,-0.0,0.009259503223046977,-0.0,-0.0013160956559373725,-0.0,0.0,-0.0,0.019768230507588833,-0.0,0.4837731437297309,-0.0,-0.0,0.0,-0.0,0.02190754034996035,0.0
GIN,-0.0,0.015395442219167287,0.0,0.0,-0.0,0.0,0.0,0.07434704920568565,-0.0,0.010093214314781737,-0.0,-0.0017750244474412466,-0.0,0.0,-0.0,0.016557927616566808,-0.0,0.4783726844843594,-0.0,-0.0,0.0,-0.0,0.022362315169528805,0.0
GNQ,-0.0,0.015362669098309835,0.0,0.0,-0.0,0.0,0.0,0.07120362411658498,-0.0,0.007684461038574274,-0.0,-0.0,-0.0,0.0,-0.0,0.019785880965558705,-0.0,0.4769181820216604,-0.0,-0.0,0.0,-0.0,0.020910512670321076,0.0
IDN,-0.0,0.013951095993700908,0.0,0.0,-0.0,0.0,0.0,0.07681974227722432,-0.0,0.0026544662099314783,-0.0,-0.0012913504119973522,-0.0,0.0,-0.0,0.01957118088514715,-0.0,0.47963435247476466,-0.0,-0.0,0.0,0.0,0.024064192740494737,0.0
IRN,-0.0,0.014381464411231344,0.0,0.0,-0.0,0.0,0.0,0.07647924293461711,-0.0,0.009950317185291213,-0.0,-0.0002962796134672277,-0.0,0.0,-0.0,0.018034841771491863,-0.0,0.48313878413943956,-0.0,-0.0,0.0,-0.0,0.022583941051347697,0.0
IRQ,-0.0,0.0086281223781364,0.0,0.0,-0.0,0.0,0.0,0.06044323377858689,-0.0,0.012230911007847504,-0.0,-0.005289312144791722,-0.0012183716576410063,0.0,-0.0,0.025258369033984686,-0.0,0.5061099374426679,-0.0,0.0,-0.0,0.0,0.022674747696924232,0.0
KAZ,-0.0,0.010149731756298347,0.0,0.0,-0.0,0.0,0.0,0.07568624116072759,-0.0,0.009009908617033359,-0.0,-0.0,-0.0,0.0,-0.0,0.018452634812634875,-0.0,0.4791013619923886,-0.0,-0.0,0.0,-0.0,0.018884438245168216,0.0
KEN,-0.0,0.00877220076099557,0.0,0.0,-0.0,0.0,0.0,0.07439801138964038,-0.0,0.00831175916924896,-0.0,-0.0003448067124213168,-0.0,0.0,-0.0,0.02729027302935858,-0.0,0.4789859688270039,-0.0,-0.0,0.0,-0.0,0.023540305332579645,0.0
KWT,-0.0,0.0149223476910657,0.0,0.0,-0.0,0.0,0.0,0.06976163267574369,-0.0,0.010016408286671209,-0.0,-0.0017417042555535243,-0.0,-0.0,-0.0,0.01770852916952364,-0.0,0.4833649793330842,-0.0,-0.0,0.0,-0.0,0.022412424231737414,0.0
LAO,-0.0,0.012333023034344767,0.0,0.0,-0.0,0.0,0.0,0.07474598986652334,-0.0,0.009006492381601694,-0.0,-0.0,-0.0,0.0,-0.0,0.020474844677893213,-0.0,0.48236222218790703,-0.0,-0.0,0.0,-0.0,0.02239216196364868,0.0
