excluded_country,test_r2,n_train,n_test,n_countries,alpha
AGO,0.8567810245204142,965,260,52,0.054438893597787266
ARE,0.8476675635626177,965,260,52,0.058535021665565096
AZE,0.8556892937492779,965,260,52,0.05129517181747054
BFA,0.8541537513329597,965,260,52,0.055248780071770885
BHR,0.847143131045862,965,260,52,0.05796952936515487
BOL,0.8543937495528122,965,260,52,0.05527869889414079
CHL,0.857743295662641,965,260,52,0.044419038758835745
CIV,0.8559223643994432,965,260,52,0.0552695309854649
CMR,0.856369807753905,965,260,52,0.041531275623642866
COG,0.8592205487246115,965,260,52,0.05056832327232934
DZA,0.8605493243998058,965,260,52,0.05513461353596184
ECU,0.855938263187008,965,260,52,0.04482804130147134
EGY,0.8530464688849424,965,260,52,0.054874194606096605
ETH,0.8538863386046353,965,260,52,0.05902255133245644
GAB,0.8581371584023776,965,260,52,0.051446608419510084
GHA,0.8546764857828126,965,260,52,0.05516776118384485
GIN,0.8536733213727534,965,260,52,0.0542446308460584
GNQ,0.8541096643738201,965,260,52,0.054203704087388956
IDN,0.8523768031775983,965,260,52,0.05481545606163693
IRN,0.8530608974757241,965,260,52,0.05524171643267274
IRQ,0.8647522930218754,965,260,52,0.03918692306950457
KAZ,0.8547794453308313,965,260,52,0.05856888236441138
KEN,0.8549262355473496,965,260,52,0.055166481112512225
KWT,0.8511845612131258,965,260,52,0.054847005792976564
LAO,0.8545342387838955,965,260,52,0.05501119773142281
LBR,0.8582071416973167,965,260,52,0.05924141396140595
LBY,0.8550992515886767,965,260,52,0.05522493833249012
MDG,0.8530431158147367,965,260,52,0.05507443366947091
MLI,0.8575308886091831,965,260,52,0.05534932445785797
MMR,0.8530003258652965,965,260,52,0.05841049816813308
MNG,0.8567582797524216,965,260,52,0.044712598079728605
MOZ,0.8542562048378638,965,260,52,0.05140147760003328
MWI,0.8575813624125421,965,260,52,0.05491872724251182
MYS,0.827982248459008,965,260,52,0.059412557359881504
NER,0.8581801742208058,965,260,52,0.05533020508502397
NGA,0.8538345017315866,965,260,52,0.046646514636852834
OMN,0.8536950397754927,965,260,52,0.05520466586155375
PNG,0.8507462627638053,965,260,52,0.05402308482258502
QAT,0.852302074372628,965,260,52,0.05505044358931221
RUS,0.8484072437353228,965,260,52,0.03628468762348352
RWA,0.8552026665190833,975,260,52,0.055106486917737244
SAU,0.8424037941890647,965,260,52,0.05715751040394588
TCD,0.8630637203059925,968,260,52,0.050634579012386716
TGO,0.8548437371106707,974,260,52,0.05505085974224764
TTO,0.8539789265107822,965,260,52,0.05459435793110488
TZA,0.8671523530538188,965,260,52,0.05513180893679131
UGA,0.8553606006203616,966,260,52,0.0552212936210067
UZB,0.8551951045292852,965,260,52,0.05519617702174226
VEN,0.8557968495921047,965,260,52,0.054430598447667275
VNM,0.8525277407453934,965,260,52,0.05507268059543771
YEM,0.8545123066192337,965,260,52,0.05104899305144819
ZMB,0.8548412104633312,965,260,52,0.059269547778120386
ZWE,0.8546257972017559,965,260,52,0.05923141766746898
