excluded_country,const,log_HCI,log_GFCF,Political stability — estimate,Rule of law index,log_Production_Value,Forestry rents (% of GDP),Trade (% of GDP),log_HCI_x_log_Production,log_GFCF_x_log_Production,log_HCI_x_forestry_rents,log_GFCF_x_forestry_rents,ECI_lag1
AGO,-0.5349230658695783,0.2665541410567307,0.036195854582035045,0.011096976558100671,0.058822938071304114,-0.008314985518923613,-0.005000773779679588,0.0003093422309197862,0.04078992201962099,0.009193233552412125,-0.02432418321922243,0.006534910343973905,0.8116239858803973
ARE,-0.5429869519695738,0.2716930391750887,0.036363439129291734,0.011730649553731806,0.05851983911239185,-0.008506964611683581,-0.005079350842964441,0.00032104788857201846,0.042031131510295736,0.009192183628517635,-0.02421543486363345,0.006489946127688256,0.8082704052650025
AZE,-0.5609837859309045,0.28780964132209075,0.03704301491410503,0.01342595536825247,0.05185525064303584,-0.008538362337522955,-0.005061527943665038,0.0002994086206767094,0.04793699262719259,0.007999015123812615,-0.023559881418163994,0.006175359058692921,0.8045265552412513
BFA,-0.5487879605108307,0.27848218634134614,0.03579854909155455,0.011538048128934254,0.05720240415847705,-0.008778027750791707,-0.005038751598400077,0.0003302250821000087,0.044498669266579624,0.009470956403400212,-0.022785908766082066,0.006400670308782285,0.8077882683311094
BHR,-0.5617356081317512,0.2936731753262423,0.03619992205783128,0.014931413711000326,0.06874963868313902,-0.00858116527622577,-0.004524219886843921,8.555784984295924e-05,0.043892447528869304,0.007438138090096491,-0.02195200873424455,0.00649745746192309,0.7995459236459177
BOL,-0.5601475030743889,0.2926209109478529,0.037390265101387495,0.012844584530288593,0.06087339821695076,-0.009706377964324001,-0.0058817592425457425,0.00030156921586077816,0.03769179305626674,0.008792138429005635,-0.028826634097441906,0.006583125244065033,0.8033526825852709
CHL,-0.568351855956551,0.28758456414804545,0.03744108883346764,0.01188950550881077,0.07417765122155194,-0.008537021961764452,-0.005157411756249908,0.0002945082413613081,0.04335331856220455,0.00877512730580024,-0.02476123044973859,0.006304906971539978,0.8050321361908578
CIV,-0.5490570341840489,0.2767251000326767,0.03702531257587083,0.01293279673521043,0.0558307117477601,-0.008664116159046074,-0.005105434666106055,0.00032154185334061427,0.04077618893342538,0.008836938116656158,-0.025235950995801587,0.006385503978548826,0.8070558901442152
CMR,-0.5407131249563195,0.27360447092407486,0.0366867327398901,0.01202987566361157,0.054582153777048406,-0.008853379265445188,-0.005181504558880513,0.0003076855638113971,0.04244257935103589,0.009025570708009398,-0.023912048819623638,0.006412361597532527,0.8078404212148229
COD,-0.5286162369433257,0.25776557667733624,0.04097528651065182,0.01386845311604254,0.060356294986573744,-0.010134662181666976,-0.0066908718652464606,0.0003486107495825464,0.03899712100909831,0.011988286664235917,-0.029838403787530207,0.010003076081902068,0.8092347596104741
COG,-0.56462546130514,0.2722808774456243,0.037135413649568134,0.006336025926068224,0.06156404266300337,-0.007838262459334847,-0.004666968193972023,0.00046835438522130747,0.042305260275259826,0.010274101160186344,-0.022923052200676447,0.006933421934485288,0.8064171341391202
DZA,-0.5430570593688857,0.2705384989146075,0.037211491301243925,0.011382593709291997,0.05742483999165982,-0.008341140022846652,-0.0052086411608091975,0.0003138293421649541,0.04079988743306341,0.00949798365583842,-0.024808744758788415,0.006452126703620784,0.8082457926625184
ECU,-0.5661237936354442,0.2930997548668274,0.039782454713732006,0.012431247797936432,0.06005344259392226,-0.00958282493357273,-0.00586768171810057,0.0002737455346618889,0.03865315546777097,0.008645338204837764,-0.02792050052730312,0.006170685825532259,0.8029995734961531
EGY,-0.5734619623938869,0.2812712558277739,0.03861738820861892,0.012891304685580127,0.058130518367575976,-0.00849705512060046,-0.004452876637399904,0.0003894686452513798,0.05163004968905104,0.008026937122912435,-0.019808477492652965,0.00565954358766805,0.8030203240985645
ETH,-0.5419655786361082,0.2676820494284914,0.03793256817946524,0.011673751696486864,0.059113629272027304,-0.00891658587283881,-0.005334630768212388,0.00033095259604372536,0.04020412171125351,0.008740890461293734,-0.028838551303305343,0.006689816633564872,0.8071483332172539
GAB,-0.5565832319521772,0.28403380977056825,0.03558886080868078,0.012954423724161276,0.05394437907949051,-0.007586449682210918,-0.004287207792992147,0.00029595448712331756,0.04940084423419232,0.008080297883262423,-0.019181848945505175,0.00606200685584695,0.8081887113135016
GHA,-0.5608698660043877,0.2838072479192717,0.03687727170139249,0.012128943431993375,0.06286951467059314,-0.00863765876042059,-0.004524178226502423,0.00033660917962905596,0.04322279238487743,0.00865132075824027,-0.021554337615730404,0.006380007898809753,0.8066395783027237
GIN,-0.5359158540982756,0.2682299926217545,0.035618451304949075,0.012405900421192752,0.052796376913892995,-0.00811548994973963,-0.004638638743754207,0.0003208754627727281,0.0400401826047441,0.00944972881241089,-0.024231177508162643,0.0065547006880546325,0.8093277846436858
GNQ,-0.5466213859172738,0.2700917948997067,0.03843871815699765,0.016519443505517817,0.03116788555183497,-0.00762068925354268,-0.004697368865521167,0.00039842245120551734,0.04152756522058264,0.011205661601002701,-0.02475599818421588,0.007427724152058101,0.8035972171669766
IDN,-0.5420130856514809,0.2716352239820232,0.03343317722447563,0.015368652864359338,0.04825687825341397,-0.007919238270483298,-0.004562146344961985,0.00034675551046442997,0.04730087493834877,0.010319473787152885,-0.022751707135042876,0.007101109820402667,0.8045525685899813
