excluded_country,r2_3a,r2_3b,n_obs_3a,n_obs_3b
AGO,0.3645407437078978,0.7860733018697244,1299,1249
ARE,0.359909426103014,0.7812633148782373,1299,1249
AZE,0.38668709401279566,0.7865202222488081,1299,1249
BFA,0.3770377207903113,0.7867096619050755,1299,1249
BHR,0.37477511770255845,0.7789700938453776,1299,1249
BOL,0.38941177864685095,0.7867911847306993,1299,1249
CHL,0.37381833000933895,0.7831921728161443,1299,1249
CIV,0.3770808555655293,0.7860543531319408,1299,1249
CMR,0.3734913736296831,0.7856344559519288,1299,1249
COD,0.3695535050639802,0.7854201416906392,1299,1249
COG,0.38018885826041016,0.7864786421053684,1299,1249
DZA,0.38170977204511725,0.7882883919103183,1299,1249
ECU,0.39028285649252015,0.7866992840206973,1299,1249
EGY,0.38012415961729995,0.7836802264418861,1299,1249
ETH,0.3729434883472613,0.7848754093769394,1299,1249
GAB,0.3810631430043897,0.7889093934899005,1299,1249
GHA,0.3782552644621894,0.7858544203515769,1299,1249
GIN,0.3644638867233778,0.783424967997929,1299,1249
GNQ,0.385151540288889,0.7865008318364801,1299,1249
IDN,0.37383960750722556,0.7830740100735571,1299,1249
IRN,0.3818182072116405,0.7872349899560882,1299,1249
IRQ,0.39504370010180456,0.8234576136142562,1299,1249
KAZ,0.37253729012954695,0.7836540630751085,1299,1249
KEN,0.37685365088480993,0.7854955893070017,1299,1249
KWT,0.3810779249857823,0.7869137412649556,1299,1249
LAO,0.37723573820360545,0.7854751097559431,1299,1249
LBR,0.39503135363238673,0.7909579174631681,1299,1249
LBY,0.3784470492286266,0.7909994432953109,1299,1249
MDG,0.3764092601826349,0.7847112704631374,1299,1249
MLI,0.38672244108518106,0.7895843865103052,1299,1249
MMR,0.3691756919289616,0.7822127256741319,1299,1249
MNG,0.4130469004376477,0.7876167464802314,1299,1249
MOZ,0.37256711900626605,0.7871104345208411,1299,1249
MWI,0.38004652341342593,0.7869548554249548,1299,1249
MYS,0.3687233708330945,0.7625239393556015,1299,1249
NER,0.37966581646918685,0.7910247277147082,1299,1249
NGA,0.3661733273977449,0.7792010862314103,1299,1249
OMN,0.37574803149350766,0.7859013911093966,1299,1249
PNG,0.3640024988679811,0.7810667545339395,1299,1249
QAT,0.37226380194121456,0.785433900084901,1299,1249
RUS,0.35541806368847706,0.7664579082266212,1299,1249
RWA,0.3764795827134001,0.7883375617426978,1310,1259
SAU,0.38091467938580026,0.775229987170932,1299,1249
TCD,0.3732636931946568,0.7993980409773709,1303,1252
TGO,0.3777018305368528,0.7862567013642148,1309,1258
TTO,0.36943595440342136,0.7829480895978669,1299,1249
TZA,0.3768181874563523,0.7880324215004322,1299,1249
UGA,0.37791298361494274,0.7861355964910509,1300,1250
UZB,0.3818105995908859,0.7858375886217184,1299,1249
VEN,0.3820482383069429,0.7835954773243938,1299,1249
VNM,0.37316452247998866,0.7841669668957334,1299,1249
YEM,0.36785103368433125,0.7838083277191187,1299,1249
ZMB,0.37680538929811347,0.7863003726410918,1299,1249
ZWE,0.3787325677170984,0.7860344572520576,1299,1249
