Feature,LASSO,Ridge,Elastic Net,LASSO_Imp,Ridge_Imp,Elastic Net_Imp,VIF,LASSO_Selected,Elastic Net_Selected
Domestic Credit,0.06769660170426724,0.07648941792452633,0.07623970199274784,0.13657280907624425,0.16073991194285397,0.16050925087325407,2.6948562337944013,1,1
HC × Production,0.03181613863078014,0.061304993807084034,0.04897769501386737,0.06418666989735992,0.12819271183965109,0.1031139016902553,2.656463778002541,1,1
Electricity,0.022583266081697532,0.08192875437966152,0.03430730410322166,0.045560043033877784,0.17239891004937888,0.07222798013576749,8.523480057114885,1,1
Human Capital,0.0055470031555360936,0.029346355232347507,0.014906537690043445,0.011190662216927825,0.05969066021932954,0.03138308696393378,3.1493594401297424,1,1
Urban Population,0.0,0.024938660071309692,0.00854590617465185,0.0,0.05024294357952448,0.017991898738756413,2.7856834081004314,0,1
Gov Revenue,-0.0,-0.03638232432521802,-0.006533248912128776,0.0,0.07477197592906096,0.013754603720172497,2.464396514123747,0,1
Depreciation,-0.0,-0.020350421738420835,-0.005651136187059532,0.0,0.04040823993935286,0.011897470901105375,1.4532049705459658,0,1
Political Stability,0.0,0.034964541346162836,0.005530838955460551,0.0,0.07173301534910603,0.011644206289342915,2.3835474952145583,0,1
Capital Formation,0.0,0.021601855898912017,0.0038028032577386633,0.0,0.04309063854218845,0.008006131794377485,1.4930808412324075,0,1
Resource HHI,-0.0,0.0014985435082524427,-0.0,0.0,0.0,0.0,1.9561055200421407,0,0
Real Rate (5yr avg),0.0,-0.015146385016346454,0.0,0.0,0.029253597311634877,0.0,2.9653717992183215,0,0
Inflation (5yr avg),0.0,0.0061133863839919955,0.0,0.0,0.00989172940375137,0.0,2.2156881809928253,0,0
Forestry rents (% of GDP),-0.0,0.009787769313195959,-0.0,0.0,0.017767620878306564,0.0,4.559972477097233,0,0
Savings,-0.0,-0.02733173814059492,-0.0,0.0,0.05537240981289602,0.0,2.452421288250401,0,0
Prod Value,-0.0,-0.03574358175707183,-0.0,0.0,0.0734028570201649,0.0,5.211628394053919,0,0
Inflation,-0.0,-0.005755238979691194,-0.0,0.0,0.009124054900980408,0.0,2.2160391691794823,0,0
Interest Rate,0.0,-0.005439833940362966,0.0,0.0,0.008447996932026395,0.0,2.2399992043419656,0,0
IMF Credit,-0.0,-0.00793699505257016,-0.0,0.0,0.013800560966087005,0.0,2.7235956225460973,0,0
Landlocked,-0.0,-0.005329575246805806,-0.0,0.0,0.008211661873510715,0.0,1.5600463365202388,0,0
Investment Share,0.0,0.004434226313617692,0.0,0.0,0.00629251758030117,0.0,2.050298106706388,0,0
Trade,-0.0,-0.005454312214734947,-0.0,0.0,0.008479030528657342,0.0,2.5454390517819823,0,0
Rule of Law,0.0,-0.00786698041696058,0.0,0.0,0.013650487421136412,0.0,2.031877082406801,0,0
GFCF × Production,0.0,-0.01799496689573093,-0.0,0.0,0.03535941757334535,0.0,1.4607962928397653,0,0
