Variable,Coef,CI_lo,CI_hi,p,Spec,N,R2
const,-0.47911290160975667,-0.6719772390522167,-0.2862485641672966,1.122009832020766e-06,"Original 54
(total rents)",1264,0.1202
log_HCI,0.12140203858893146,-0.0797671725463625,0.3225712497242254,0.23688707992816938,"Original 54
(total rents)",1264,0.1202
log_GFCF,0.01669724425903028,-0.004562456521431561,0.037956945039492124,0.12372028531062891,"Original 54
(total rents)",1264,0.1202
Political stability — estimate,0.016663308840177228,-0.027900316069359138,0.061226933749713594,0.46363578663643856,"Original 54
(total rents)",1264,0.1202
Rule of law index,0.07342186110599594,-0.02762993154854751,0.1744736537605394,0.15442799395882764,"Original 54
(total rents)",1264,0.1202
log_Production_Value,-0.019396410588128347,-0.03732161037646142,-0.0014712107997952757,0.03393627682476781,"Original 54
(total rents)",1264,0.1202
Trade (% of GDP),0.0004874725527202851,-0.0006109808293385683,0.0015859259347791384,0.3844127492737184,"Original 54
(total rents)",1264,0.1202
Hydrocarbons_Dominant,-0.04260983444986409,-0.2094697729700183,0.1242501040702901,0.6167216146552014,"Original 54
(total rents)",1264,0.1202
Subsoil_Metals_Dominant,-0.037398314265434086,-0.19979970480277742,0.12500307627190926,0.6517396147435837,"Original 54
(total rents)",1264,0.1202
Precious_Metals_Dominant,0.022085811445654396,-0.12759489775075125,0.17176652064206002,0.7724296922059269,"Original 54
(total rents)",1264,0.1202
Access to electricity (% of population),0.00300429338027051,0.001261906095101508,0.004746680665439512,0.0007263160678112296,"Original 54
(total rents)",1264,0.1202
ECI_lag1,-0.22437050028924804,-0.3232526410896863,-0.12548835948880976,8.695817782387681e-06,"Original 54
(total rents)",1264,0.1202
log_HCI_x_log_Production,0.0663399787229787,0.005897441302184128,0.12678251614377328,0.031460439847191914,"Original 54
(total rents)",1264,0.1202
log_GFCF_x_log_Production,0.006423112689121128,-0.0036855457545354794,0.016531771132777734,0.21299397372577566,"Original 54
(total rents)",1264,0.1202
const,-0.45459327322300364,-0.7047868298863138,-0.20439971655969347,0.00036917976667672923,Adj. ≥3%,933,0.0885
log_HCI,0.11811325937843806,-0.12266262815578108,0.35888914691265716,0.336318111244836,Adj. ≥3%,933,0.0885
log_GFCF,0.016526558919865326,-0.005921815983152737,0.03897493382288339,0.14903985642205791,Adj. ≥3%,933,0.0885
Political stability — estimate,0.015501884564835908,-0.04127264869177838,0.0722764178214502,0.5925431664774323,Adj. ≥3%,933,0.0885
Rule of law index,0.1310122217431046,0.012088233037201093,0.2499362104490081,0.030835593244453872,Adj. ≥3%,933,0.0885
log_Production_Value,-0.02087331763347076,-0.046424314490915705,0.004677679223974187,0.10934394118784989,Adj. ≥3%,933,0.0885
Trade (% of GDP),0.0002983691964620625,-0.000672267755673346,0.001269006148597471,0.546852253318358,Adj. ≥3%,933,0.0885
Hydrocarbons_Dominant,-0.0005460592414954311,-0.12640926236390562,0.12531714388091478,0.9932154054325685,Adj. ≥3%,933,0.0885
Subsoil_Metals_Dominant,-0.06702579889917192,-0.22230814653382092,0.08825654873547707,0.39755531014965206,Adj. ≥3%,933,0.0885
Precious_Metals_Dominant,0.04173835874634951,-0.0747342894346255,0.15821100692732454,0.4824549476538359,Adj. ≥3%,933,0.0885
Access to electricity (% of population),0.0030706530665507666,0.0008816311320347975,0.005259675001066735,0.005971508792983297,Adj. ≥3%,933,0.0885
ECI_lag1,-0.16892268247354397,-0.27336269793923307,-0.06448266700785489,0.001524011432327274,Adj. ≥3%,933,0.0885
log_HCI_x_log_Production,0.04337706227440069,-0.033997421962692134,0.12075154651149352,0.2718643535448759,Adj. ≥3%,933,0.0885
log_GFCF_x_log_Production,0.007344696095985448,-0.006325468406715967,0.021014860598686864,0.2923189788287964,Adj. ≥3%,933,0.0885
const,-0.4282742583674336,-0.6912651627802273,-0.16528335395463994,0.001414119925668289,Adj. ≥2%,1216,0.0752
log_HCI,0.17088625364174903,-0.03752126274332418,0.37929377002682224,0.10803329313065711,Adj. ≥2%,1216,0.0752
log_GFCF,0.02172632787332999,-0.0010444498863839066,0.04449710563304388,0.0614748796596639,Adj. ≥2%,1216,0.0752
Political stability — estimate,0.015680722032482032,-0.024277349450115483,0.05563879351507955,0.44180575789810905,Adj. ≥2%,1216,0.0752
Rule of law index,0.10451824818936359,0.018180365507022567,0.1908561308717046,0.017659647683126955,Adj. ≥2%,1216,0.0752
log_Production_Value,-0.02303341870530329,-0.043308905132668225,-0.0027579322779383575,0.025976417495227676,Adj. ≥2%,1216,0.0752
Trade (% of GDP),6.213922363981276e-05,-0.0007825534502066975,0.000906831897486323,0.8853556687737368,Adj. ≥2%,1216,0.0752
Hydrocarbons_Dominant,0.0397765865007937,-0.04189987318575063,0.12145304618733803,0.339827535607486,Adj. ≥2%,1216,0.0752
Subsoil_Metals_Dominant,-0.02347762131697384,-0.11666599189778483,0.06971074926383715,0.6214559611888428,Adj. ≥2%,1216,0.0752
Precious_Metals_Dominant,0.04804421639635062,-0.03448118475473354,0.1305696175474348,0.2538525210286994,Adj. ≥2%,1216,0.0752
Access to electricity (% of population),0.002196228815522606,0.000595940133968126,0.003796517497077086,0.007148509665549534,Adj. ≥2%,1216,0.0752
ECI_lag1,-0.1463404603798552,-0.23123809207085327,-0.06144282868885714,0.0007289684876633016,Adj. ≥2%,1216,0.0752
log_HCI_x_log_Production,-0.0009916720149002003,-0.04869098691234001,0.04670764288253961,0.9674969661921732,Adj. ≥2%,1216,0.0752
log_GFCF_x_log_Production,0.005119526035085739,-0.004797398009248629,0.015036450079420107,0.3116267989314452,Adj. ≥2%,1216,0.0752
const,-0.37813769247166196,-0.6064892533369435,-0.14978613160638038,0.001172062185644467,Adj. ≥1%,1429,0.0707
log_HCI,0.13896998742660985,-0.03620737793789275,0.31414735279111244,0.11997956254090951,Adj. ≥1%,1429,0.0707
log_GFCF,0.014707023273659567,-0.002961894818337498,0.032375941365656635,0.10280400008000458,Adj. ≥1%,1429,0.0707
Political stability — estimate,0.012579599358253734,-0.021569130377879574,0.046728329094387046,0.4702912581780243,Adj. ≥1%,1429,0.0707
Rule of law index,0.08616323025851885,0.009047051057095593,0.16327940945994213,0.02853138909010634,Adj. ≥1%,1429,0.0707
log_Production_Value,-0.017859241394444947,-0.03305627828210567,-0.0026622045067842305,0.021261470699168047,Adj. ≥1%,1429,0.0707
Trade (% of GDP),0.0001111026544883724,-0.0005802855391557298,0.0008024908481324746,0.7527946867801312,Adj. ≥1%,1429,0.0707
Hydrocarbons_Dominant,0.029155647497253995,-0.03760316250105886,0.09591445749556685,0.39201039276767746,Adj. ≥1%,1429,0.0707
Subsoil_Metals_Dominant,-0.039686997575032405,-0.11280879211904771,0.03343479696898289,0.28743095576045286,Adj. ≥1%,1429,0.0707
Precious_Metals_Dominant,0.011660982190766835,-0.05459183875335338,0.07791380313488705,0.7301184055098988,Adj. ≥1%,1429,0.0707
