excluded_country,Total_Production_Value_Per_Capita,Human capital index,Rule of law index,Political stability — estimate,Trade (% of GDP),"Gross fixed capital formation, all, Constant prices, Percent of GDP",Share of investment in GDP,Domestic credit to private sector (% of GDP),Landlocked,Urban population (% of total population),Government revenue,Capital depreciation rate,"Use of IMF credit (DOD, current US$)",Real interest rate (%),"Inflation, consumer prices (annual %)",Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),L1_ECI,Forestry rents (% of GDP),HCI_x_ProductionValue,RuleOfLaw_x_ProductionValue
AGO,-0.0,0.008566534527871232,0.0,0.0,-0.0,0.0,0.0,0.069252166310609,0.0,0.00826220367436333,-0.0,-0.0035824021834078854,-0.0,-0.0,-0.0,0.024195631866726155,-0.0,0.4861084047655321,-0.0,0.012154232631746637,0.0
ARE,-0.0,0.012311126480092995,0.0,0.0,-0.0,0.0,-0.0,0.06651667447164653,0.0,0.00838341015049075,-0.0,-0.0004862629109732167,-0.0,0.0,-0.0,0.020907466276912152,-0.0,0.4868472389074551,-0.0,0.012866542127928754,0.0
AZE,-0.0,0.016475214767634878,0.0,0.0012303269937349256,-0.0,0.0,-0.0,0.06982084028081487,0.0,0.01087233391836811,-0.0,-0.002364599506761246,-0.0,0.0,-0.0,0.02311544816414577,-0.0,0.48750509885037796,-0.0,0.019759117752053086,0.0
BFA,-0.0,0.01667053696203575,0.0,0.0,-0.0,0.0,-0.0,0.06915207335068072,0.0,0.008878960100428941,-0.0,-0.0021470451779766185,-0.0,0.0,-0.0,0.022207930001195576,-0.0,0.48915111106499526,-0.0,0.015366439325900113,0.0
BHR,-0.0,0.015817837320787592,0.0,0.0002967915667399775,-0.0,0.0,-0.0,0.0664345255682785,0.0,0.012006509011920024,-0.0,-0.0,-0.0,0.0,-0.0,0.017591001904038506,-0.0,0.4801516473219966,-0.0,0.015054516232721572,0.0
BOL,-0.0,0.018450119889481188,0.0,0.0,-0.0,0.0,-0.0,0.07212506911765944,0.0,0.008044550259482782,-0.0,-0.001219812442338464,-0.0,0.0,-0.0,0.02040279858017181,-0.0,0.48815094141288323,-0.0,0.015630579940241397,0.0
CHL,-0.0,0.017868839500173837,0.0,0.004353505628216034,-0.0,0.0,-0.0,0.07688543494458883,0.0,0.013142935821251176,-0.0,-0.009121535727276678,-0.0,0.0,-0.0,0.021210735414936576,-0.0,0.48377878587114403,-0.0,0.022828608155536518,0.0
CIV,-0.0,0.01516790571251739,0.0,0.0,-0.0,0.0,0.0,0.07020502196239359,0.0,0.008883411120163387,-0.0,-0.002397138033043459,-0.0,0.0,-0.0,0.02145363408678515,-0.0,0.49047168895291077,-0.0,0.015463242469679518,0.0
CMR,-0.0,0.015257819542080399,0.0,0.004871653989666575,-0.0,0.0,-0.0,0.06982181311686328,0.0,0.012247941500665716,-0.006365449793883436,-0.0066943912225480955,-0.0,0.0,-0.0008916105822401204,0.028652084179234878,-0.0,0.490503657355816,-0.0,0.02174775852484352,0.0
COG,-0.0,0.019211343657242322,0.0,0.0,-0.0,0.0,-0.0,0.06789398056156201,-0.0,0.008397182670705269,-0.0,-0.0052683653931191255,-0.0,0.0,-0.0,0.01799778415904599,-0.0,0.4840258640081768,-0.0,0.015050444368742763,0.0
