excluded_country,Total_Production_Value_Per_Capita,Human capital index,Rule of law index,Political stability — estimate,Trade (% of GDP),"Gross fixed capital formation, all, Constant prices, Percent of GDP",Share of investment in GDP,Domestic credit to private sector (% of GDP),Landlocked,Urban population (% of total population),Government revenue,Capital depreciation rate,"Use of IMF credit (DOD, current US$)",Real interest rate (%),"Inflation, consumer prices (annual %)",Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),L1_ECI,Forestry rents (% of GDP),Inflation_roll5,RealRate_roll5,Resource_HHI,HCI_x_ProductionValue,RuleOfLaw_x_ProductionValue
AGO,-0.06926585598659057,0.04243041282938463,-0.018050370268868233,0.03850048563722652,0.0017113599686571141,0.009736641641630127,0.006368137627456048,0.0603697758000896,0.0024316580664975637,0.028208410072067022,-0.029291945505021084,-0.022966959488273438,-0.017718131300143287,-0.012075567186510603,0.005042018358672556,0.09286971387975972,-0.024121333141922913,0.4774068002196957,0.009565166952554107,-0.02624701896057645,-0.009689348621488372,0.0010259763347436118,0.036869836237787085,0.003679075838656616
ARE,-0.05295593352507088,0.03845657821745107,-0.017775642323590784,0.04155185050903962,0.006389583470385098,0.016121975605190415,0.0075114232842316605,0.06615181688038467,-0.00043879500209444605,0.030859981760235036,-0.0258057355176047,-0.02521374509524463,-0.014564117297110732,-0.006944036934259129,-0.010117759736906637,0.07503125267938059,-0.03171545613485567,0.4743369228368769,0.004962809198333568,0.00698904943650434,-0.013836790124160985,0.006974850843116723,0.04027401943446382,0.005733877072166309
AZE,-0.05755269531826404,0.04057761195491297,-0.017904218728347167,0.04193927731957332,0.00015837337262790809,0.016354740251494228,0.005496407040651919,0.0690197095554103,-0.0028980582398502796,0.030331438995137534,-0.021537475804177395,-0.024036005774317463,-0.01774971859536856,-0.002747354771227354,-0.009387699736274655,0.07376992863347777,-0.027664885338823268,0.475721418183992,0.007435933662860102,0.007179085586517688,-0.01589852616186441,0.0014700798991287333,0.04000444662182935,0.0011247093202372564
BFA,-0.06006717976911197,0.03849859087226725,-0.01800208243266029,0.04107348893915185,0.004038376728537302,0.014991482232424868,0.007423986126197411,0.06803895252106851,-0.0018125129278658675,0.030318453262441203,-0.024008767010357847,-0.02275401175111582,-0.015178426394214871,-0.0056874600331015615,-0.010141024263652541,0.07665033566877472,-0.029332081987309598,0.4780412971303872,0.003841491584636164,0.007043041486237713,-0.015274455693015073,0.00464301927826477,0.038396866167602656,0.0014222405144824182
BHR,-0.05819179406898931,0.04030533284535658,-0.015166662512096403,0.04396937932446562,-0.0015981298055109657,0.01456329308556742,0.003651224978313056,0.06531946634426435,-0.0005185113448407194,0.03512145191127195,-0.019977435780256427,-0.019251932421964664,-0.012463936139153241,-0.006369923914938937,-0.010591623245725355,0.0779516603378177,-0.028590275121894278,0.46766385427459406,0.009409255174366289,0.009788658771698709,-0.013827913492483959,0.005839884577993338,0.03725421344236488,0.006064390238862368
BOL,-0.05943366169041648,0.04128445694814952,-0.017447537345478943,0.038654940512481174,8.892052868148751e-05,0.016752730535817984,0.005847968089759456,0.07222661697094362,0.001972188850585234,0.028928758530451168,-0.021088389420135606,-0.021301330936013566,-0.0155559013154154,-0.007152884364204625,-0.011572965654188578,0.07433695366211636,-0.028941695859532404,0.4760565020730503,0.0014895448694166131,0.00926688925178351,-0.011102274892203444,9.50314016615344e-05,0.03930627858156886,0.001531359674088244
CHL,-0.06157457161495239,0.04952253046525488,-0.011450026822683815,0.04079320979991523,-0.014338519128932773,0.016609099070831135,0.009136799153486731,0.08581973879831283,-0.001778350434428271,0.031675015568569505,-0.01390445426344576,-0.03018775711497418,-0.023655852965828637,-0.008098481922306744,-0.010401657269739345,0.06860512837421028,-0.033677593326981475,0.46110372503687685,0.008587179268952274,0.0063584726475120505,-0.015883451087776203,0.008339494645262515,0.03545924921623915,0.006577731231067972
CIV,-0.05647959949493956,0.037009621750070484,-0.016905514233048955,0.03865906854498351,0.004211220285191548,0.015550716358440884,0.0069835611708369836,0.06768817681133345,-0.0014637034757981101,0.030021990703447275,-0.02375100430205659,-0.02273917596173866,-0.014907189626066372,-0.006884707771120481,-0.01092763654237447,0.07945299107060703,-0.0288364244329048,0.4791475736939583,0.0060601036806225425,0.007593634957209533,-0.01371053334898231,0.0037720089710812864,0.03946651049987382,0.0019105012305950355
CMR,-0.058264688257791866,0.038695149053554506,-0.021211320047376216,0.04291239244274054,0.0007951420426973583,0.015942414811484184,0.006403161191428325,0.06836677749404972,-0.0031470639038068886,0.027183975814516866,-0.028204446705379794,-0.02352099024587191,-0.015363819996254663,-0.006111037277262926,-0.010679691698239928,0.0776273461478999,-0.026708365123616004,0.47531217509030566,0.004426005576144957,0.00846727090534834,-0.013254271219227492,0.0010471551750773536,0.03926356161032194,0.0035946617870220446
COG,-0.05487754892540824,0.03781359966856477,-0.016090578531990626,0.03916247415589106,0.005004576379905554,0.016400583244077088,0.001945345012137746,0.06705856727177699,-0.0014946957294381495,0.030531777365669525,-0.02318094324302841,-0.022434969899279896,-0.014901473420952901,-0.006655449803658853,-0.010734413234290056,0.07547240157667728,-0.025693672383759306,0.4726527567778147,0.007993857767885386,0.009157932189163512,-0.012138962628232492,0.004794956872555077,0.03793824077146795,0.0018108193763528293
