excluded_country,LASSO_r2,Ridge_r2,EN_r2,RF_r2,n_train,n_test,n_countries
AGO,0.8594120575393074,0.8484817932358477,0.8561285498504152,0.8755148833557761,916,260,52
ARE,0.8507350269572573,0.8384538718787311,0.8472534874891162,0.8691206785504699,916,260,52
AZE,0.8583524932115505,0.8476663690551052,0.8548790046548088,0.8752028809514604,916,260,52
BFA,0.857018080861175,0.8469609027030595,0.8538267539192022,0.8740794389933093,916,260,52
BHR,0.8502266927766686,0.8383874745323975,0.8467315349747238,0.8657565747406623,916,260,52
BOL,0.8573758912658611,0.847225020104134,0.8540696109234269,0.8734865977864809,916,260,52
CHL,0.859385939302399,0.8494515894029535,0.85720494672529,0.8733436083346133,916,260,52
CIV,0.8585273418764395,0.8482986157891759,0.855496995983654,0.8741789594882028,916,260,52
CMR,0.8582818693477339,0.8463975708662869,0.8553250691937893,0.8747453781883393,916,260,52
COG,0.8616103474446738,0.8522958212457925,0.858928858538619,0.8800285416296157,916,260,52
DZA,0.8637359030693638,0.8534412354219616,0.8601119914956981,0.8807487383976464,916,260,52
ECU,0.8574100782799741,0.8481812314050655,0.854997169749964,0.8730008631264154,916,260,52
EGY,0.8555707454364435,0.8455880904419074,0.8527598434430409,0.8711560931922866,916,260,52
ETH,0.8566023218767345,0.8476255790941836,0.8533964119636044,0.8748125164852018,916,260,52
GAB,0.8601471167756702,0.8503945641703727,0.857388401497983,0.8780873530120963,916,260,52
GHA,0.857578143684605,0.8473632707549393,0.8542585996953891,0.874297787859311,916,260,52
GIN,0.8567510278365028,0.8458961325467449,0.8537842780365561,0.872001091711152,916,260,52
GNQ,0.8568450998657205,0.8477153973641708,0.8537392634858749,0.8715156158713853,916,260,52
IDN,0.8549513364661766,0.8441745891986749,0.8519877957876463,0.8718973365140187,916,260,52
IRN,0.8558417275409735,0.8456069055845952,0.8526409737333074,0.8741160505351958,916,260,52
IRQ,0.8673805850331058,0.860004131003392,0.8649806900930734,0.8659224436280419,916,260,52
KAZ,0.8578053426512252,0.8472972584700272,0.8544212817855326,0.8747214694124607,916,260,52
KEN,0.8575051642330196,0.8473688334031371,0.8539572002832565,0.8745652472044595,916,260,52
KWT,0.8540825407078102,0.8417998475606203,0.8508367072188542,0.8713677704247821,916,260,52
LAO,0.8569163035124442,0.8452910661373946,0.8539808826706055,0.8745279936630748,916,260,52
LBR,0.8613633693768146,0.8489726573561233,0.8587252939218584,0.8754311092284845,916,260,52
LBY,0.8573942495845905,0.8473200334784959,0.854148059241523,0.8740712297386103,916,260,52
MDG,0.8555714898638345,0.843904257584895,0.8526443791734435,0.8716890384002471,916,260,52
MLI,0.8598770169946796,0.8519552471259753,0.8572131046077838,0.8758956435250403,916,260,52
MMR,0.8562325088822121,0.8451097209838663,0.8531599497425933,0.873522977714554,916,260,52
MNG,0.8584205103974138,0.8481979770929773,0.8560778720605816,0.8733369937325295,916,260,52
MOZ,0.8567205416593627,0.8463149743861016,0.8539146231913395,0.8710465352287482,916,260,52
MWI,0.8607093925836389,0.8505452183282093,0.8575170667078893,0.8788621280156529,916,260,52
MYS,0.8308124423417594,0.8186274738427514,0.8280907404428599,0.8527341326825753,916,260,52
NER,0.8608571098329777,0.8513160699101133,0.8577979884697196,0.8791377603189101,916,260,52
NGA,0.8550032368841425,0.8438007682542893,0.8528730928940353,0.8725078213498033,916,260,52
OMN,0.8566552464987605,0.8463896394048072,0.8533310129650663,0.8736861495818824,916,260,52
PNG,0.8529189677251634,0.8409240431772744,0.8504274650982596,0.8717255830743464,916,260,52
QAT,0.8552842740574893,0.8446577333908686,0.8523676118117601,0.8725705716212097,916,260,52
RUS,0.8490992711293271,0.8428285512923288,0.8481689756512322,0.8641770231323707,916,260,52
RWA,0.8580704919225947,0.847544928097733,0.8548425494254221,0.8720328099426046,925,260,52
SAU,0.8446555321187076,0.8319330642409719,0.841380967560985,0.8580948877053062,916,260,52
TCD,0.865112015140739,0.8567303980093728,0.8629504047596046,0.8785690822260018,918,260,52
TGO,0.8578357486510598,0.8476568478472691,0.8544036922930657,0.8759303067775107,924,260,52
TTO,0.8571305392462661,0.8451543602131641,0.8535689795442231,0.87391588661679,916,260,52
TZA,0.8700877956873628,0.8593892630386188,0.8666541833626646,0.8872371554407119,916,260,52
UGA,0.8583538065362346,0.8471179925812916,0.8550090471875205,0.8762778808229356,917,260,52
UZB,0.8577556543634554,0.8499332295050583,0.854771747931321,0.8763019745518547,916,260,52
VEN,0.8579057978103386,0.8496750990109959,0.855539280301745,0.8745844414006159,916,260,52
VNM,0.8550539013098487,0.843992968211671,0.852077020976535,0.874034349402139,916,260,52
YEM,0.8566520711665935,0.8455577377607083,0.8540799309414402,0.8765767357740643,916,260,52
ZMB,0.8578764592497375,0.8464807503111963,0.8550370231804338,0.8769119312220189,916,260,52
ZWE,0.8577657452659948,0.8477776995057535,0.8541828849289992,0.8773782575805376,916,260,52
