excluded_country,const,log_HCI,log_GFCF,Political stability — estimate,Rule of law index,log_Production_Value,Forestry rents (% of GDP),Trade (% of GDP),log_HCI_x_log_Production,log_GFCF_x_log_Production,log_HCI_x_forestry_rents,log_GFCF_x_forestry_rents
AGO,-2.922104232954853,1.593775966212795,0.1556129588850627,0.01690378256995443,0.3563448629258077,-0.040473361655375024,-0.02751061305554717,0.0010618223632227987,0.23484283612050733,0.020487251915237634,-0.08101826843832709,0.01323619363921532
ARE,-2.930339540038797,1.6357027170052676,0.14792971452524217,0.027342461390187894,0.3459026410520988,-0.041119970532793,-0.026765217054827265,0.0009253174101256586,0.2392265975499134,0.020031946275480945,-0.07992442832256494,0.013275109890303175
AZE,-2.9875475803854967,1.683299070934814,0.14974735030440858,0.0309770892047611,0.3262355390448752,-0.03919663263297328,-0.025173156148298622,0.0007766579361646635,0.2715847682042875,0.014631831408478464,-0.06932072491638146,0.011431891961726781
BFA,-2.9729479356943567,1.6766521504372571,0.14784369202202216,0.02611021554236417,0.3364043905723062,-0.041524394807692926,-0.026297097404594214,0.0009382501883740113,0.23328844351842362,0.01985290780002063,-0.07666558000303789,0.012645448778126202
BHR,-2.8906914233107788,1.6591928532033984,0.14153791526734857,0.040321396425113995,0.3771724381080251,-0.039336938940771206,-0.02331063607406895,-0.00014723475605292555,0.2361571220166638,0.01234229148056058,-0.06717991784371197,0.012989638530818706
BOL,-2.951036134594041,1.6991317271724018,0.15005256661814148,0.0299990657211031,0.3485918761909554,-0.045173406602936915,-0.029661027623147797,0.0007757367380141005,0.216263832169706,0.017560164004532586,-0.09764793581736714,0.013380041748235292
CHL,-3.001619649079496,1.6806270361182414,0.15063728294153284,0.026612430167658904,0.4126021992718396,-0.03981296654809612,-0.026483646385988744,0.0007436179259261925,0.24245606029506978,0.018519238323193795,-0.08011627376018593,0.012561095555112995
CIV,-2.9452162467987235,1.6503194299859156,0.15113577051354532,0.03474516739077879,0.32713617946185086,-0.04085318061797755,-0.02634400651864492,0.000881262703655406,0.2307244785584786,0.017330583736927016,-0.08387140936481963,0.012542333651158784
CMR,-2.895345323881828,1.6305784833529606,0.14809820382331013,0.03255475649072087,0.3224278102494234,-0.04207184645904133,-0.02718367688081224,0.0008281271996420161,0.23732155075957267,0.019209588927913232,-0.07886418090085029,0.012909696869385468
COD,-2.8601252975052343,1.55998660420044,0.1666868575331466,0.03088873865010488,0.3579918302766885,-0.04649425966491277,-0.03371668941300594,0.0009957503111970968,0.2241501279715006,0.035887490827796235,-0.1066726526362531,0.03108960702994366
COG,-2.981283216773805,1.6150483829780613,0.15493061880139142,0.01120168839461801,0.3253714331597396,-0.039370100445238136,-0.025274627299264385,0.0016201451497892512,0.23281891483574652,0.02626499448591066,-0.07694092034100306,0.015455850304435803
DZA,-2.9366759644150227,1.6408917415296438,0.15229423486658525,0.02727596417307539,0.3369988244509789,-0.04037608124775544,-0.02713751135327441,0.000812232587126627,0.23472330568728567,0.021151341315197657,-0.08225018420976661,0.013076383410242313
ECU,-2.965570507946161,1.6973905943246885,0.161185346200637,0.028560920077822502,0.34705359748502795,-0.04506959908436213,-0.03003903143829612,0.0006213483686995882,0.21336794670825382,0.017331221555386057,-0.09650571023331624,0.011787337798876092
EGY,-2.9973622081408675,1.6362047315682704,0.1545392199345522,0.030527961102552268,0.3386900408185301,-0.03925014985518392,-0.02323547756766503,0.0011705271540085518,0.27482128023031616,0.015172434528930152,-0.05925778780385908,0.00988744576277953
ETH,-2.8907494637395104,1.599182455531416,0.15075853682350845,0.02722347055255029,0.3457559570568885,-0.0424012910438233,-0.028184154117709626,0.0009488113282214768,0.2270770587167581,0.019494775240044813,-0.10288453549405074,0.013374923359051485
GAB,-2.9738284027259088,1.6697768796216323,0.14511790282443698,0.03392329433250215,0.3245740843498912,-0.035498741939376674,-0.02306416126291059,0.000783860996146634,0.2655859456950489,0.017636358367251408,-0.059665898567358724,0.012254568274771876
GHA,-3.006907485765699,1.687618445390999,0.1502877449535307,0.029018995786958983,0.3733197460775272,-0.04041166895702836,-0.02262533680533695,0.0009174311705750699,0.24150107406292606,0.017225286606009443,-0.06235324829462233,0.013004008687776101
GIN,-2.9613851720336735,1.6692976642661919,0.14363335824990858,0.02483810007386743,0.3229363326718408,-0.03848170475828004,-0.022966429100415936,0.0008539526212520793,0.24746583717569898,0.020090808622423087,-0.06295380542951153,0.012521736940361364
GNQ,-2.8558006363841777,1.5280104626884052,0.15969119947399807,0.049931439008448916,0.2095457958245423,-0.0315546989303757,-0.022686520741467618,0.0012898207138846277,0.194354548836782,0.03989323886958081,-0.10187194543835543,0.024835169286082804
IDN,-2.8835504677010064,1.6068236377897311,0.13313521633579234,0.03937522548293576,0.3082134869801956,-0.037404579342403876,-0.02417867260846968,0.0010014279906153055,0.256186574071273,0.024790735015722057,-0.07228757365164949,0.015623690943439265
IRN,-2.9909091866740964,1.6730927116749548,0.1442368747808965,0.023059762555016728,0.35201560341186033,-0.04402287133860637,-0.02580046833268226,0.0012752889431972801,0.25345168006245944,0.02016496551396938,-0.0787293663114831,0.014064984259940894
IRQ,-3.0468801120562827,1.6481458331796632,0.15817318808095238,-0.017536041641607974,0.38994452439407973,-0.03657322812553612,-0.028085710189822286,0.0011436021667604406,0.2509991320274082,0.020614959393593268,-0.08248730531799935,0.013187430477693109
KAZ,-2.9849156632493914,1.6831614910599488,0.14824264760520967,0.028563292574223048,0.3226829960530535,-0.03908721152665855,-0.025337910377212,0.0008010393086579704,0.27880502033743626,0.014763795239444263,-0.06726329647136557,0.011614805495313924
KEN,-2.928580777500245,1.5961630649894618,0.146573110927047,0.0322395322551656,0.3403441761534775,-0.03310583354263859,-0.024560387325188535,0.0008204780714924937,0.2572136350994939,0.01617927098580565,-0.07361332086804342,0.012633470806476511
KWT,-2.998323092969221,1.7492284011422512,0.15509499790486903,0.02144231597638884,0.27275920480285953,-0.054745915460439755,-0.027890916659602326,0.0010456762546292731,0.26070197895110747,0.015224594524175558,-0.07636152997381679,0.012008155607249707
LAO,-2.9092073091852932,1.638712774748241,0.15687188003153524,0.037768635415707824,0.31908425645021543,-0.046342081941373264,-0.027326089719668302,0.001017506109511293,0.24302180367109916,0.013605343370356508,-0.07645968535804872,0.011536363090325203
