Variable,Coef,CI_lo,CI_hi,p,Spec,N,R2
const,-0.6025688792652804,-0.8782645501353816,-0.326873208395179,1.8376348531025277e-05,"Original 54
(total rents)",1273,0.7848
log_HCI,0.31646347218554316,0.10738334285786116,0.5255436015132251,0.0030111290855096367,"Original 54
(total rents)",1273,0.7848
log_GFCF,0.03256873382475731,0.013853519771830886,0.05128394787768373,0.0006477647809998768,"Original 54
(total rents)",1273,0.7848
Political stability — estimate,0.016451340015852446,-0.019586397537853045,0.05248907756955794,0.37093160079288656,"Original 54
(total rents)",1273,0.7848
Rule of law index,0.056024859689872114,-0.03266166119832545,0.14471138057806968,0.21566257321574656,"Original 54
(total rents)",1273,0.7848
log_Production_Value,-0.004878796743335431,-0.01764274350835852,0.007885150021687659,0.4537594743664298,"Original 54
(total rents)",1273,0.7848
Trade (% of GDP),0.0002386802740058253,-0.0009121216653054394,0.0013894822133170902,0.684372861550316,"Original 54
(total rents)",1273,0.7848
ECI_lag1,0.8120630481741321,0.7262560312194994,0.8978700651287648,8.344487958947873e-77,"Original 54
(total rents)",1273,0.7848
log_HCI_x_log_Production,0.06107059498644883,0.0060627735093571125,0.11607841646354056,0.029556419887291605,"Original 54
(total rents)",1273,0.7848
log_GFCF_x_log_Production,0.00011572665906819067,-0.009166619762040987,0.009398073080177368,0.9805051194818208,"Original 54
(total rents)",1273,0.7848
const,-0.4715925610475975,-0.7486585929513985,-0.19452652914379653,0.0008497975512234741,Adj. ≥3%,936,0.8511
log_HCI,0.2780047533845033,0.03554802804796714,0.5204614787210395,0.024619200042348764,Adj. ≥3%,936,0.8511
log_GFCF,0.030821471484509345,0.011721357602427571,0.04992158536659112,0.0015628398262294023,Adj. ≥3%,936,0.8511
Political stability — estimate,0.013546610618338457,-0.03127067900240302,0.05836390023907993,0.5535662368924019,Adj. ≥3%,936,0.8511
Rule of law index,0.08732509257127402,-0.01704093787468479,0.19169112301723285,0.10101762612355501,Adj. ≥3%,936,0.8511
log_Production_Value,-0.006845516763724305,-0.02362845734235524,0.009937423814906629,0.4240348996934674,Adj. ≥3%,936,0.8511
Trade (% of GDP),4.4266055723524535e-05,-0.0009583431374469938,0.001046875248894043,0.9310418571627916,Adj. ≥3%,936,0.8511
ECI_lag1,0.8679440952241737,0.781233518485326,0.9546546719630215,1.0729000386624727e-85,Adj. ≥3%,936,0.8511
log_HCI_x_log_Production,-0.0003502920045341529,-0.061794887471534936,0.06109430346246663,0.9910849116612801,Adj. ≥3%,936,0.8511
log_GFCF_x_log_Production,-0.00013968662821914335,-0.009588894622440622,0.009309521366002335,0.976885376846855,Adj. ≥3%,936,0.8511
const,-0.39974921903555194,-0.665755791711607,-0.13374264635949684,0.0032254400135100984,Adj. ≥2%,1222,0.8831
log_HCI,0.2749176782046756,0.04705862661163304,0.5027767297977181,0.01804244741127671,Adj. ≥2%,1222,0.8831
log_GFCF,0.032649682114457235,0.012184576989157779,0.05311478723975669,0.001766640031687518,Adj. ≥2%,1222,0.8831
Political stability — estimate,0.017182260754160784,-0.01707803668762402,0.05144255819594559,0.32562554149045064,Adj. ≥2%,1222,0.8831
Rule of law index,0.06832651984095073,-0.010149858498458023,0.14680289818035946,0.08792076673545403,Adj. ≥2%,1222,0.8831
log_Production_Value,-0.011886893588519694,-0.025572998846897302,0.0017992116698579159,0.0886987842248673,Adj. ≥2%,1222,0.8831
Trade (% of GDP),-7.949844175188204e-05,-0.0009442848984988933,0.0007852880149951293,0.8570141106034705,Adj. ≥2%,1222,0.8831
ECI_lag1,0.8854642544239582,0.8135320428708208,0.9573964659770955,1.315496998438574e-128,Adj. ≥2%,1222,0.8831
log_HCI_x_log_Production,-0.03325072741745588,-0.0736982416820008,0.0071967868470890345,0.10712971020743768,Adj. ≥2%,1222,0.8831
log_GFCF_x_log_Production,-1.2574515117977358e-06,-0.008201101938946732,0.008198587035923136,0.9997601864172414,Adj. ≥2%,1222,0.8831
const,-0.3654408613200249,-0.5969230029327809,-0.13395871970726891,0.0019734761081036905,Adj. ≥1%,1438,0.8861
log_HCI,0.23481485520799533,0.04688848438923374,0.4227412260267569,0.014325984579824815,Adj. ≥1%,1438,0.8861
log_GFCF,0.0263694774737767,0.01083330105327062,0.04190565389428278,0.0008790066018161457,Adj. ≥1%,1438,0.8861
Political stability — estimate,0.008317036436998455,-0.01970450807943709,0.036338580953434,0.5607457051509938,Adj. ≥1%,1438,0.8861
Rule of law index,0.03907295153912205,-0.029077662695109488,0.10722356577335358,0.26113575473801953,Adj. ≥1%,1438,0.8861
log_Production_Value,-0.006893949407033431,-0.01587897673598363,0.002091077921916769,0.13262689591166052,Adj. ≥1%,1438,0.8861
Trade (% of GDP),-3.671117436675836e-05,-0.0007448892545989584,0.0006714669058654417,0.9190722889457226,Adj. ≥1%,1438,0.8861
ECI_lag1,0.8971760109667368,0.8363570188869498,0.9579950030465239,8.30100113500994e-184,Adj. ≥1%,1438,0.8861
log_HCI_x_log_Production,-0.018688702897824823,-0.054146702692238195,0.01676929689658855,0.30158976625583434,Adj. ≥1%,1438,0.8861
log_GFCF_x_log_Production,0.0023872494721833247,-0.006302214680692066,0.011076713625058715,0.5902599802391022,Adj. ≥1%,1438,0.8861
