Variable,Coef,CI_lo,CI_hi,p,Spec,N,R2
const,-0.5935894627510231,-0.8962867125176492,-0.29089221298439694,0.0001212967544653045,"Original 54
(total rents)",1270,0.7884
log_HCI_lag1,0.304673566481208,0.09902576742457775,0.5103213655378382,0.0036872577510362885,"Original 54
(total rents)",1270,0.7884
log_GFCF_lag1,0.03225524461794758,0.009402721772376808,0.05510776746351835,0.005667973682491213,"Original 54
(total rents)",1270,0.7884
Political stability — estimate_lag1,0.016663269720612522,-0.013363547755073892,0.04669008719629894,0.2767387577816205,"Original 54
(total rents)",1270,0.7884
Rule of law index_lag1,0.06291301303457425,-0.028058744862272986,0.1538847709314215,0.17527573200113,"Original 54
(total rents)",1270,0.7884
log_Production_Value_lag1,-0.00372632010881355,-0.015795627086196744,0.008342986868569643,0.5450951833141493,"Original 54
(total rents)",1270,0.7884
Trade (% of GDP)_lag1,0.000319404848146321,-0.0007611505395859801,0.0013999602358786222,0.5623516389894514,"Original 54
(total rents)",1270,0.7884
ECI_lag1,0.8168711966039799,0.7327807401760326,0.9009616530319272,8.032909031366176e-81,"Original 54
(total rents)",1270,0.7884
log_HCI_x_log_Production_lag1,0.053512440264135666,0.009177863794137958,0.09784701673413337,0.01799585794708138,"Original 54
(total rents)",1270,0.7884
log_GFCF_x_log_Production_lag1,-0.003760097624620906,-0.012147513309412104,0.004627318060170292,0.3795876409263841,"Original 54
(total rents)",1270,0.7884
const,-0.4585955124637837,-0.7773415230634967,-0.13984950186407075,0.004803917500176993,Adj. ≥3%,936,0.8514
log_HCI_lag1,0.2701320308070893,0.0223259853351232,0.5179380762790554,0.0326349238372605,Adj. ≥3%,936,0.8514
log_GFCF_lag1,0.02230225694476811,0.0011586988163832627,0.043445815073152955,0.03869902400762251,Adj. ≥3%,936,0.8514
Political stability — estimate_lag1,0.01599759404308848,-0.018517396661406685,0.05051258474758365,0.3636471773695059,Adj. ≥3%,936,0.8514
Rule of law index_lag1,0.08583502418825414,-0.025695466596718092,0.19736551497322638,0.13144997285438156,Adj. ≥3%,936,0.8514
log_Production_Value_lag1,-0.004903612782440073,-0.02172889624241058,0.011921670677530433,0.5678518910494993,Adj. ≥3%,936,0.8514
Trade (% of GDP)_lag1,0.0002206945499539859,-0.0006381362536891818,0.0010795253535971537,0.6145047024115804,Adj. ≥3%,936,0.8514
ECI_lag1,0.8686450246447774,0.7820514326793908,0.9552386166101641,4.658479626205821e-86,Adj. ≥3%,936,0.8514
log_HCI_x_log_Production_lag1,-0.002999920225047248,-0.06480452844703644,0.05880468799694195,0.9242081868310954,Adj. ≥3%,936,0.8514
log_GFCF_x_log_Production_lag1,-0.008794612074768463,-0.01759019755560666,9.734060697329933e-07,0.05002535990259391,Adj. ≥3%,936,0.8514
const,-0.3926650606179741,-0.6923214335009609,-0.09300868773498738,0.010219678339318595,Adj. ≥2%,1222,0.8832
log_HCI_lag1,0.26508686169086865,0.03725919419874468,0.4929145291829926,0.022578127245553487,Adj. ≥2%,1222,0.8832
log_GFCF_lag1,0.026936089352860577,0.00512013823292207,0.04875204047279909,0.01552214411274856,Adj. ≥2%,1222,0.8832
Political stability — estimate_lag1,0.017760193151118667,-0.008708769748384821,0.04422915605062215,0.188476222653982,Adj. ≥2%,1222,0.8832
Rule of law index_lag1,0.07087639393837468,-0.015924424809367288,0.15767721268611665,0.10951204831510189,Adj. ≥2%,1222,0.8832
log_Production_Value_lag1,-0.010588473108808935,-0.02441053985108001,0.0032335936334621403,0.13324138211877232,Adj. ≥2%,1222,0.8832
Trade (% of GDP)_lag1,0.00012781815207738088,-0.0005679759675061934,0.0008236122716609552,0.7188115678961361,Adj. ≥2%,1222,0.8832
ECI_lag1,0.8863976667919617,0.8147978548001669,0.9579974787837566,4.690113636955909e-130,Adj. ≥2%,1222,0.8832
log_HCI_x_log_Production_lag1,-0.03190474865401215,-0.07245345971265281,0.008643962404628516,0.12303736552369367,Adj. ≥2%,1222,0.8832
log_GFCF_x_log_Production_lag1,-0.006409873269122169,-0.014262998735829405,0.0014432521975850671,0.10965170121080815,Adj. ≥2%,1222,0.8832
const,-0.3587831337271911,-0.6176729841974564,-0.09989328325692576,0.006603184554581915,Adj. ≥1%,1438,0.886
log_HCI_lag1,0.22225408353956524,0.03950959856116612,0.40499856851796434,0.01713906620119093,Adj. ≥1%,1438,0.886
log_GFCF_lag1,0.020807152281782548,0.004131263784510293,0.0374830407790548,0.01446422171340419,Adj. ≥1%,1438,0.886
Political stability — estimate_lag1,0.0075920243600156485,-0.01445398158924759,0.029638030309278886,0.4997034225423794,Adj. ≥1%,1438,0.886
Rule of law index_lag1,0.04129324336726499,-0.02869723856248156,0.11128372529701154,0.247539332793544,Adj. ≥1%,1438,0.886
log_Production_Value_lag1,-0.005039587007569056,-0.013562593716583162,0.0034834197014450494,0.2464923305646337,Adj. ≥1%,1438,0.886
Trade (% of GDP)_lag1,0.00015293149265538917,-0.00041013744841286455,0.0007160004337236429,0.5944953322119141,Adj. ≥1%,1438,0.886
ECI_lag1,0.89897500643353,0.8390170199539616,0.9589329929130984,8.157131770773077e-190,Adj. ≥1%,1438,0.886
log_HCI_x_log_Production_lag1,-0.013194679534224912,-0.047312527235403606,0.02092316816695378,0.44845505150381304,Adj. ≥1%,1438,0.886
log_GFCF_x_log_Production_lag1,-0.0030916567060981608,-0.009614074129278064,0.0034307607170817435,0.35287240008044196,Adj. ≥1%,1438,0.886
