Variable,Coef,CI_lo,CI_hi,p,Spec,N,R2
const,-0.47911290160975883,-0.6719772390522307,-0.28624856416728695,1.1220098320223338e-06,"Original 54
(total rents)",1264,0.7932
log_HCI,0.12140203858892851,-0.07976717254637278,0.3225712497242298,0.2368870799281979,"Original 54
(total rents)",1264,0.7932
log_GFCF,0.016697244259032913,-0.004562456521429486,0.037956945039495316,0.12372028531057956,"Original 54
(total rents)",1264,0.7932
Political stability — estimate,0.01666330884017632,-0.02790031606936072,0.06122693374971336,0.46363578663646965,"Original 54
(total rents)",1264,0.7932
Rule of law index,0.07342186110599572,-0.027629931548548328,0.17447365376053975,0.15442799395883136,"Original 54
(total rents)",1264,0.7932
log_Production_Value,-0.019396410588128413,-0.03732161037646135,-0.0014712107997954735,0.03393627682476584,"Original 54
(total rents)",1264,0.7932
Trade (% of GDP),0.00048747255272026157,-0.0006109808293385777,0.0015859259347791009,0.38441274927373537,"Original 54
(total rents)",1264,0.7932
Hydrocarbons_Dominant,-0.042609834449865505,-0.20946977297002056,0.12425010407028957,0.6167216146551915,"Original 54
(total rents)",1264,0.7932
Subsoil_Metals_Dominant,-0.0373983142654352,-0.19979970480278075,0.12500307627191037,0.6517396147435786,"Original 54
(total rents)",1264,0.7932
Precious_Metals_Dominant,0.022085811445654163,-0.12759489775075245,0.17176652064206077,0.7724296922059306,"Original 54
(total rents)",1264,0.7932
Access to electricity (% of population),0.0030042933802705753,0.0012619060951015674,0.004746680665439583,0.0007263160678110651,"Original 54
(total rents)",1264,0.7932
ECI_lag1,0.7756294997107521,0.6767473589103147,0.8745116405111896,2.4490199909401788e-53,"Original 54
(total rents)",1264,0.7932
log_HCI_x_log_Production,0.06633997872297863,0.005897441302184142,0.12678251614377312,0.03146043984719185,"Original 54
(total rents)",1264,0.7932
log_GFCF_x_log_Production,0.006423112689120951,-0.00368554575453545,0.016531771132777352,0.21299397372577888,"Original 54
(total rents)",1264,0.7932
const,-0.4545932732230052,-0.7047868298863151,-0.2043997165596953,0.00036917976667670706,Adj. ≥3%,933,0.8556
log_HCI,0.11811325937843847,-0.12266262815578843,0.3588891469126654,0.33631811124484967,Adj. ≥3%,933,0.8556
log_GFCF,0.016526558919864622,-0.00592181598315393,0.038974933822883175,0.14903985642208412,Adj. ≥3%,933,0.8556
Political stability — estimate,0.015501884564835922,-0.04127264869177846,0.0722764178214503,0.5925431664774327,Adj. ≥3%,933,0.8556
Rule of law index,0.1310122217431049,0.012088233037200885,0.2499362104490089,0.03083559324445419,Adj. ≥3%,933,0.8556
log_Production_Value,-0.020873317633470834,-0.04642431449091594,0.00467767922397427,0.1093439411878508,Adj. ≥3%,933,0.8556
Trade (% of GDP),0.00029836919646210303,-0.0006722677556732942,0.0012690061485975002,0.5468522533182989,Adj. ≥3%,933,0.8556
Hydrocarbons_Dominant,-0.0005460592414955612,-0.12640926236390518,0.12531714388091406,0.9932154054325668,Adj. ≥3%,933,0.8556
Subsoil_Metals_Dominant,-0.06702579889917118,-0.22230814653381986,0.0882565487354775,0.3975553101496565,Adj. ≥3%,933,0.8556
Precious_Metals_Dominant,0.04173835874634968,-0.07473428943462714,0.15821100692732648,0.4824549476538409,Adj. ≥3%,933,0.8556
Access to electricity (% of population),0.003070653066550773,0.000881631132034794,0.005259675001066753,0.005971508792983417,Adj. ≥3%,933,0.8556
ECI_lag1,0.831077317526456,0.7266373020607669,0.935517332992145,7.70931344334116e-55,Adj. ≥3%,933,0.8556
log_HCI_x_log_Production,0.04337706227440122,-0.033997421962691385,0.12075154651149382,0.2718643535448686,Adj. ≥3%,933,0.8556
log_GFCF_x_log_Production,0.007344696095985585,-0.006325468406715969,0.021014860598687138,0.2923189788287922,Adj. ≥3%,933,0.8556
const,-0.4282742583674313,-0.6912651627802338,-0.16528335395462895,0.0014141199256688915,Adj. ≥2%,1216,0.8861
log_HCI,0.17088625364174692,-0.03752126274332787,0.37929377002682174,0.10803329313066416,Adj. ≥2%,1216,0.8861
log_GFCF,0.021726327873330602,-0.0010444498863841113,0.04449710563304532,0.06147487965966596,Adj. ≥2%,1216,0.8861
Political stability — estimate,0.015680722032482625,-0.024277349450115105,0.05563879351508036,0.4418057578980942,Adj. ≥2%,1216,0.8861
Rule of law index,0.10451824818936287,0.01818036550702183,0.1908561308717039,0.017659647683127756,Adj. ≥2%,1216,0.8861
log_Production_Value,-0.0230334187053034,-0.04330890513266833,-0.0027579322779384685,0.025976417495226962,Adj. ≥2%,1216,0.8861
Trade (% of GDP),6.21392236397889e-05,-0.0007825534502067236,0.0009068318974863014,0.8853556687737809,Adj. ≥2%,1216,0.8861
Hydrocarbons_Dominant,0.03977658650079283,-0.04189987318575246,0.12145304618733811,0.33982753560750245,Adj. ≥2%,1216,0.8861
Subsoil_Metals_Dominant,-0.02347762131697311,-0.11666599189778584,0.0697107492638396,0.6214559611888602,Adj. ≥2%,1216,0.8861
Precious_Metals_Dominant,0.04804421639635048,-0.03448118475473427,0.13056961754743523,0.25385252102870415,Adj. ≥2%,1216,0.8861
Access to electricity (% of population),0.002196228815522643,0.0005959401339681921,0.003796517497077094,0.0071485096655475085,Adj. ≥2%,1216,0.8861
ECI_lag1,0.853659539620145,0.7687619079291468,0.9385571713111431,1.8498409105296382e-86,Adj. ≥2%,1216,0.8861
log_HCI_x_log_Production,-0.0009916720149000524,-0.048690986912339466,0.04670764288253936,0.9674969661921777,Adj. ≥2%,1216,0.8861
