excluded_country,Total_Production_Value_Per_Capita,Human capital index,Rule of law index,Political stability — estimate,Trade (% of GDP),"Gross fixed capital formation, all, Constant prices, Percent of GDP",Share of investment in GDP,Domestic credit to private sector (% of GDP),Landlocked,Urban population (% of total population),Government revenue,Capital depreciation rate,"Use of IMF credit (DOD, current US$)",Real interest rate (%),"Inflation, consumer prices (annual %)",Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),L1_ECI,Forestry rents (% of GDP),Inflation_roll5,RealRate_roll5,Resource_HHI,HCI_x_ProductionValue,RuleOfLaw_x_ProductionValue
AGO,0.0,0.002223966298503377,0.0,0.0,-0.0,0.0,0.0,0.06650410534515376,-0.0,0.002850805802302544,-0.0,-0.0,-0.0,-0.0,-0.0,0.013368454816694643,-0.0,0.5053374619806273,-0.0,-0.0,-0.0,-0.0,0.008265078206141637,0.0
ARE,-0.0,0.004091761235954733,0.0,0.0,-0.0,0.0,0.0,0.06476831049335426,-0.0,0.0037130881595682404,-0.0,-0.0,-0.0,0.0,-0.0,0.013828794333375796,-0.0,0.5048332436890484,-0.0,-0.0,0.0,-0.0,0.010604548208738919,0.0
AZE,-0.0,0.00737760341315437,0.0,0.0,-0.0,0.0,0.0,0.06769741354513491,-0.0,0.004312262916128804,-0.0,-0.0,-0.0,0.0,-0.0,0.016821211344533325,-0.0,0.5047346547762069,-0.0,-0.0,0.0,-0.0,0.015645238945591142,0.0
BFA,-0.0,0.0075093694687307965,0.0,0.0,-0.0,0.0,0.0,0.06704464933551142,-0.0,0.0029743001187565693,-0.0,-0.0,-0.0,0.0,-0.0,0.014186742544864678,-0.0,0.5068883210076395,-0.0,-0.0,0.0,-0.0,0.0119064096110376,0.0
BHR,-0.0,0.008104627904702157,0.0,0.0,-0.0,0.0,0.0,0.06550162976011904,-0.0,0.0070793168347059315,-0.0,-0.0,-0.0,0.0,-0.0,0.010776736785187478,-0.0,0.4966700221982607,-0.0,-0.0,0.0,-0.0,0.0132740406637551,0.0
BOL,-0.0,0.0105415458924522,0.0,0.0,-0.0,0.0,0.0,0.07088892373259735,-0.0,0.00391698702572022,-0.0,-0.0,-0.0,0.0,-0.0,0.013173695249185066,-0.0,0.5053481886412814,-0.0,-0.0,0.0,-0.0,0.014004469513448334,0.0
CHL,-0.0,0.008766645534303534,0.0,0.0,-0.0,0.0,0.0,0.07457366895847266,-0.0,0.005647207953641551,-0.0,-0.0,-0.0,0.0,-0.0,0.012275483310929206,-0.0,0.49889176786166306,-0.0,0.0,0.0,-0.0,0.016725825130108583,0.0
CIV,-0.0,0.006313764733815835,0.0,0.0,-0.0,0.0,0.0,0.06806133208304402,-0.0,0.0030300463590906654,-0.0,-0.0,-0.0,0.0,-0.0,0.0131625042720024,-0.0,0.5082367249395843,-0.0,-0.0,0.0,-0.0,0.011037938607822649,0.0
CMR,-0.0,0.005517452561588398,0.0,0.0,-0.0,0.0,0.0,0.06838866890635184,-0.0,0.004695772141684683,-0.0,-0.0,-0.0,0.0,-0.0,0.015269901003358528,-0.0,0.5052576444469171,-0.0,-0.0,0.0,-0.0,0.014128578784128293,0.0
COG,0.0,0.008903129430123773,0.0,0.0,-0.0,0.0,0.0,0.06577380081975363,-0.0,0.0023782595702827414,-0.0,-0.0,-0.0,-0.0,-0.0,0.010393256886592536,-0.0,0.4993860201795276,-0.0,-0.0,0.0,-0.0,0.009926081281883353,0.0
DZA,-0.0,0.003472012002375372,0.0,0.0,-0.0,0.0,0.0,0.06713325559952595,-0.0,0.004959259471232256,-0.0,-0.0,-0.0,0.0,-0.0,0.019610444626200128,-0.0,0.506446956340714,-0.0,-0.0,0.0,-0.0,0.013850781835492557,0.0
ECU,-0.0,0.006350318319250315,0.0,0.0,-0.0,0.0,0.0,0.06682238167435099,-0.0,0.0022582632985763246,-0.0,-0.0,-0.0,0.0,-0.0,0.0155552196356027,-0.0,0.5076854508487347,-0.0,-0.0,0.0,-0.0,0.011782569673736816,0.0
EGY,0.0,0.006326137661333164,0.0,0.0,-0.0,0.0,0.0,0.06723975012699189,-0.0,0.002086883469382385,-0.0,-0.0,-0.0,0.0,-0.0,0.012726001811824553,-0.0,0.5048862276300926,-0.0,-0.0,0.0,-0.0,0.012796466907758559,0.0
ETH,-0.0,0.002904810643210226,0.0,0.0,-0.0,0.0,0.0,0.06752065432149869,-0.0,0.0019775817667492092,-0.0,-0.0,-0.0,0.0,-0.0,0.014100203744853348,-0.0,0.5050137120168126,-0.0,-0.0,0.0,-0.0,0.013738397490921943,0.0
GAB,-0.0,0.00460767760255154,0.0,0.0,-0.0,0.0,0.0,0.06693075611280513,-0.0,0.0025659689885252773,-0.0,-0.0,-0.0,0.0,-0.0,0.01339806204861595,-0.0,0.5090033808162786,-0.0,-0.0,0.0,-0.0,0.010657672501009036,0.0
GHA,-0.0,0.005583132186279015,0.0,0.0,-0.0,0.0,0.0,0.06886067546983005,-0.0,0.004717609697563545,-0.0,-0.0,-0.0,0.0,-0.0,0.015247346488676095,-0.0,0.5076212881942275,-0.0,0.0,0.0,-0.0,0.014125682663845122,0.0
GIN,-0.0,0.007713281143464859,0.0,0.0,-0.0,0.0,0.0,0.0675064671330285,-0.0,0.004472094811077544,-0.0,-0.0,-0.0,0.0,-0.0,0.011600971755078692,-0.0,0.5001654008482689,-0.0,-0.0,0.0,-0.0,0.01287299240822778,0.0
GNQ,0.0,0.00818947965050592,0.0,0.0,-0.0,0.0,0.0,0.06505918137104687,-0.0,0.003123658654023061,-0.0,-0.0,-0.0,0.0,-0.0,0.015137257468886696,-0.0,0.49984030203127927,-0.0,-0.0,0.0,-0.0,0.013222994685570689,0.0
