Variable,Coef,CI_lo,CI_hi,p,Spec,N,R2
const,-3.285211987122685,-4.248741909685539,-2.3216820645598304,2.3471952234460835e-11,"Original 54
(total rents)",1324,0.359
log_HCI,1.8268903420854914,1.073953506762274,2.579827177408709,1.9789319765140916e-06,"Original 54
(total rents)",1324,0.359
log_GFCF,0.14153182096225994,0.030930819539134152,0.2521328223853857,0.012138572651308346,"Original 54
(total rents)",1324,0.359
Political stability — estimate,0.04381491849014675,-0.08583209853384934,0.17346193551414285,0.5077273666718587,"Original 54
(total rents)",1324,0.359
Rule of law index,0.35481503691582134,-0.06999097371682744,0.7796210475484702,0.10162198316826562,"Original 54
(total rents)",1324,0.359
log_Production_Value,-0.01737105641366772,-0.0746070763141985,0.039864963486863046,0.5519460953380244,"Original 54
(total rents)",1324,0.359
Trade (% of GDP),0.0003885639082240507,-0.004918843918196287,0.005695971734644388,0.8859015244945693,"Original 54
(total rents)",1324,0.359
log_HCI_x_log_Production,0.2892297057053421,0.08481004542417639,0.4936493659865079,0.005552201148335972,"Original 54
(total rents)",1324,0.359
log_GFCF_x_log_Production,-0.0014746918163871924,-0.0426244008360404,0.039675017203266015,0.944002883430272,"Original 54
(total rents)",1324,0.359
const,-3.91582005281684,-5.223846304562345,-2.607793801071335,4.423696541858376e-09,Adj. ≥3%,975,0.4059
log_HCI,2.491377605723388,1.4625524074070209,3.520202804039755,2.0727354875846735e-06,Adj. ≥3%,975,0.4059
log_GFCF,0.17905067452411028,0.052555933897606516,0.30554541515061406,0.005532263469101615,Adj. ≥3%,975,0.4059
Political stability — estimate,0.023804418457852302,-0.17052847259418005,0.21813730950988466,0.8102667930160545,Adj. ≥3%,975,0.4059
Rule of law index,0.6682487137487853,-0.010136766746000725,1.3466341942435713,0.053522978431535674,Adj. ≥3%,975,0.4059
log_Production_Value,-0.04082686721890831,-0.13833089036490082,0.056677155927084194,0.4118309754262649,Adj. ≥3%,975,0.4059
Trade (% of GDP),-0.0005629919152355155,-0.006197970582882745,0.005071986752411714,0.8447507283003075,Adj. ≥3%,975,0.4059
log_HCI_x_log_Production,0.03731703832627101,-0.3894030354781399,0.4640371121306819,0.8639088301110648,Adj. ≥3%,975,0.4059
log_GFCF_x_log_Production,0.003778455587360445,-0.03380256728861957,0.04135947846334046,0.8437822403872524,Adj. ≥3%,975,0.4059
const,-4.0066871970552045,-5.140627273377582,-2.872747120732827,4.348157732136021e-12,Adj. ≥2%,1273,0.4775
log_HCI,2.8572313469704205,1.9810084350215043,3.7334542589193367,1.6464464984363854e-10,Adj. ≥2%,1273,0.4775
log_GFCF,0.22798468228795105,0.11912880819263054,0.33684055638327154,4.0450124760241594e-05,Adj. ≥2%,1273,0.4775
Political stability — estimate,0.05795082884592403,-0.10288975314423601,0.21879141083608408,0.4800795494865745,Adj. ≥2%,1273,0.4775
Rule of law index,0.5665305348732499,0.051173585000580446,1.0818874847459194,0.03119446207884348,Adj. ≥2%,1273,0.4775
log_Production_Value,-0.08180792205641693,-0.16020835160899588,-0.0034074925038379694,0.04084014457855226,Adj. ≥2%,1273,0.4775
Trade (% of GDP),-0.0015463755030969547,-0.006621651544417811,0.003528900538223902,0.5503889276425291,Adj. ≥2%,1273,0.4775
log_HCI_x_log_Production,-0.16758780289505246,-0.46883925749944355,0.13366365170933867,0.27556406357665353,Adj. ≥2%,1273,0.4775
log_GFCF_x_log_Production,-0.010064007016778773,-0.04737936836297445,0.027251354329416902,0.597079403504132,Adj. ≥2%,1273,0.4775
const,-4.120071065098552,-5.205276021257494,-3.0348661089396094,9.979996770455336e-14,Adj. ≥1%,1498,0.448
log_HCI,2.7891375891979853,1.9634120334637912,3.6148631449321793,3.5829935548349824e-11,Adj. ≥1%,1498,0.448
log_GFCF,0.1942402870496258,0.09070839387740726,0.2977721802218443,0.0002358394894789681,Adj. ≥1%,1498,0.448
Political stability — estimate,-0.006163790685094407,-0.1649684938969458,0.152640912526757,0.9393607323763953,Adj. ≥1%,1498,0.448
Rule of law index,0.39996643820047906,-0.11617649696083698,0.9161093733617951,0.12881190735355702,Adj. ≥1%,1498,0.448
log_Production_Value,-0.04360558168965713,-0.10661930647369638,0.01940814309438213,0.17500446880178044,Adj. ≥1%,1498,0.448
Trade (% of GDP),-0.001392906381536403,-0.005890125846975106,0.0031043130839023005,0.5438163634720551,Adj. ≥1%,1498,0.448
log_HCI_x_log_Production,-0.057337272849323495,-0.3556641609506692,0.24098961525202223,0.7063984288530376,Adj. ≥1%,1498,0.448
log_GFCF_x_log_Production,0.010066653227384785,-0.02470251849034038,0.04483582494510995,0.5703984997091345,Adj. ≥1%,1498,0.448
