Country Code,Country,ECI_2019,ECI_2030_Ensemble,Total_Change,Annualised_Change,Pct_Change
ECU,Ecuador,-1.184,-0.14219198327957905,1.041808016720421,0.09470981970185645,87.99054195273825
MNG,Mongolia,-1.3320000000000003,-0.37703023665764673,0.9549697633423535,0.08681543303112305,71.69442667735385
MMR,Myanmar,-1.3440000000000003,-0.6184458543699849,0.7255541456300154,0.06595946778454685,53.984683454614235
CHN,China,1.177,1.8354878922536266,0.6584878922536266,0.059862535659420596,55.94629500880429
YEM,"Yemen, Rep.",-1.5179999999999998,-0.8860191630422094,0.6319808369577904,0.057452803359799125,41.632466202752994
GNQ,Equatorial Guinea,-1.901,-1.314089193070716,0.5869108069292841,0.05335552790266219,30.873793105170126
PER,Peru,-0.744,-0.22975282009004824,0.5142471799099517,0.04674974362817743,69.11924461155266
VEN,"Venezuela, RB",-1.277,-0.7652248315879795,0.5117751684120204,0.04652501531018367,40.07636401033833
VNM,Viet Nam,-0.057,0.4276355685777638,0.4846355685777638,0.04405777896161489,850.2378396101118
NPL,Nepal,-0.336,0.1413895794690866,0.4773895794690866,0.04339905267900787,142.08023198484722
BOL,Bolivia,-0.964,-0.4986533438593642,0.46534665614063575,0.04230424146733052,48.272474703385456
JAM,Jamaica,-0.24,0.22399026863010135,0.46399026863010134,0.0421809335118274,193.32927859587556
HND,Honduras,-0.648,-0.2043718305308293,0.4436281694691707,0.04032983358810643,68.4611372637609
MRT,Mauritania,-1.621,-1.2183258416604013,0.40267415833959874,0.03660674166723625,24.841095517556987
BWA,Botswana,-0.685,-0.28501125235385333,0.3999887476461467,0.036362613422376976,58.392517904546956
CIV,Cote d'Ivoire,-1.1,-0.7091315497960003,0.39086845020399974,0.035533495473090884,35.53349547309088
GHA,Ghana,-0.994,-0.6106128031345425,0.3833871968654575,0.03485338153322341,38.57014052972409
ETH,Ethiopia,-1.155,-0.8212386920364986,0.33376130796350145,0.03034193708759104,28.897082940562896
UZB,Uzbekistan,-0.69,-0.36736818089282863,0.3226318191071713,0.02933016537337921,46.758234653213236
MDG,Madagascar,-1.494,-1.184844963323754,0.3091550366762459,0.02810500333420417,20.69310821126144
GAB,Gabon,-1.243,-0.9494621286023663,0.29353787139763377,0.026685261036148523,23.61527525322878
ALB,Albania,-0.558,-0.2777408647534058,0.28025913524659424,0.02547810320423584,50.22565147788427
SEN,Senegal,-0.781,-0.5044080574405247,0.2765919425594753,0.02514472205086139,35.41510148008646
CMR,Cameroon,-1.346,-1.0924363907058838,0.25356360929411625,0.023051237208556022,18.838306782623793
DZA,Algeria,-1.025,-0.779119978654736,0.24588002134526388,0.022352729213205805,23.9882947653916
QAT,Qatar,0.003,0.2476700705529154,0.2446700705529154,0.02224273368662867,2446.7007055291538
MOZ,Mozambique,-1.334,-1.1369405081914152,0.19705949180858484,0.017914499255325896,14.77207584772
RWA,Rwanda,-0.746,-0.5576801554507039,0.18831984454929607,0.017119985868117825,25.24394699052226
NIC,Nicaragua,-1.044,-0.8726634509627409,0.17133654903725914,0.015576049912478103,16.411546842649344
ZAF,South Africa,0.154,0.32506237194415205,0.17106237194415205,0.015551124722195641,111.07946230139744
NGA,Nigeria,-1.529,-1.3935921362040113,0.13540786379598857,0.012309805799635325,8.855975395421098
TGO,Togo,-0.893,-0.7641821051767234,0.12881789482327666,0.011710717711206969,14.425296172819335
UGA,Uganda,-0.754,-0.6352016571010116,0.11879834289898838,0.01079984935445349,15.755748395091299
BEN,Benin,-0.903,-0.822196594495842,0.08080340550415799,0.007345764136741636,8.948328405776078
GTM,Guatemala,-0.449,-0.38189070255650276,0.06710929744349725,0.006100845222136114,14.946391412805623
TZA,Tanzania,-0.924,-0.865446629111564,0.05855337088843604,0.005323033717130549,6.336944901345891
COL,Colombia,0.0,0.039592623373037816,0.039592623373037816,0.0035993293975488923,395.92623373037816
MWI,Malawi,-1.2,-1.1820463789546773,0.01795362104532261,0.0016321473677566008,1.4961350871102175
TCD,Chad,-1.845,-1.8295205623139736,0.015479437686026332,0.0014072216078205755,0.8389939125217525
PAK,Pakistan,-0.705,-0.6934824903115984,0.011517509688401595,0.001047046335309236,1.6336893175037726
AGO,Angola,-1.204,-1.194901769188334,0.009098230811666053,0.0008271118919696411,0.7556670109357188
TUN,Tunisia,0.136,0.14212066422381098,0.006120664223810968,0.0005564240203464517,4.5004883998610055
OMN,Oman,-0.179,-0.1732113183978029,0.005788681602197088,0.000526243782017917,3.233900336422954
KEN,Kenya,-0.436,-0.4338696897468651,0.002130310253134926,0.00019366456846681146,0.48860326906764356
IDN,Indonesia,-0.135,-0.15176758130170212,-0.01676758130170211,-0.00152432557288201,-12.420430593853416
AZE,Azerbaijan,-0.827,-0.8484743474457629,-0.02147434744576293,-0.0019522134041602664,-2.5966562812288916
ARE,United Arab Emirates,0.3330000000000001,0.28216616354839824,-0.05083383645160183,-0.00462125785923653,-15.265416351832378
LBR,Liberia,-0.849,-0.9001573537546095,-0.0511573537546095,-0.004650668523146318,-6.025601148952827
ARG,Argentina,-0.203,-0.26355152397872267,-0.060551523978722654,-0.005504683998065696,-29.828336935331357
BRA,Brazil,-0.002,-0.06993673328020752,-0.06793673328020752,-0.006176066661837048,-679.3673328020752
IND,India,0.355,0.2836463867978566,-0.0713536132021434,-0.006486692109285763,-20.09960935271645
LAO,Lao PDR,-0.805,-0.8973522170404447,-0.0923522170404446,-0.008395656094585873,-11.472325098191876
BFA,Burkina Faso,-0.884,-0.9873806647956924,-0.10338066479569241,-0.009398242254153855,-11.694645338879232
DOM,Dominican Republic,-0.27,-0.37776967926954846,-0.10776967926954845,-0.00979724356995895,-39.91469602575869
GIN,Guinea,-1.3859999999999997,-1.505035591128058,-0.11903559112805828,-0.010821417375278026,-8.588426488315895
IRQ,Iraq,-1.575,-1.7465786843317435,-0.1715786843317435,-0.015598062211976682,-10.893884719475778
MYS,Malaysia,1.209,1.0093199384091736,-0.19968006159082652,-0.01815273287189332,-16.51613412661923
