Feature,LASSO,Ridge,Elastic Net,Random Forest,Linear_Avg,Overall_Avg
L1_ECI,1.0,1.0,1.0,1.0,1.0,1.0
Access to electricity (% of population),0.06514594948572572,0.14425645642758075,0.08020206339745543,0.0015775838219488855,0.0965348231035873,0.049056203462768094
Domestic credit to private sector (% of GDP),0.08252534842364712,0.0735052365103323,0.0864187162233035,0.006222949497365115,0.0808164337190943,0.04351969160822971
Adjusted savings: gross savings (% of GNI),0.030863094891250907,0.04837132824541638,0.03867614502113005,0.0014247728659722288,0.03930352271926578,0.020364147792619004
Urban population (% of total population),0.02739284023273924,0.05728971485014262,0.03538857330264196,0.0004214960019476997,0.04002370946184127,0.020222602731894485
Political stability — estimate,0.021801926139546925,0.03962592711578755,0.026288017450784185,0.001000825448856989,0.029238623568706223,0.015119724508781606
RealRate_roll5,0.0007289161002700392,0.07183959073230922,0.00797605671204267,0.0003613416618871749,0.02684818784820731,0.013604764755047242
Total_Production_Value,0.010587502952168374,0.04422487047294456,0.018269282440451066,0.00034218185159751017,0.024360551955187996,0.012351366903392754
Capital depreciation rate,0.020990072056082318,0.026309998475047027,0.024761099452304154,5.959273340998174e-05,0.024020389994477837,0.01203999136394391
Rule of law index,0.01327765052698769,0.025637841345999512,0.01676170547203372,0.0030370600642731036,0.01855906578167364,0.010798062922973372
Human capital index,0.007582133574945197,0.020976321994455784,0.013227308628796947,0.0025956488184201453,0.013928588066065976,0.00826211844224306
Real interest rate (%),0.0,0.04681553595629276,0.0,0.0007499761310897139,0.015605178652097587,0.00817757739159365
GFCF_x_ProductionValue,0.009961392918802556,0.018490921552047603,0.01206231322548421,0.0020030080462597774,0.013504875898778121,0.007753941972518949
Government revenue,0.0,0.028773105551370977,0.005803318532035618,0.00040734988807356195,0.011525474694468865,0.005966412291271214
"Gross fixed capital formation, all, Constant prices, Percent of GDP",0.0,0.027031828383029397,0.0035564733956808996,0.0003127164957444835,0.010196100592903433,0.005254408544323958
HCI_x_ProductionValue,0.011210284833467922,0.0037338717373614594,0.01351295957373705,0.0007975171103285952,0.009485705381522144,0.005141611245925369
Forestry rents (% of GDP),0.0,0.019399314965114413,0.0,0.0018449776817858511,0.006466438321704804,0.004155708001745327
Share of investment in GDP,0.0,0.015963011323569927,0.0,0.000873498083680308,0.005321003774523309,0.0030972509291018083
Resource_HHI,0.0,0.007380168701876656,0.0,0.002500441972430273,0.002460056233958885,0.002480249103194579
Inflation_roll5,0.0,0.010189469861359702,0.0,0.0013741680048044657,0.0033964899537865675,0.0023853289792955166
"Inflation, consumer prices (annual %)",0.0,0.0060191646759043295,0.0,0.00028716101470405213,0.0020063882253014433,0.0011467746200027476
"Use of IMF credit (DOD, current US$)",0.0,0.003512691658624347,0.0,0.000399872836999809,0.001170897219541449,0.000785385028270629
Landlocked,0.0,0.0024352232610304436,0.0,0.0,0.0008117410870101478,0.0004058705435050739
Trade (% of GDP),0.0,0.0,0.0,0.00022525560458131898,0.0,0.00011262780229065949
