,Country Code,Country Name,Year,Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),Agriculture,Capital depreciation rate,Clientelism index,"Death rates, crude per 1000 people",Domestic credit to private sector (% of GDP),Economic Complexity Index,"GDP per capita (constant prices, PPP)",Government revenue,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Human capital index,Industry,"Inflation, consumer prices (annual %)",Landlocked,Lending interest rate (%),"Life expectancy at birth, total (years)",Manufacturing,Mineral rents (% of GDP),Mobile cellular subscriptions (per 100 people),Natural gas rents (% of GDP),Oil rents (% of GDP),Political corruption index,Political stability — estimate,"Primary net lending, General government, Percent of GDP",Property rights,Real interest rate (%),Rule of law index,Services,Share of consumption in GDP,Share of government spending in GDP,Share of investment in GDP,Total natural resources rents (% of GDP),Trade (% of GDP),Urban population (% of total population),"Use of IMF credit (DOD, current US$)",Total_Production,Total_Reserves,Total_Production_Value,Total_Reserves_Value,Hydrocarbons_Dominant,Subsoil_Metals_Dominant,Precious_Metals_Dominant,Population
0,AGO,Angola,1995,24.200000000000003,48.05541368,9.386790604,0.035366502,0.84,18.7,22.27492802,-1.914,4214.831,39.104,51.16142144,1.214911699,51.91965219,2666.450593,0,206.25,46.139,3.726575292,0.0,0.0143326900000104,0.2065192839999999,41.01881567,0.809,-2.062,4.143153796,0.1889999999999999,-84.09500018,0.174,37.98042193,0.279739618,0.248554781,0.6244518160000001,44.21099663,90.57082097,6056809.0,0.0,632854.6027397261,3125.0,12530847.885652604,61876.61347984106,1,0,0,13699778.0
1,AGO,Angola,1996,24.200000000000003,48.05541368,9.386790604,0.038397703,0.84,18.445,22.27492802,-2.328,4533.695999999998,39.104,67.19577537,1.230891585,51.91965219,4145.105982,0,217.875,46.418,3.726575292,0.0,0.02292929,0.159734205,39.07414397,0.809,-2.062,4.143153796,0.1889999999999999,-93.51345888,0.174,37.98042193,0.214948103,0.084098443,0.734222174,41.36171668,90.57082097,6441501.0,0.0,715976.0655737704,3695.0,16149969.495269896,83346.55326390061,1,0,0,14170973.0
2,AGO,Angola,1997,24.200000000000003,48.05541368,9.386790604,0.0404047,0.84,18.184,22.27492802,-1.57,4703.959999999999,34.882,48.50781813,1.247081637,51.91965219,219.1767212,0,37.75,46.688,3.726575292,0.0,0.04742069,0.158566178,37.34902325,0.809,-2.19,4.143153796,0.1889999999999999,-29.52270655,0.174,37.98042193,0.293120921,0.256248802,0.5516278740000001,39.45148916,90.57082097,6849440.0,0.0,741000.0000000001,3899.999999999999,14809025.121922089,77942.23748380042,1,0,0,14660413.0
3,AGO,Angola,1998,24.200000000000003,48.05541368,9.386790604,0.040824667,0.84,18.925,22.27492802,-1.579,4765.766,27.629,64.03852148,1.263484716,51.91965219,107.2848215,0,45.0,45.452,3.726575292,0.0,0.063903735,0.136441189,21.747680010000003,0.809,-2.318,0.172708635,0.1889999999999999,4.047558877,0.174,37.98042193,0.39379862,0.129606649,0.714909554,24.26938077,90.57082097,7275437.0,0.0,730849.3150684931,4030.000000000001,9293232.483300822,51244.11576440001,1,0,0,15159370.0
4,AGO,Angola,1999,24.200000000000003,48.05541368,9.386790604,0.041405875,0.84,18.518,22.27492802,-1.505,4715.119999999999,41.128,50.73873051999999,1.280103445,51.91965219,248.1959024,0,80.29666667,45.808,3.726575292,0.0,0.1512215679999968,0.1614288259999999,38.52426984,0.809,-2.178,-2.476900862,0.1889999999999999,-72.57850016,0.174,37.98042193,0.328058332,0.29153192,0.584637284,40.80335432,90.57082097,7717606.0,374707057.4,745060.2739726028,5050.000000000001,12847795.221255604,87082.03635847938,1,0,0,15667235.0
5,AGO,Angola,2000,24.200000000000003,48.05541368,9.386790604,0.04145705,0.796,18.08,22.27492802,-1.938,4704.042000000001,42.858,27.66010325,1.296940804,51.91965219,324.9968716,0,103.1601742,46.501,3.726575292,0.0,0.1593469999999968,0.1963006439999999,57.51348396,0.809,-2.038,5.938215421,0.1889999999999999,-60.78132704,0.176,37.98042193,0.283970803,0.246948853,0.380121589,59.14251036,90.57082097,8179553.0,355705668.8999999,746061.4754098363,5972.0,19384105.87967406,155163.99670660068,1,0,0,16194869.0
6,AGO,Angola,2001,20.0,17.54506399,9.386790604,0.041017011,0.796,17.606,22.27492802,-1.454,4743.472,37.463,24.62698301,1.308486342,51.91965219,152.5610225,0,95.96656083,47.032,3.726575292,0.0,0.4478360000000023,0.210594107,42.59157668,0.809,-1.807,6.401298103,0.275,-5.032933217,0.176,37.98042193,0.47861293,0.199827582,0.334656328,44.21947659,90.57082097,8662071.0,343098130.6,742015.0684931506,6500.0,15907647.424864708,139349.8766428017,1,0,0,16747208.0
7,AGO,Angola,2002,26.3,32.33472295,9.386790604,0.040836152,0.723,17.071,22.27492802,-1.898,5214.845000000001,28.681,23.0959964,1.32013464,51.91965219,108.8974361,0,97.33583333,47.874,3.726575292,0.0,0.8079550000000069,0.131900391,31.76102925,0.84,-1.576,-0.183848487,0.469,-41.32946909,0.147,37.98042193,0.39195165,0.201167509,0.311204314,32.88371598,90.57082097,9165075.0,371160687.2,905441.0958904108,8900.0,19183923.13114017,188567.6678936744,1,0,0,17327699.0
8,AGO,Angola,2003,27.4,28.85190747,10.00007685,0.040988855,0.717,15.559,22.27492802,-1.812,5190.530999999999,29.715,25.31655432767413,1.331886649,48.92285496,98.22414366,0,96.115,50.218,3.885171725000001,0.0,1.9505399999999893,0.135113553,27.116265750000004,0.864,-1.007,-2.849961466,0.397,0.7747598159999995,0.121,40.82826263,0.388605028,0.199904248,0.323308617,28.40669695,90.68071618,9690386.0,405682628.0,869563.0684999999,8801.0,20415622.50349768,206630.0883307156,1,0,0,17943712.0
9,AGO,Angola,2004,28.4,37.51289853,10.36359144,0.041629087,0.717,14.958,22.27492802,-0.848,5560.617,30.987,26.97387142917635,1.343743324,50.29787707,43.54210675000001,0,82.33416667,51.123,4.679179847,0.0,3.9783999999999935,0.1237975639999999,32.96269551,0.864,-1.063,2.707912258,0.397,36.70039746,0.121,39.71366762,0.328811169,0.170598269,0.307960004,33.77071701,90.38603847,10238515.0,423985126.3,1106441.2076502729,9035.0,32640131.502713025,266533.4462309959,1,0,0,18600423.0
