,Country,Country Code,Year,PC1,PC2,PC3,Cluster,hover_text
0,Algeria,DZA,1995,4.053870151752343,-0.7255173274054055,0.3917514038126049,0,<b>Algeria</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $332<br>  Natural Gas: $147<br>  Zinc: $0
1,Angola,AGO,1995,1.3583316973279331,-2.2416646865084173,-2.1053415896201186,1,<b>Angola</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $334
2,Azerbaijan,AZE,1995,3.171729568504172,-0.7229139866323994,1.0822649291273254,0,<b>Azerbaijan</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $174<br>  Natural Gas: $57<br>  Aluminium: $3
3,Bahrain,BHR,1995,1.0891997159341953,1.725204001764637,8.636871475023222,0,<b>Bahrain</b><br>Cluster: 0<br><br>Top Resources:<br>  Aluminium: $1.6K<br>  Natural Gas: $921
4,Bolivia,BOL,1995,-2.016490363351369,1.976807058894451,1.6074450066519201,2,<b>Bolivia</b><br>Cluster: 2<br><br>Top Resources:<br>  Natural Gas: $26<br>  Zinc: $24<br>  Gold: $24
5,Burkina Faso,BFA,1995,-3.5213749702319666,-1.1303795012923779,0.40503251738937324,2,<b>Burkina Faso</b><br>Cluster: 2<br><br>Top Resources:<br>  Gold: $2
6,Cameroon,CMR,1995,-3.1812198265828675,-0.9381677996789294,2.1137264173534436,2,<b>Cameroon</b><br>Cluster: 2<br><br>Top Resources:<br>  Aluminium: $12<br>  Gold: $1
7,Chad,TCD,1995,-3.437162043737042,-1.5981129072763518,0.5349928433746965,2,<b>Chad</b><br>Cluster: 2<br><br>Top Resources:<br>  (No significant production)
8,Chile,CHL,1995,-4.31338708302171,5.452860988440601,-2.249042175565507,3,<b>Chile</b><br>Cluster: 3<br><br>Top Resources:<br>  Copper: $558<br>  Gold: $41<br>  Silver: $13
9,"Congo, Dem. Rep.",COD,1995,-3.593431755490564,-0.5632642745474138,0.12111876088174792,2,"<b>Congo, Dem. Rep.</b><br>Cluster: 2<br><br>Top Resources:<br>  Copper: $3<br>  Cobalt: $2<br>  Tin: $1"
10,"Congo, Rep.",COG,1995,1.6441037609497111,-2.2800150900182254,-2.2626838488972636,1,"<b>Congo, Rep.</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $472"
11,Cote d'Ivoire,CIV,1995,-3.5211959300242324,-1.1313739220976056,0.4053088184838922,2,<b>Cote d'Ivoire</b><br>Cluster: 2<br><br>Top Resources:<br>  Gold: $2
12,Ecuador,ECU,1995,0.9203848256810616,-1.1643131660215373,-2.257707012587449,1,<b>Ecuador</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $246<br>  Gold: $9
13,"Egypt, Arab Rep.",EGY,1995,2.0015821637590716,-1.0084668929024065,0.9222637713349212,0,"<b>Egypt, Arab Rep.</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $102<br>  Natural Gas: $13<br>  Aluminium: $6"
14,Equatorial Guinea,GNQ,1995,0.2704979155327705,-2.0956781825978603,-1.5063949229082003,1,<b>Equatorial Guinea</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $89
